Date,Category,Ticker,EntryPrice
2026-09-24,Golden Cross,CRM,238.31
2026-09-24,Golden Cross,META,777.44
2026-09-24,Golden Cross,MSFT,497.58
2026-09-24,Golden Cross,NOW,137.78
2026-09-24,Golden Cross,PLTR,192.61
2026-09-24,Golden Cross,QCOM,194.25
2026-09-24,Golden Cross,SPOT,511.46
2026-09-24,Golden Cross,ZS,214.64
2026-09-24,Bull Flag Watch,EWY,182.52
2026-09-24,Bull Flag Watch,GLW,154.1
2026-09-24,Bull Flag Watch,HOOD,120.81
2026-09-24,Bull Flag Watch,LLY,1183.09
2026-09-24,Bull Flag Watch,NVDA,224.54
2026-09-24,Performance: Strong Buy,ALAB,360.63
2026-09-24,Performance: Strong Buy,AMD,629.02
2026-09-24,Performance: Strong Buy,ARM,306.43
2026-09-24,Performance: Strong Buy,BB,8.71
2026-09-24,Performance: Strong Buy,INTC,127.36
2026-09-24,Performance: Buy,META,777.44
2026-09-24,Performance: Buy,MU,1078.62
2026-09-24,Performance: Buy,NBIS,243.44
