DATE,WPUT
01/31/2006,100.000000
02/01/2006,100.180000
02/02/2006,99.910000
02/03/2006,99.420000
02/06/2006,99.570000
02/07/2006,99.350000
02/08/2006,99.710000
02/09/2006,99.780000
02/10/2006,99.750000
02/13/2006,99.710000
02/14/2006,100.110000
02/15/2006,100.210000
02/16/2006,100.260000
02/17/2006,100.320000
02/21/2006,100.230000
02/22/2006,100.610000
02/23/2006,100.650000
02/24/2006,100.720000
02/27/2006,100.860000
02/28/2006,100.700000
03/01/2006,100.940000
03/02/2006,100.980000
03/03/2006,100.950000
03/06/2006,100.680000
03/07/2006,100.600000
03/08/2006,100.840000
03/09/2006,100.510000
03/10/2006,101.430000
03/13/2006,101.710000
03/14/2006,102.220000
03/15/2006,102.350000
03/16/2006,102.410000
03/17/2006,102.380000
03/20/2006,102.440000
03/21/2006,102.150000
03/22/2006,102.610000
03/23/2006,102.610000
03/24/2006,102.690000
03/27/2006,102.710000
03/28/2006,102.460000
03/29/2006,102.970000
03/30/2006,103.020000
03/31/2006,102.760000
04/03/2006,102.870000
04/04/2006,103.000000
04/05/2006,103.030000
04/06/2006,103.060000
04/07/2006,103.040000
04/10/2006,103.190000
04/11/2006,103.030000
04/12/2006,103.270000
04/13/2006,103.330000
04/17/2006,103.350000
04/18/2006,103.780000
04/19/2006,103.840000
04/20/2006,103.860000
04/21/2006,103.670000
04/24/2006,103.750000
04/25/2006,103.470000
04/26/2006,103.690000
04/27/2006,104.020000
04/28/2006,104.220000
05/01/2006,104.030000
05/02/2006,104.420000
05/03/2006,104.360000
05/04/2006,104.620000
05/05/2006,104.730000
05/08/2006,104.780000
05/09/2006,104.830000
05/10/2006,104.880000
05/11/2006,104.320000
05/12/2006,103.050000
05/15/2006,103.330000
05/16/2006,103.360000
05/17/2006,102.120000
05/18/2006,101.510000
05/19/2006,101.670000
05/22/2006,101.680000
05/23/2006,101.660000
05/24/2006,101.920000
05/25/2006,102.210000
05/26/2006,102.190000
05/30/2006,101.480000
05/31/2006,102.060000
06/01/2006,102.070000
06/02/2006,102.570000
06/05/2006,101.690000
06/06/2006,101.600000
06/07/2006,101.060000
06/08/2006,101.220000
06/09/2006,101.660000
06/12/2006,100.770000
06/13/2006,99.910000
06/14/2006,100.570000
06/15/2006,102.520000
06/16/2006,102.290000
06/19/2006,102.000000
06/20/2006,102.140000
06/21/2006,102.720000
06/22/2006,102.760000
06/23/2006,102.920000
06/26/2006,103.240000
06/27/2006,102.940000
06/28/2006,103.310000
06/29/2006,103.780000
06/30/2006,103.750000
07/03/2006,104.000000
07/05/2006,103.950000
07/06/2006,104.120000
07/07/2006,104.100000
07/10/2006,104.320000
07/11/2006,104.510000
07/12/2006,104.240000
07/13/2006,103.220000
07/14/2006,102.690000
07/17/2006,102.740000
07/18/2006,102.860000
07/19/2006,103.550000
07/20/2006,103.600000
07/21/2006,103.160000
07/24/2006,104.010000
07/25/2006,104.200000
07/26/2006,104.270000
07/27/2006,104.290000
07/28/2006,104.290000
07/31/2006,104.310000
08/01/2006,104.270000
08/02/2006,104.560000
08/03/2006,104.760000
08/04/2006,104.760000
08/07/2006,104.770000
08/08/2006,104.820000
08/09/2006,104.810000
08/10/2006,105.110000
08/11/2006,105.130000
08/14/2006,105.340000
08/15/2006,105.710000
08/16/2006,105.810000
08/17/2006,105.840000
08/18/2006,105.990000
08/21/2006,105.990000
08/22/2006,106.070000
08/23/2006,105.870000
08/24/2006,106.190000
08/25/2006,106.130000
08/28/2006,106.380000
08/29/2006,106.470000
08/30/2006,106.510000
08/31/2006,106.540000
09/01/2006,106.530000
09/05/2006,106.660000
09/06/2006,106.460000
09/07/2006,106.300000
09/08/2006,106.710000
09/11/2006,106.820000
09/12/2006,107.480000
09/13/2006,107.690000
09/14/2006,107.760000
09/15/2006,107.660000
09/18/2006,107.810000
09/19/2006,107.790000
09/20/2006,108.100000
09/21/2006,108.000000
09/22/2006,107.830000
09/25/2006,108.140000
09/26/2006,108.220000
09/27/2006,108.240000
09/28/2006,108.260000
09/29/2006,108.250000
10/02/2006,108.290000
10/03/2006,108.420000
10/04/2006,108.580000
10/05/2006,108.600000
10/06/2006,108.570000
10/09/2006,108.680000
10/10/2006,108.820000
10/11/2006,108.830000
10/12/2006,108.990000
10/13/2006,108.970000
10/16/2006,109.170000
10/17/2006,109.040000
10/18/2006,109.180000
10/19/2006,109.390000
10/20/2006,109.750000
10/23/2006,110.080000
10/24/2006,110.150000
10/25/2006,110.270000
10/26/2006,110.350000
10/27/2006,110.320000
10/30/2006,110.410000
10/31/2006,110.460000
11/01/2006,110.260000
11/02/2006,110.340000
11/03/2006,110.220000
11/06/2006,110.410000
11/07/2006,110.430000
11/08/2006,110.460000
11/09/2006,110.480000
11/10/2006,110.470000
11/13/2006,110.730000
11/14/2006,110.960000
11/15/2006,111.030000
11/16/2006,111.070000
11/17/2006,111.140000
11/20/2006,111.220000
11/21/2006,111.260000
11/22/2006,111.290000
11/24/2006,111.270000
11/27/2006,110.340000
11/28/2006,110.710000
11/29/2006,111.520000
11/30/2006,111.720000
12/01/2006,111.520000
12/04/2006,111.770000
12/05/2006,111.830000
12/06/2006,111.860000
12/07/2006,111.890000
12/08/2006,111.870000
12/11/2006,112.070000
12/12/2006,112.120000
12/13/2006,112.260000
12/14/2006,112.360000
12/15/2006,112.280000
12/18/2006,112.220000
12/19/2006,112.430000
12/20/2006,112.460000
12/21/2006,112.300000
12/22/2006,111.690000
12/26/2006,111.930000
12/27/2006,112.040000
12/28/2006,112.060000
12/29/2006,112.050000
01/03/2007,112.200000
01/04/2007,112.330000
01/05/2007,112.360000
01/08/2007,112.550000
01/09/2007,112.600000
01/10/2007,112.690000
01/11/2007,112.760000
01/12/2007,112.740000
01/16/2007,112.880000
01/17/2007,112.930000
01/18/2007,112.850000
01/19/2007,113.180000
01/22/2007,113.150000
01/23/2007,113.300000
01/24/2007,113.390000
01/25/2007,113.400000
01/26/2007,113.380000
01/29/2007,113.420000
01/30/2007,113.630000
01/31/2007,113.730000
02/01/2007,113.760000
02/02/2007,113.730000
02/05/2007,113.830000
02/06/2007,113.890000
02/07/2007,113.980000
02/08/2007,114.050000
02/09/2007,113.880000
02/12/2007,113.820000
02/13/2007,114.250000
02/14/2007,114.360000
02/15/2007,114.410000
02/16/2007,114.470000
02/20/2007,114.590000
02/21/2007,114.630000
02/22/2007,114.660000
02/23/2007,114.650000
02/26/2007,114.730000
02/27/2007,111.540000
02/28/2007,112.280000
03/01/2007,112.020000
03/02/2007,110.750000
03/05/2007,110.340000
03/06/2007,111.350000
03/07/2007,111.470000
03/08/2007,111.770000
03/09/2007,111.790000
03/12/2007,112.090000
03/13/2007,110.670000
03/14/2007,111.380000
03/15/2007,111.930000
03/16/2007,112.070000
03/19/2007,112.740000
03/20/2007,112.940000
03/21/2007,113.060000
03/22/2007,113.080000
03/23/2007,113.020000
03/26/2007,113.260000
03/27/2007,113.040000
03/28/2007,112.310000
03/29/2007,112.790000
03/30/2007,112.570000
04/02/2007,112.910000
04/03/2007,113.220000
04/04/2007,113.300000
04/05/2007,113.260000
04/09/2007,113.420000
04/10/2007,113.600000
04/11/2007,113.420000
04/12/2007,113.810000
04/13/2007,113.820000
04/16/2007,114.180000
04/17/2007,114.230000
04/18/2007,114.270000
04/19/2007,114.300000
04/20/2007,114.360000
04/23/2007,114.370000
04/24/2007,114.430000
04/25/2007,114.690000
04/26/2007,114.740000
04/27/2007,114.720000
04/30/2007,114.470000
05/01/2007,114.700000
05/02/2007,115.030000
05/03/2007,115.140000
05/04/2007,115.120000
05/07/2007,115.330000
05/08/2007,115.360000
05/09/2007,115.560000
05/10/2007,115.010000
05/11/2007,115.630000
05/14/2007,115.600000
05/15/2007,115.630000
05/16/2007,116.110000
05/17/2007,116.230000
05/18/2007,116.350000
05/21/2007,116.540000
05/22/2007,116.610000
05/23/2007,116.640000
05/24/2007,116.250000
05/25/2007,116.790000
05/29/2007,117.020000
05/30/2007,117.350000
05/31/2007,117.420000
06/01/2007,117.420000
06/04/2007,117.580000
06/05/2007,117.440000
06/06/2007,116.850000
06/07/2007,114.830000
06/08/2007,116.110000
06/11/2007,116.340000
06/12/2007,115.680000
06/13/2007,116.670000
06/14/2007,116.890000
06/15/2007,116.830000
06/18/2007,116.900000
06/19/2007,117.090000
06/20/2007,116.220000
06/21/2007,116.990000
06/22/2007,115.680000
06/25/2007,115.590000
06/26/2007,115.560000
06/27/2007,116.230000
06/28/2007,116.310000
06/29/2007,116.570000
07/02/2007,117.190000
07/03/2007,117.280000
07/05/2007,117.340000
07/06/2007,117.290000
07/09/2007,117.430000
07/10/2007,116.620000
07/11/2007,117.180000
07/12/2007,117.710000
07/13/2007,117.690000
07/16/2007,117.770000
07/17/2007,117.910000
07/18/2007,117.860000
07/19/2007,118.250000
07/20/2007,117.580000
07/23/2007,118.220000
07/24/2007,116.310000
07/25/2007,116.810000
07/26/2007,114.320000
07/27/2007,112.250000
07/30/2007,112.710000
07/31/2007,112.490000
08/01/2007,112.850000
08/02/2007,113.040000
08/03/2007,112.920000
08/06/2007,113.620000
08/07/2007,113.730000
08/08/2007,113.790000
08/09/2007,113.800000
08/10/2007,113.760000
08/13/2007,114.220000
08/14/2007,113.230000
08/15/2007,111.710000
08/16/2007,112.470000
08/17/2007,115.110000
08/20/2007,115.590000
08/21/2007,115.850000
08/22/2007,116.550000
08/23/2007,116.700000
08/24/2007,116.690000
08/27/2007,116.500000
08/28/2007,114.520000
08/29/2007,116.560000
08/30/2007,116.360000
08/31/2007,117.470000
09/04/2007,118.160000
09/05/2007,117.920000
09/06/2007,118.360000
09/07/2007,117.420000
09/10/2007,117.660000
09/11/2007,118.490000
09/12/2007,118.640000
09/13/2007,118.780000
09/14/2007,118.710000
09/17/2007,118.580000
09/18/2007,119.910000
09/19/2007,120.050000
09/20/2007,120.080000
09/21/2007,120.050000
09/24/2007,120.080000
09/25/2007,120.090000
09/26/2007,120.100000
09/27/2007,120.110000
09/28/2007,120.970000
10/01/2007,121.460000
10/02/2007,121.530000
10/03/2007,121.520000
10/04/2007,121.630000
10/05/2007,121.560000
10/08/2007,121.570000
10/09/2007,122.030000
10/10/2007,122.090000
