date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,500000.0
2016-10-31,500000.0
2016-11-01,500000.0
2016-11-02,500000.0
2016-11-03,500000.0
2016-11-04,500000.0
2016-11-07,500000.0
2016-11-08,500000.0
2016-11-09,500000.0
2016-11-10,500000.0
2016-11-11,500000.0
2016-11-14,500000.0
2016-11-15,500000.0
2016-11-16,500000.0
2016-11-17,500000.0
2016-11-18,499923.77
2016-11-21,501243.83
2016-11-22,501805.6
2016-11-23,501805.02
2016-11-25,502259.06
2016-11-28,502098.85
2016-11-29,502501.88
2016-11-30,502037.29
2016-12-01,500568.34
2016-12-02,501048.62
2016-12-05,502247.49
2016-12-06,502694.77
2016-12-07,503402.36
2016-12-08,503548.82
2016-12-09,503688.51
2016-12-12,503698.37
2016-12-13,503734.16
2016-12-14,503735.11
2016-12-15,503735.2
2016-12-16,503670.11
2016-12-19,504288.0
2016-12-20,504948.8
2016-12-21,504690.76
2016-12-22,504359.61
2016-12-23,504784.74
2016-12-27,505277.32
2016-12-28,504620.17
2016-12-29,504789.99
2016-12-30,504134.81
2017-01-03,505336.2
2017-01-04,506138.23
2017-01-05,506395.68
2017-01-06,506605.28
2017-01-09,506602.74
2017-01-10,506784.49
2017-01-11,506856.46
2017-01-12,506839.42
2017-01-13,506905.03
2017-01-17,506867.88
2017-01-18,506913.0
2017-01-19,506915.11
2017-01-20,506882.14
2017-01-23,506964.0
2017-01-24,507923.11
2017-01-25,508580.17
2017-01-26,508590.1
2017-01-27,508611.25
2017-01-30,508234.92
2017-01-31,508396.95
2017-02-01,508610.31
2017-02-02,508644.45
2017-02-03,508878.34
2017-02-06,508842.52
2017-02-07,508852.76
2017-02-08,508888.71
2017-02-09,508970.57
2017-02-10,508984.01
2017-02-13,508986.96
2017-02-14,508987.31
2017-02-15,508987.36
2017-02-16,508987.36
2017-02-17,508953.17
2017-02-21,509679.42
2017-02-22,509688.09
2017-02-23,509496.53
2017-02-24,509581.96
2017-02-27,509909.02
2017-02-28,509536.95
2017-03-01,510413.62
2017-03-02,510165.17
2017-03-03,510309.62
2017-03-06,510186.75
2017-03-07,510038.21
2017-03-08,509889.8
2017-03-09,509876.36
2017-03-10,510181.57
2017-03-13,510336.04
2017-03-14,510255.6
2017-03-15,510634.56
2017-03-16,510660.42
2017-03-17,510619.56
2017-03-20,510638.21
2017-03-21,507410.98
2017-03-22,508657.97
2017-03-23,508696.09
2017-03-24,509042.19
2017-03-27,509481.66
2017-03-28,510777.02
2017-03-29,511274.25
2017-03-30,511665.73
2017-03-31,511707.38
2017-04-03,511476.68
2017-04-04,511615.84
2017-04-05,511053.47
2017-04-06,511610.53
2017-04-07,511689.33
2017-04-10,511895.5
2017-04-11,512103.24
2017-04-12,511601.53
2017-04-13,510761.91
2017-04-17,512275.1
2017-04-18,512346.02
2017-04-19,512522.5
2017-04-20,512773.69
2017-04-21,512741.17
2017-04-24,513974.34
2017-04-25,514267.25
2017-04-26,514306.22
2017-04-27,514369.1
2017-04-28,514300.87
2017-05-01,514379.59
2017-05-02,514365.44
2017-05-03,514331.68
2017-05-04,514343.51
2017-05-05,514412.43
2017-05-08,514404.35
2017-05-09,514418.62
2017-05-10,514454.57
2017-05-11,514445.11
2017-05-12,514439.18
2017-05-15,514468.85
2017-05-16,514472.75
2017-05-17,514382.28
2017-05-18,514464.69
2017-05-19,514413.12
2017-05-22,515434.85
2017-05-23,515721.71
2017-05-24,516129.37
2017-05-25,516570.07
2017-05-26,516654.61
2017-05-30,516650.68
2017-05-31,516756.89
2017-06-01,517163.39
2017-06-02,517364.46
2017-06-05,517352.02
2017-06-06,517360.73
2017-06-07,517399.54
2017-06-08,517424.32
2017-06-09,517401.5
2017-06-12,517400.1
2017-06-13,517458.09
2017-06-14,517462.07
2017-06-15,517462.57
2017-06-16,517401.39
2017-06-19,518907.95
2017-06-20,517646.04
2017-06-21,518146.26
2017-06-22,518320.1
2017-06-23,518800.04
2017-06-26,518856.51
2017-06-27,517674.51
2017-06-28,519260.49
2017-06-29,517830.91
2017-06-30,518000.49
2017-07-03,517306.09
2017-07-05,518433.25
2017-07-06,517214.29
2017-07-07,518600.23
2017-07-10,519212.55
2017-07-11,519574.89
2017-07-12,520191.6
2017-07-13,520323.66
2017-07-14,520444.19
2017-07-17,520454.93
2017-07-18,520472.26
2017-07-19,520481.8
2017-07-20,520482.24
2017-07-21,520417.86
2017-07-24,520915.08
2017-07-25,521133.73
2017-07-26,521555.07
2017-07-27,521135.34
2017-07-28,521192.83
2017-07-31,520979.2
2017-08-01,521496.17
2017-08-02,521611.23
2017-08-03,521373.11
2017-08-04,521891.65
2017-08-07,522491.7
2017-08-08,522500.46
2017-08-09,522317.28
2017-08-10,519378.83
2017-08-11,520645.07
2017-08-14,522762.42
2017-08-15,522482.85
2017-08-16,522678.78
2017-08-17,520758.55
2017-08-18,520976.64
2017-08-21,521092.46
2017-08-22,522620.01
2017-08-23,522522.62
2017-08-24,522497.85
2017-08-25,522653.44
2017-08-28,522986.45
2017-08-29,523254.88
2017-08-30,523661.52
2017-08-31,523898.54
2017-09-01,523938.67
2017-09-05,523880.21
2017-09-06,523961.28
2017-09-07,523992.19
2017-09-08,523989.71
2017-09-11,524007.28
2017-09-12,524007.93
2017-09-13,524007.96
2017-09-14,524007.96
2017-09-15,523956.12
2017-09-18,524124.78
2017-09-19,524457.88
2017-09-20,524340.02
2017-09-21,523735.32
2017-09-22,523856.93
2017-09-25,522430.03
2017-09-26,522918.3
2017-09-27,524315.33
2017-09-28,524458.77
2017-09-29,525313.51
2017-10-02,525504.88
2017-10-03,525766.33
2017-10-04,525899.09
2017-10-05,526298.25
2017-10-06,526367.12
2017-10-09,526399.78
2017-10-10,526466.91
2017-10-11,526514.32
2017-10-12,526522.94
2017-10-13,526542.53
2017-10-16,526547.23
2017-10-17,526547.8
2017-10-18,526547.85
2017-10-19,526547.85
2017-10-20,526514.82
2017-10-23,525652.35
2017-10-24,526095.44
2017-10-25,525341.05
2017-10-26,525137.09
2017-10-27,527571.12
2017-10-30,527372.34
2017-10-31,527727.45
2017-11-01,527625.78
2017-11-02,527772.66
2017-11-03,527829.17
2017-11-06,527905.03
2017-11-07,527519.45
2017-11-08,527640.5
2017-11-09,527496.18
2017-11-10,527495.65
2017-11-13,527534.08
2017-11-14,527435.72
2017-11-15,527103.96
2017-11-16,528113.71
2017-11-17,528114.0
2017-11-20,528396.39
2017-11-21,529534.19
2017-11-22,529712.37
2017-11-24,530015.17
2017-11-27,530055.44
2017-11-28,530318.07
2017-11-29,529607.29
2017-11-30,530170.01
2017-12-01,530070.31
2017-12-04,529435.32
2017-12-05,529634.12
2017-12-06,530074.44
2017-12-07,530373.55
2017-12-08,530587.33
2017-12-11,530705.99
2017-12-12,530720.05
2017-12-13,530727.73
2017-12-14,530728.23
2017-12-15,530674.99
2017-12-18,531847.54
2017-12-19,531224.73
2017-12-20,531241.25
2017-12-21,531487.6
2017-12-22,531558.1
2017-12-26,531238.97
2017-12-27,531416.88
2017-12-28,531724.24
2017-12-29,531163.61
2018-01-02,532700.87
2018-01-03,533083.31
2018-01-04,533184.71
2018-01-05,533290.28
2018-01-08,533315.57
2018-01-09,533323.03
2018-01-10,533328.91
2018-01-11,533336.48
2018-01-12,533336.69
2018-01-16,533336.68
2018-01-17,533336.69
2018-01-18,533336.69
2018-01-19,533291.98
2018-01-22,534379.25
2018-01-23,534862.89
2018-01-24,534645.09
2018-01-25,534694.63
2018-01-26,535219.65
2018-01-29,535072.13
2018-01-30,534619.86
2018-01-31,534625.85
2018-02-01,534682.26
2018-02-02,531226.93
2018-02-05,510326.41
2018-02-06,522900.56
2018-02-07,517787.08
2018-02-08,493483.91
2018-02-09,501616.13
2018-02-12,511813.74
2018-02-13,513544.05
2018-02-14,524780.27
2018-02-15,530433.73
2018-02-16,531151.21
2018-02-20,531247.87
2018-02-21,531259.17
2018-02-22,531891.59
2018-02-23,534558.05
2018-02-26,536071.87
2018-02-27,535215.32
2018-02-28,534579.55
2018-03-01,533180.25
2018-03-02,534968.38
2018-03-05,536451.01
2018-03-06,537288.89
2018-03-07,537766.67
2018-03-08,538258.11
2018-03-09,538798.48
2018-03-12,538929.99
2018-03-13,538955.23
2018-03-14,539035.05
2018-03-15,539062.33
2018-03-16,538977.48
2018-03-19,535962.24
2018-03-20,536616.02
2018-03-21,536345.73
2018-03-22,529754.06
2018-03-23,520226.73
2018-03-26,532498.57
2018-03-27,522613.38
2018-03-28,519461.49
2018-03-29,526469.54
2018-04-02,514203.38
2018-04-03,519914.51
2018-04-04,526249.99
2018-04-05,528953.2
2018-04-06,518851.06
2018-04-09,521823.24
2018-04-10,530686.4
2018-04-11,529081.82
2018-04-12,533505.25
2018-04-13,532136.77
2018-04-16,535239.66
2018-04-17,540930.88
2018-04-18,541831.39
2018-04-19,540793.53
2018-04-20,535653.1
2018-04-23,535781.55
2018-04-24,533354.25
2018-04-25,534003.55
2018-04-26,537023.37
2018-04-27,537562.66
2018-04-30,537005.25
2018-05-01,538474.17
2018-05-02,538446.56
2018-05-03,538875.28
2018-05-04,540943.73
2018-05-07,541774.09
2018-05-08,542112.33
2018-05-09,542763.62
2018-05-10,543148.45
2018-05-11,543266.46
2018-05-14,543341.08
2018-05-15,543357.83
2018-05-16,543384.07
2018-05-17,543385.6
2018-05-18,543319.33
2018-05-21,544299.75
2018-05-22,544188.02
2018-05-23,544726.96
2018-05-24,544753.81
2018-05-25,544590.75
2018-05-29,542669.49
2018-05-30,544833.66
2018-05-31,544305.0
2018-06-01,545552.65
2018-06-04,545919.17
2018-06-05,545886.04
2018-06-06,546400.45
2018-06-07,546171.1
2018-06-08,546267.12
2018-06-11,546537.13
2018-06-12,546335.8
2018-06-13,546450.29
2018-06-14,546388.22
2018-06-15,545894.34
2018-06-18,545799.01
2018-06-19,544502.64
2018-06-20,545400.14
