date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,500000.0
2016-10-31,500000.0
2016-11-01,500000.0
2016-11-02,500000.0
2016-11-03,500000.0
2016-11-04,500000.0
2016-11-07,500000.0
2016-11-08,500000.0
2016-11-09,500000.0
2016-11-10,500000.0
2016-11-11,500000.0
2016-11-14,500000.0
2016-11-15,500000.0
2016-11-16,500000.0
2016-11-17,500000.0
2016-11-18,499730.98
2016-11-21,500995.11
2016-11-22,501510.72
2016-11-23,501493.17
2016-11-25,501900.89
2016-11-28,501736.12
2016-11-29,502094.82
2016-11-30,501635.5
2016-12-01,500105.39
2016-12-02,500563.3
2016-12-05,501747.64
2016-12-06,502162.36
2016-12-07,502827.45
2016-12-08,502949.03
2016-12-09,503062.5
2016-12-12,503068.05
2016-12-13,503093.27
2016-12-14,503093.7
2016-12-15,503093.73
2016-12-16,502863.6
2016-12-19,503453.58
2016-12-20,504076.37
2016-12-21,503804.42
2016-12-22,503459.83
2016-12-23,503864.74
2016-12-27,504319.46
2016-12-28,503655.74
2016-12-29,503809.64
2016-12-30,503117.92
2017-01-03,504321.48
2017-01-04,505085.73
2017-01-05,505310.58
2017-01-06,505481.85
2017-01-09,505457.29
2017-01-10,505627.76
2017-01-11,505686.38
2017-01-12,505663.06
2017-01-13,505724.24
2017-01-17,505679.91
2017-01-18,505727.93
2017-01-19,505726.09
2017-01-20,505590.79
2017-01-23,505656.29
2017-01-24,506579.08
2017-01-25,507161.71
2017-01-26,507163.01
2017-01-27,507172.73
2017-01-30,506822.9
2017-01-31,506975.42
2017-02-01,507154.85
2017-02-02,507179.41
2017-02-03,507383.27
2017-02-06,507346.32
2017-02-07,507348.73
2017-02-08,507377.25
2017-02-09,507447.33
2017-02-10,507456.76
2017-02-13,507458.53
2017-02-14,507458.69
2017-02-15,507458.71
2017-02-16,507458.71
2017-02-17,507337.2
2017-02-21,508034.8
2017-02-22,508033.88
2017-02-23,507837.49
2017-02-24,507907.65
2017-02-27,508217.17
2017-02-28,507837.18
2017-03-01,508663.57
2017-03-02,508428.06
2017-03-03,508553.83
2017-03-06,508422.96
2017-03-07,508254.85
2017-03-08,508065.08
2017-03-09,508016.75
2017-03-10,508331.69
2017-03-13,508491.71
2017-03-14,508374.4
2017-03-15,508823.99
2017-03-16,508853.02
2017-03-17,508702.88
2017-03-20,508708.11
2017-03-21,505310.84
2017-03-22,506614.99
2017-03-23,506634.1
2017-03-24,506974.1
2017-03-27,507413.75
2017-03-28,508748.3
2017-03-29,509234.72
2017-03-30,509623.07
2017-03-31,509653.62
2017-04-03,509394.83
2017-04-04,509515.68
2017-04-05,508897.98
2017-04-06,509481.95
2017-04-07,509544.25
2017-04-10,509744.2
2017-04-11,509958.89
2017-04-12,509368.36
2017-04-13,508342.13
2017-04-17,510062.75
2017-04-18,510109.36
2017-04-19,510284.8
2017-04-20,510613.73
2017-04-21,510493.81
2017-04-24,511648.03
2017-04-25,511889.71
2017-04-26,511921.43
2017-04-27,511964.76
2017-04-28,511901.9
2017-05-01,511964.87
2017-05-02,511950.12
2017-05-03,511917.37
2017-05-04,511925.32
2017-05-05,511986.0
2017-05-08,511977.14
2017-05-09,511988.69
2017-05-10,512019.25
2017-05-11,512010.12
2017-05-12,512003.02
2017-05-15,512029.5
2017-05-16,512032.42
2017-05-17,511918.58
2017-05-18,512019.28
2017-05-19,511817.5
2017-05-22,512796.49
2017-05-23,513055.15
2017-05-24,513421.83
2017-05-25,513802.17
2017-05-26,513861.63
2017-05-30,513840.19
2017-05-31,513929.08
2017-06-01,514290.27
2017-06-02,514449.91
2017-06-05,514435.26
2017-06-06,514439.9
2017-06-07,514468.41
2017-06-08,514485.31
2017-06-09,514468.45
2017-06-12,514464.02
2017-06-13,514512.26
2017-06-14,514515.03
2017-06-15,514515.16
2017-06-16,514297.93
2017-06-19,515735.08
2017-06-20,514461.71
2017-06-21,514902.94
2017-06-22,515060.48
2017-06-23,515513.67
2017-06-26,515574.52
2017-06-27,514416.58
2017-06-28,515974.47
2017-06-29,514525.32
2017-06-30,514679.11
2017-07-03,513912.17
2017-07-05,515066.88
2017-07-06,513747.43
2017-07-07,515174.9
2017-07-10,515782.28
2017-07-11,516134.16
2017-07-12,516745.51
2017-07-13,516870.5
2017-07-14,516986.22
2017-07-17,516993.26
2017-07-18,517009.68
2017-07-19,517018.99
2017-07-20,517019.37
2017-07-21,516792.04
2017-07-24,517260.52
2017-07-25,517456.34
2017-07-26,517851.85
2017-07-27,517420.28
2017-07-28,517454.24
2017-07-31,517211.27
2017-08-01,517704.92
2017-08-02,517780.61
2017-08-03,517501.49
2017-08-04,518012.06
2017-08-07,518590.16
2017-08-08,518571.13
2017-08-09,518325.21
2017-08-10,515069.2
2017-08-11,516395.12
2017-08-14,518682.86
2017-08-15,518297.21
2017-08-16,518460.88
2017-08-17,516306.08
2017-08-18,516433.22
2017-08-21,516527.58
2017-08-22,517985.31
2017-08-23,517883.48
2017-08-24,517845.48
2017-08-25,517977.29
2017-08-28,518277.15
2017-08-29,518512.68
2017-08-30,518854.65
2017-08-31,519042.28
2017-09-01,519069.91
2017-09-05,519022.64
2017-09-06,519084.08
2017-09-07,519104.31
2017-09-08,519101.96
2017-09-11,519112.34
2017-09-12,519112.59
2017-09-13,519112.59
2017-09-14,519112.59
2017-09-15,518929.11
2017-09-18,519080.34
2017-09-19,519396.42
2017-09-20,519262.9
2017-09-21,518631.86
2017-09-22,518730.1
2017-09-25,517201.93
2017-09-26,517697.96
2017-09-27,519135.59
2017-09-28,519262.36
2017-09-29,520119.1
2017-10-02,520295.2
2017-10-03,520540.73
2017-10-04,520661.09
2017-10-05,521028.84
2017-10-06,521085.11
2017-10-09,521110.18
2017-10-10,521164.06
2017-10-11,521200.4
2017-10-12,521205.94
2017-10-13,521219.64
2017-10-16,521222.42
2017-10-17,521222.69
2017-10-18,521222.7
2017-10-19,521222.7
2017-10-20,521105.4
2017-10-23,520211.96
2017-10-24,520654.36
2017-10-25,519848.2
2017-10-26,519609.81
2017-10-27,522058.15
2017-10-30,521831.5
2017-10-31,522181.02
2017-11-01,522061.2
2017-11-02,522207.21
2017-11-03,522248.8
2017-11-06,522320.23
2017-11-07,521886.81
2017-11-08,522007.41
2017-11-09,521835.43
2017-11-10,521819.46
2017-11-13,521844.19
2017-11-14,521704.02
2017-11-15,521280.87
2017-11-16,522488.91
2017-11-17,522386.71
2017-11-20,522647.14
2017-11-21,523726.32
2017-11-22,523881.22
2017-11-24,524144.75
2017-11-27,524175.49
2017-11-28,524392.0
2017-11-29,523709.29
2017-11-30,524240.8
2017-12-01,524137.22
2017-12-04,523477.91
2017-12-05,523666.77
2017-12-06,524104.24
2017-12-07,524386.17
2017-12-08,524582.26
2017-12-11,524683.12
2017-12-12,524692.85
2017-12-13,524697.99
2017-12-14,524698.26
2017-12-15,524509.86
2017-12-18,525632.73
2017-12-19,525021.08
2017-12-20,525020.61
2017-12-21,525250.53
2017-12-22,525305.83
2017-12-26,524965.82
2017-12-27,525126.25
2017-12-28,525414.81
2017-12-29,524818.65
2018-01-02,526343.61
2018-01-03,526678.21
2018-01-04,526757.51
2018-01-05,526835.46
2018-01-08,526852.13
2018-01-09,526856.51
2018-01-10,526860.34
2018-01-11,526864.86
2018-01-12,526864.92
2018-01-16,526864.92
2018-01-17,526864.92
2018-01-18,526864.92
2018-01-19,526706.42
2018-01-22,527745.59
2018-01-23,528174.07
2018-01-24,527971.17
2018-01-25,528010.16
2018-01-26,528454.01
2018-01-29,528320.53
2018-01-30,527885.87
2018-01-31,527853.6
2018-02-01,527929.31
2018-02-02,524215.27
2018-02-05,502138.55
2018-02-06,515196.55
2018-02-07,509715.62
2018-02-08,485239.69
2018-02-09,493336.71
2018-02-12,503511.69
2018-02-13,505235.13
2018-02-14,516738.09
2018-02-15,522969.61
2018-02-16,523295.88
2018-02-20,523331.38
2018-02-21,523286.02
2018-02-22,523862.76
2018-02-23,526418.01
2018-02-26,527802.34
2018-02-27,526950.78
2018-02-28,526262.39
2018-03-01,524796.54
2018-03-02,526534.59
2018-03-05,527936.75
2018-03-06,528702.13
2018-03-07,529107.73
2018-03-08,529532.44
2018-03-09,529989.45
2018-03-12,530094.24
2018-03-13,530107.13
2018-03-14,530181.19
2018-03-15,530207.89
2018-03-16,529903.8
2018-03-19,526794.48
2018-03-20,527439.81
2018-03-21,527113.54
2018-03-22,520038.16
2018-03-23,509728.25
2018-03-26,522874.72
2018-03-27,512153.77
2018-03-28,508754.57
2018-03-29,516151.95
2018-04-02,503087.08
2018-04-03,509036.48
2018-04-04,515689.82
2018-04-05,518519.99
2018-04-06,507725.86
2018-04-09,510746.95
2018-04-10,520092.3
2018-04-11,518271.92
2018-04-12,522938.69
2018-04-13,521322.89
2018-04-16,524587.83
2018-04-17,530922.27
2018-04-18,531860.81
2018-04-19,530289.57
2018-04-20,524160.95
2018-04-23,524240.65
2018-04-24,521738.4
2018-04-25,522337.59
2018-04-26,525321.84
2018-04-27,525804.67
2018-04-30,525190.21
2018-05-01,526591.9
2018-05-02,526513.09
2018-05-03,526881.42
2018-05-04,528856.66
2018-05-07,529597.45
2018-05-08,529880.37
2018-05-09,530436.98
2018-05-10,530744.92
2018-05-11,530829.62
2018-05-14,530879.05
2018-05-15,530887.89
2018-05-16,530904.37
2018-05-17,530905.18
2018-05-18,530671.46
2018-05-21,531610.24
2018-05-22,531483.22
2018-05-23,531970.24
2018-05-24,531966.98
2018-05-25,531748.71
2018-05-29,529714.76
2018-05-30,531888.87
2018-05-31,531307.55
2018-06-01,532523.41
2018-06-04,532867.0
2018-06-05,532802.19
2018-06-06,533354.38
2018-06-07,533086.89
2018-06-08,533183.12
2018-06-11,533488.09
2018-06-12,533237.44
2018-06-13,533359.63
2018-06-14,533254.23
2018-06-15,532572.57
2018-06-18,532458.43
2018-06-19,531075.59
2018-06-20,531952.69
