date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,499981.88
2016-10-31,500134.03
2016-11-01,498900.14
2016-11-02,495484.52
2016-11-03,491019.96
2016-11-04,489153.66
2016-11-07,490103.85
2016-11-08,490109.68
2016-11-09,490110.08
2016-11-10,490110.08
2016-11-11,490082.98
2016-11-14,489211.34
2016-11-15,491094.76
2016-11-16,490966.75
2016-11-17,491395.46
2016-11-18,490782.35
2016-11-21,491813.65
2016-11-22,492057.79
2016-11-23,492095.24
2016-11-25,492071.34
2016-11-28,491676.1
2016-11-29,492472.36
2016-11-30,491783.29
2016-12-01,487638.94
2016-12-02,488573.22
2016-12-05,489643.04
2016-12-06,489901.19
2016-12-07,490027.74
2016-12-08,490029.68
2016-12-09,490005.6
2016-12-12,489480.86
2016-12-13,490709.14
2016-12-14,489834.77
2016-12-15,490588.66
2016-12-16,490820.05
2016-12-19,491423.08
2016-12-20,491838.97
2016-12-21,491744.55
2016-12-22,491766.16
2016-12-23,491980.56
2016-12-27,492605.78
2016-12-28,492104.94
2016-12-29,492565.36
2016-12-30,491371.61
2017-01-03,492134.32
2017-01-04,492285.09
2017-01-05,492286.73
2017-01-06,492267.32
2017-01-09,492431.44
2017-01-10,492898.1
2017-01-11,493185.53
2017-01-12,493206.49
2017-01-13,493248.82
2017-01-17,492559.77
2017-01-18,493189.83
2017-01-19,492777.4
2017-01-20,493822.93
2017-01-23,493959.31
2017-01-24,494588.18
2017-01-25,494649.7
2017-01-26,494649.94
2017-01-27,494633.85
2017-01-30,492983.53
2017-01-31,493234.75
2017-02-01,494731.87
2017-02-02,495005.35
2017-02-03,495423.9
2017-02-06,495217.11
2017-02-07,495302.76
2017-02-08,495529.93
2017-02-09,496141.12
2017-02-10,496158.82
2017-02-13,496694.57
2017-02-14,496819.36
2017-02-15,496885.57
2017-02-16,496890.55
2017-02-17,496878.44
2017-02-21,497415.91
2017-02-22,497454.41
2017-02-23,497459.68
2017-02-24,497489.76
2017-02-27,497842.75
2017-02-28,497526.2
2017-03-01,498130.04
2017-03-02,498123.94
2017-03-03,498117.06
2017-03-06,497783.58
2017-03-07,497364.21
2017-03-08,497208.58
2017-03-09,497565.87
2017-03-10,498333.24
2017-03-13,498721.35
2017-03-14,498500.43
2017-03-15,499055.58
2017-03-16,499064.73
2017-03-17,499049.82
2017-03-20,499143.07
2017-03-21,493816.52
2017-03-22,496253.09
2017-03-23,496288.59
2017-03-24,496838.98
2017-03-27,497231.26
2017-03-28,497729.34
2017-03-29,497801.1
2017-03-30,497811.83
2017-03-31,497795.7
2017-04-03,497590.63
2017-04-04,497895.55
2017-04-05,497053.47
2017-04-06,498124.36
2017-04-07,498632.5
2017-04-10,498912.01
2017-04-11,498875.91
2017-04-12,498309.87
2017-04-13,496823.92
2017-04-17,497540.59
2017-04-18,497562.19
2017-04-19,497559.38
2017-04-20,497630.27
2017-04-21,497616.46
2017-04-24,498283.32
2017-04-25,498306.62
2017-04-26,498307.31
2017-04-27,498307.31
2017-04-28,498289.6
2017-05-01,498958.68
2017-05-02,499041.32
2017-05-03,499014.45
2017-05-04,499101.2
2017-05-05,499157.58
2017-05-08,499202.94
2017-05-09,499399.8
2017-05-10,499766.76
2017-05-11,499769.25
2017-05-12,500035.0
2017-05-15,500600.61
2017-05-16,500783.11
2017-05-17,494582.9
2017-05-18,498447.36
2017-05-19,500795.32
2017-05-22,501648.19
2017-05-23,501851.83
2017-05-24,501977.73
2017-05-25,502013.6
2017-05-26,501998.53
2017-05-30,502107.77
2017-05-31,502404.39
2017-06-01,502982.95
2017-06-02,502970.8
2017-06-05,502938.21
2017-06-06,502772.6
2017-06-07,503505.75
2017-06-08,503867.03
2017-06-09,498885.63
2017-06-12,498570.59
2017-06-13,499780.56
2017-06-14,499787.09
2017-06-15,499748.41
2017-06-16,500221.94
2017-06-19,501175.24
2017-06-20,499955.32
2017-06-21,499950.63
2017-06-22,500063.27
2017-06-23,500293.15
2017-06-26,500259.58
2017-06-27,496609.89
2017-06-28,500547.44
2017-06-29,496331.47
2017-06-30,496296.3
2017-07-03,495810.09
2017-07-05,497104.91
2017-07-06,496402.95
2017-07-07,497492.52
2017-07-10,498190.85
2017-07-11,498622.85
2017-07-12,498974.22
2017-07-13,498992.22
2017-07-14,498964.79
2017-07-17,499320.92
2017-07-18,499920.76
2017-07-19,500315.57
2017-07-20,500362.41
2017-07-21,500338.91
2017-07-24,500847.31
2017-07-25,501127.29
2017-07-26,501451.43
2017-07-27,501481.42
2017-07-28,501543.82
2017-07-31,501305.47
2017-08-01,501863.85
2017-08-02,501867.94
2017-08-03,501621.34
2017-08-04,502251.37
2017-08-07,502705.02
2017-08-08,502546.91
2017-08-09,502274.98
2017-08-10,493862.69
2017-08-11,496782.81
2017-08-14,497649.57
2017-08-15,497670.1
2017-08-16,497701.0
2017-08-17,497105.11
2017-08-18,497620.9
2017-08-21,497852.51
2017-08-22,498747.86
2017-08-23,498784.47
2017-08-24,498812.96
2017-08-25,498791.86
2017-08-28,499348.05
2017-08-29,499675.43
2017-08-30,499920.25
2017-08-31,500065.8
2017-09-01,500043.73
2017-09-05,498817.45
2017-09-06,500110.06
2017-09-07,500792.52
2017-09-08,501225.13
2017-09-11,502236.49
2017-09-12,502375.87
2017-09-13,502408.05
2017-09-14,502416.03
2017-09-15,502399.04
2017-09-18,502618.21
2017-09-19,502967.56
2017-09-20,502982.29
2017-09-21,502609.4
2017-09-22,503172.85
2017-09-25,501738.62
2017-09-26,502405.79
2017-09-27,503652.32
2017-09-28,503906.96
2017-09-29,503978.59
2017-10-02,504367.65
2017-10-03,504661.61
2017-10-04,504762.8
2017-10-05,504819.13
2017-10-06,504809.43
2017-10-09,504795.89
2017-10-10,505209.51
2017-10-11,505465.88
2017-10-12,505536.68
2017-10-13,505566.11
2017-10-16,505902.96
2017-10-17,505936.75
2017-10-18,506175.45
2017-10-19,506199.61
2017-10-20,506243.95
2017-10-23,505233.62
2017-10-24,505942.32
2017-10-25,504875.04
2017-10-26,504515.84
2017-10-27,506891.03
2017-10-30,506765.76
2017-10-31,507482.67
2017-11-01,507335.01
2017-11-02,507629.27
2017-11-03,507718.83
2017-11-06,508205.28
2017-11-07,507896.51
2017-11-08,508266.36
2017-11-09,507963.61
2017-11-10,507753.05
2017-11-13,507943.22
2017-11-14,507825.15
2017-11-15,507025.58
2017-11-16,508671.09
2017-11-17,508576.74
2017-11-20,508930.18
2017-11-21,509493.46
2017-11-22,509518.41
2017-11-24,509497.9
2017-11-27,509462.66
2017-11-28,510232.58
2017-11-29,508199.05
2017-11-30,510144.6
2017-12-01,510486.58
2017-12-04,508977.18
2017-12-05,508862.48
2017-12-06,509604.55
2017-12-07,510996.37
2017-12-08,511460.35
2017-12-11,512130.88
2017-12-12,512211.53
2017-12-13,512434.89
2017-12-14,512327.21
2017-12-15,512458.49
2017-12-18,513303.42
2017-12-19,513098.49
2017-12-20,513207.1
2017-12-21,513426.84
2017-12-22,513442.21
2017-12-26,513170.23
2017-12-27,513575.98
2017-12-28,514105.2
2017-12-29,514025.0
2018-01-02,514757.25
2018-01-03,514781.06
2018-01-04,514784.17
2018-01-05,514765.44
2018-01-08,515250.13
2018-01-09,515443.38
2018-01-10,515519.24
2018-01-11,515702.11
2018-01-12,515685.16
2018-01-16,515171.83
2018-01-17,516411.59
2018-01-18,516313.08
2018-01-19,516540.98
2018-01-22,517312.08
2018-01-23,517415.81
2018-01-24,517407.88
2018-01-25,517430.3
2018-01-26,517413.33
2018-01-29,516532.65
2018-01-30,513598.78
2018-01-31,514318.03
2018-02-01,513037.32
2018-02-02,499162.72
2018-02-05,481779.71
2018-02-06,494293.76
2018-02-07,489489.28
2018-02-08,464823.08
2018-02-09,472927.73
2018-02-12,474824.15
2018-02-13,475212.11
2018-02-14,475476.09
2018-02-15,475481.47
2018-02-16,475432.38
2018-02-20,475784.3
2018-02-21,476272.37
2018-02-22,477352.22
2018-02-23,477830.26
2018-02-26,479591.49
2018-02-27,479022.19
2018-02-28,478567.28
2018-03-01,477298.36
2018-03-02,480403.37
2018-03-05,482080.34
2018-03-06,482845.47
2018-03-07,483209.49
2018-03-08,483356.13
2018-03-09,483328.08
2018-03-12,484037.75
2018-03-13,483232.77
2018-03-14,483551.14
2018-03-15,484026.71
2018-03-16,484875.58
2018-03-19,481142.46
2018-03-20,482349.07
2018-03-21,481942.23
2018-03-22,469368.92
2018-03-23,454880.36
2018-03-26,456376.07
2018-03-27,456055.59
2018-03-28,455937.71
2018-03-29,456358.21
2018-04-02,451469.79
2018-04-03,455226.66
2018-04-04,457761.1
2018-04-05,458430.93
2018-04-06,458453.28
2018-04-09,459604.4
2018-04-10,460760.47
2018-04-11,460844.27
2018-04-12,460906.58
2018-04-13,460856.1
2018-04-16,462137.72
2018-04-17,463189.21
2018-04-18,463355.16
2018-04-19,463385.04
2018-04-20,463340.34
2018-04-23,463713.17
2018-04-24,461780.13
2018-04-25,462981.23
2018-04-26,465595.27
2018-04-27,465776.54
2018-04-30,465242.48
2018-05-01,466560.86
2018-05-02,466709.95
2018-05-03,467255.58
2018-05-04,467665.56
2018-05-07,468560.2
2018-05-08,468786.18
2018-05-09,469114.32
2018-05-10,469139.54
2018-05-11,469112.75
2018-05-14,469479.92
2018-05-15,468686.53
2018-05-16,469887.96
2018-05-17,470159.4
2018-05-18,470350.31
2018-05-21,471133.6
2018-05-22,471181.2
2018-05-23,471296.7
2018-05-24,471165.58
2018-05-25,470545.92
2018-05-29,468778.22
2018-05-30,471108.92
2018-05-31,470819.51
2018-06-01,471389.51
2018-06-04,472165.95
2018-06-05,472343.03
2018-06-06,472463.47
2018-06-07,472466.06
2018-06-08,472448.43
2018-06-11,472948.12
2018-06-12,473230.43
2018-06-13,473311.4
2018-06-14,473402.04
2018-06-15,473398.3
2018-06-18,473380.52
2018-06-19,471398.13
2018-06-20,472094.46
