date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,499921.89
2016-10-31,500093.41
2016-11-01,498936.19
2016-11-02,495788.5
2016-11-03,491475.67
2016-11-04,489570.77
2016-11-07,490592.97
2016-11-08,490602.18
2016-11-09,490602.93
2016-11-10,490602.94
2016-11-11,490485.85
2016-11-14,489681.96
2016-11-15,491564.23
2016-11-16,491490.89
2016-11-17,491908.88
2016-11-18,491272.34
2016-11-21,492360.05
2016-11-22,492640.37
2016-11-23,492689.32
2016-11-25,492571.61
2016-11-28,492219.34
2016-11-29,493044.05
2016-11-30,492430.99
2016-12-01,488676.69
2016-12-02,489652.5
2016-12-05,490777.9
2016-12-06,491073.08
2016-12-07,491226.96
2016-12-08,491230.19
2016-12-09,491125.94
2016-12-12,490639.08
2016-12-13,491904.3
2016-12-14,491105.93
2016-12-15,491862.24
2016-12-16,492066.33
2016-12-19,492701.2
2016-12-20,493153.15
2016-12-21,493080.17
2016-12-22,493123.04
2016-12-23,493255.14
2016-12-27,493915.32
2016-12-28,493445.28
2016-12-29,493933.28
2016-12-30,493027.51
2017-01-03,493835.35
2017-01-04,494014.44
2017-01-05,494017.34
2017-01-06,493931.83
2017-01-09,494125.26
2017-01-10,494613.47
2017-01-11,494921.09
2017-01-12,494952.82
2017-01-13,494945.63
2017-01-17,494301.77
2017-01-18,494946.29
2017-01-19,494618.23
2017-01-20,495616.43
2017-01-23,495773.1
2017-01-24,496433.82
2017-01-25,496510.44
2017-01-26,496510.87
2017-01-27,496441.24
2017-01-30,494865.79
2017-01-31,495146.79
2017-02-01,496607.19
2017-02-02,496904.57
2017-02-03,497246.99
2017-02-06,497069.79
2017-02-07,497190.17
2017-02-08,497435.48
2017-02-09,498024.73
2017-02-10,497994.02
2017-02-13,498559.41
2017-02-14,498701.62
2017-02-15,498778.05
2017-02-16,498784.67
2017-02-17,498731.25
2017-02-21,499300.14
2017-02-22,499348.48
2017-02-23,499360.55
2017-02-24,499350.16
2017-02-27,499721.39
2017-02-28,499417.51
2017-03-01,500041.38
2017-03-02,500035.14
2017-03-03,499980.75
2017-03-06,499669.56
2017-03-07,499297.58
2017-03-08,499202.69
2017-03-09,499590.53
2017-03-10,500317.96
2017-03-13,500725.54
2017-03-14,500518.02
2017-03-15,501095.88
2017-03-16,501108.25
2017-03-17,501041.57
2017-03-20,501153.33
2017-03-21,496087.28
2017-03-22,498474.99
2017-03-23,498604.82
2017-03-24,499172.28
2017-03-27,499587.35
2017-03-28,500122.96
2017-03-29,500210.42
2017-03-30,500224.74
2017-03-31,500152.15
2017-04-03,499973.25
2017-04-04,500300.47
2017-04-05,499538.05
2017-04-06,500587.18
2017-04-07,501008.17
2017-04-10,501307.97
2017-04-11,501302.07
2017-04-12,500816.86
2017-04-13,499444.76
2017-04-17,500205.37
2017-04-18,500234.17
2017-04-19,500244.25
2017-04-20,500318.0
2017-04-21,500258.21
2017-04-24,500974.14
2017-04-25,501004.58
2017-04-26,501005.74
2017-04-27,501005.76
2017-04-28,500929.05
2017-05-01,501636.92
2017-05-02,501736.88
2017-05-03,501720.2
2017-05-04,501816.62
2017-05-05,501810.51
2017-05-08,501883.42
2017-05-09,502111.78
2017-05-10,502490.49
2017-05-11,502516.04
2017-05-12,502708.76
2017-05-15,503302.39
2017-05-16,503509.43
2017-05-17,497540.13
2017-05-18,501376.18
2017-05-19,503463.96
2017-05-22,504363.79
2017-05-23,504594.48
2017-05-24,504742.72
2017-05-25,504785.16
2017-05-26,504704.3
2017-05-30,504846.7
2017-05-31,505172.64
2017-06-01,505770.26
2017-06-02,505683.24
2017-06-05,505680.71
2017-06-06,505551.37
2017-06-07,506305.38
2017-06-08,506694.61
2017-06-09,501984.08
2017-06-12,501700.28
2017-06-13,502943.56
2017-06-14,502975.37
2017-06-15,502984.88
2017-06-16,503368.2
2017-06-19,504387.44
2017-06-20,503216.61
2017-06-21,503249.04
2017-06-22,503371.45
2017-06-23,503522.61
2017-06-26,503515.29
2017-06-27,500054.82
2017-06-28,503882.1
2017-06-29,499964.44
2017-06-30,499877.23
2017-07-03,499437.7
2017-07-05,500757.23
2017-07-06,500145.8
2017-07-07,501083.31
2017-07-10,501831.06
2017-07-11,502300.96
2017-07-12,502695.91
2017-07-13,502719.7
2017-07-14,502598.46
2017-07-17,502986.54
2017-07-18,503629.72
2017-07-19,504063.81
2017-07-20,504122.09
2017-07-21,504016.9
2017-07-24,504562.09
2017-07-25,504867.47
2017-07-26,505220.47
2017-07-27,505264.36
2017-07-28,505274.95
2017-07-31,505057.45
2017-08-01,505635.11
2017-08-02,505679.87
2017-08-03,505484.72
2017-08-04,506099.9
2017-08-07,506581.98
2017-08-08,506439.05
2017-08-09,506203.44
2017-08-10,498044.78
2017-08-11,500954.05
2017-08-14,501884.51
2017-08-15,501913.4
2017-08-16,501953.2
2017-08-17,501396.93
2017-08-18,501856.83
2017-08-21,502114.44
2017-08-22,503072.88
2017-08-23,503119.01
2017-08-24,503155.89
2017-08-25,503050.3
2017-08-28,503641.54
2017-08-29,504008.3
2017-08-30,504292.83
2017-08-31,504439.96
2017-09-01,504337.16
2017-09-05,503173.45
2017-09-06,504482.23
2017-09-07,505202.54
2017-09-08,505547.92
2017-09-11,506623.88
2017-09-12,506791.85
2017-09-13,506835.01
2017-09-14,506846.12
2017-09-15,506768.92
2017-09-18,507011.36
2017-09-19,507383.58
2017-09-20,507417.58
2017-09-21,507106.18
2017-09-22,507651.62
2017-09-25,506277.6
2017-09-26,506957.32
2017-09-27,508198.64
2017-09-28,508458.16
2017-09-29,508471.75
2017-10-02,508886.28
2017-10-03,509201.31
2017-10-04,509316.77
2017-10-05,509382.78
2017-10-06,509322.19
2017-10-09,509326.71
2017-10-10,509756.84
2017-10-11,510030.54
2017-10-12,510110.47
2017-10-13,510095.76
2017-10-16,510451.45
2017-10-17,510505.02
2017-10-18,510750.01
2017-10-19,510782.42
2017-10-20,510784.35
2017-10-23,509824.1
2017-10-24,510528.04
2017-10-25,509566.21
2017-10-26,509304.26
2017-10-27,511422.77
2017-10-30,511338.87
2017-10-31,512062.51
2017-11-01,511950.09
2017-11-02,512244.62
2017-11-03,512318.16
2017-11-06,512826.35
2017-11-07,512558.15
2017-11-08,512947.42
2017-11-09,512687.1
2017-11-10,512461.83
2017-11-13,512675.33
2017-11-14,512580.83
2017-11-15,511861.48
2017-11-16,513452.93
2017-11-17,513332.45
2017-11-20,513712.43
2017-11-21,514314.92
2017-11-22,514347.37
2017-11-24,514257.3
2017-11-27,514249.22
2017-11-28,515041.57
2017-11-29,513151.32
2017-11-30,515008.42
2017-12-01,515309.44
2017-12-04,513877.75
2017-12-05,513814.85
2017-12-06,514572.96
2017-12-07,515927.79
2017-12-08,516293.26
2017-12-11,516996.89
2017-12-12,517096.04
2017-12-13,517338.1
2017-12-14,517250.11
2017-12-15,517304.5
2017-12-18,518194.76
2017-12-19,517988.61
2017-12-20,518117.56
2017-12-21,518348.15
2017-12-22,518305.68
2017-12-26,518068.07
2017-12-27,518497.78
2017-12-28,519042.72
2017-12-29,519173.72
2018-01-02,519956.62
2018-01-03,519987.19
2018-01-04,519991.51
2018-01-05,519910.73
2018-01-08,520418.24
2018-01-09,520630.69
2018-01-10,520720.42
2018-01-11,520919.99
2018-01-12,520845.46
2018-01-16,520377.41
2018-01-17,521627.79
2018-01-18,521557.47
2018-01-19,521709.93
2018-01-22,522523.79
2018-01-23,522648.86
2018-01-24,522642.15
2018-01-25,522668.03
2018-01-26,522586.24
2018-01-29,521756.36
2018-01-30,519011.68
2018-01-31,519746.57
2018-02-01,518671.93
2018-02-02,504820.96
2018-02-05,487968.41
2018-02-06,500243.88
2018-02-07,495702.11
2018-02-08,470914.48
2018-02-09,478935.07
2018-02-12,480962.03
2018-02-13,481414.48
2018-02-14,481740.61
2018-02-15,481749.57
2018-02-16,481533.2
2018-02-20,481969.53
2018-02-21,482538.97
2018-02-22,483686.64
2018-02-23,483987.52
2018-02-26,485865.21
2018-02-27,485325.02
2018-02-28,484978.61
2018-03-01,483954.35
2018-03-02,486829.31
2018-03-05,488616.73
2018-03-06,489471.93
2018-03-07,489901.32
2018-03-08,490084.16
2018-03-09,489947.7
2018-03-12,490710.03
2018-03-13,489932.76
2018-03-14,490309.47
2018-03-15,490850.33
2018-03-16,491608.27
2018-03-19,487978.09
2018-03-20,489223.55
2018-03-21,488924.01
2018-03-22,476599.16
2018-03-23,461727.63
2018-03-26,463368.64
2018-03-27,463011.1
2018-03-28,462934.65
2018-03-29,463215.98
2018-04-02,458447.16
2018-04-03,462200.58
2018-04-04,464783.54
2018-04-05,465507.41
2018-04-06,465372.3
2018-04-09,466609.52
2018-04-10,467897.64
2018-04-11,468007.35
2018-04-12,468090.9
2018-04-13,467866.58
2018-04-16,469241.15
2018-04-17,470418.7
2018-04-18,470626.49
2018-04-19,470668.64
2018-04-20,470456.07
2018-04-23,470886.88
2018-04-24,469032.74
2018-04-25,470317.93
2018-04-26,472963.27
2018-04-27,473031.12
2018-04-30,472538.27
2018-05-01,473929.5
2018-05-02,474129.04
2018-05-03,474724.9
2018-05-04,475025.22
2018-05-07,475984.65
2018-05-08,476244.94
2018-05-09,476622.54
2018-05-10,476656.38
2018-05-11,476537.76
2018-05-14,476944.93
2018-05-15,476185.12
2018-05-16,477420.81
2018-05-17,477723.99
2018-05-18,477877.25
2018-05-21,478715.77
2018-05-22,478782.68
2018-05-23,478945.9
2018-05-24,478844.13
2018-05-25,478170.67
2018-05-29,476475.82
2018-05-30,478802.21
2018-05-31,478561.42
2018-06-01,479029.38
2018-06-04,479860.93
2018-06-05,480068.7
2018-06-06,480210.35
2018-06-07,480214.34
2018-06-08,480131.47
2018-06-11,480664.85
2018-06-12,480981.58
2018-06-13,481077.77
2018-06-14,481180.4
2018-06-15,481115.25
2018-06-18,481122.28
2018-06-19,479229.85
2018-06-20,479957.77
