month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,2037.29
2016-12,2097.52
2017-01,4262.14
2017-02,1140.0
2017-03,2170.44
2017-04,2593.48
2017-05,2456.02
2017-06,1243.6
2017-07,2978.71
2017-08,2919.34
2017-09,1414.97
2017-10,2413.94
2017-11,2442.56
2017-12,993.6
2018-01,3462.24
2018-02,-46.3
2018-03,-8110.01
2018-04,10535.71
2018-05,7299.75
2018-06,-4414.85
2018-07,8613.28
2018-08,7025.88
2018-09,1155.29
2018-10,-28628.23
2018-11,11609.47
2018-12,-33561.48
2019-01,7367.74
2019-02,5600.38
2019-03,2962.58
2019-04,3444.34
2019-05,-7511.79
2019-06,13449.82
2019-07,4383.45
2019-08,-1992.42
2019-09,2672.08
2019-10,8136.66
2019-11,2063.2
2019-12,1697.19
2020-01,-6882.11
2020-02,-34540.95
2020-03,-111432.49
2020-04,16537.97
2020-05,13003.68
2020-06,5022.52
2020-07,6543.77
2020-08,5495.57
2020-09,-2886.14
2020-10,-7125.92
2020-11,21806.22
2020-12,5257.75
2021-01,1648.74
2021-02,-5326.51
2021-03,9675.94
2021-04,4087.1
2021-05,4169.35
2021-06,4092.94
2021-07,2763.14
2021-08,2552.23
2021-09,-8213.7
2021-10,15408.17
2021-11,-6751.43
2021-12,-499.34
2022-01,-9761.51
2022-02,4439.01
2022-03,11442.99
2022-04,-11116.07
2022-05,-20574.57
2022-06,6667.24
2022-07,10856.76
2022-08,-13613.78
2022-09,-24594.23
2022-10,26192.84
2022-11,10507.13
2022-12,3090.42
2023-01,11110.0
2023-02,-1539.64
2023-03,4410.26
2023-04,2137.35
2023-05,2689.26
2023-06,4859.63
2023-07,5084.68
2023-08,-5053.13
2023-09,-4708.86
2023-10,-1429.92
2023-11,6506.44
2023-12,3776.34
2024-01,1595.14
2024-02,5670.32
2024-03,4252.53
2024-04,231.31
2024-05,1907.55
2024-06,1797.65
2024-07,3275.19
2024-08,7606.67
2024-09,6589.52
2024-10,-1079.23
2024-11,8447.21
2024-12,1184.76
2025-01,6881.07
2025-02,-756.29
2025-03,-19226.19
2025-04,444.75
2025-05,5858.84
2025-06,7101.94
2025-07,1494.87
2025-08,2017.31
2025-09,4100.68
2025-10,5398.07
2025-11,4924.57
2025-12,1702.46
2026-01,3314.35
2026-02,2491.81
2026-03,-11372.36
2026-04,7160.29
2026-05,5840.65
2026-06,2797.89
2026-07,4640.74
2026-08,6075.7
2026-09,1824.09
