month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,2069.85
2016-12,2539.28
2017-01,4569.16
2017-02,1308.28
2017-03,2381.36
2017-04,2850.09
2017-05,2643.63
2017-06,1529.2
2017-07,3188.9
2017-08,3989.18
2017-09,1552.02
2017-10,2697.09
2017-11,2632.26
2017-12,1219.57
2018-01,3774.0
2018-02,1101.56
2018-03,-6039.47
2018-04,11961.11
2018-05,8615.88
2018-06,-3412.27
2018-07,8270.39
2018-08,7592.43
2018-09,1302.07
2018-10,-25507.61
2018-11,12344.01
2018-12,-26611.14
2019-01,8440.04
2019-02,6636.09
2019-03,3397.93
2019-04,3774.9
2019-05,-5880.6
2019-06,13437.03
2019-07,5034.38
2019-08,856.66
2019-09,3400.02
2019-10,8958.08
2019-11,2367.79
2019-12,1862.94
2020-01,-5977.49
2020-02,-31722.8
2020-03,-109377.53
2020-04,23110.18
2020-05,15978.73
2020-06,5904.28
2020-07,7612.43
2020-08,6378.22
2020-09,315.73
2020-10,-5610.77
2020-11,22336.03
2020-12,6470.19
2021-01,1969.24
2021-02,-4465.99
2021-03,12584.6
2021-04,5121.67
2021-05,6637.64
2021-06,4926.05
2021-07,3098.39
2021-08,3014.08
2021-09,-7264.0
2021-10,15292.06
2021-11,-6049.31
2021-12,2093.36
2022-01,-5191.61
2022-02,4977.66
2022-03,13278.86
2022-04,-9396.91
2022-05,-16147.34
2022-06,9244.85
2022-07,12863.8
2022-08,-12177.21
2022-09,-20690.66
2022-10,27523.09
2022-11,12193.71
2022-12,4521.12
2023-01,12313.26
2023-02,-1089.04
2023-03,6186.63
2023-04,2478.35
2023-05,3329.25
2023-06,5485.79
2023-07,5858.28
2023-08,-1044.4
2023-09,-4457.12
2023-10,1175.53
2023-11,7379.13
2023-12,4534.6
2024-01,2025.43
2024-02,6442.03
2024-03,4920.64
2024-04,3336.05
2024-05,2322.59
2024-06,2564.3
2024-07,3997.3
2024-08,8538.82
2024-09,7757.14
2024-10,-91.07
2024-11,9307.67
2024-12,1776.11
2025-01,7726.46
2025-02,108.96
2025-03,-16185.98
2025-04,6488.1
2025-05,8099.11
2025-06,8409.03
2025-07,1758.17
2025-08,2656.44
2025-09,4595.28
2025-10,6237.01
2025-11,5734.78
2025-12,2196.45
2026-01,3895.13
2026-02,2794.87
2026-03,-8499.16
2026-04,8123.16
2026-05,7040.48
2026-06,3243.65
2026-07,7515.34
2026-08,6903.83
2026-09,2932.75
