month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,1635.5
2016-12,1482.42
2017-01,3857.5
2017-02,861.76
2017-03,1816.45
2017-04,2248.28
2017-05,2027.17
2017-06,750.03
2017-07,2532.16
2017-08,1831.01
2017-09,1076.83
2017-10,2061.91
2017-11,2059.79
2017-12,577.85
2018-01,3034.95
2018-02,-1591.21
2018-03,-10110.44
2018-04,9038.26
2018-05,6117.34
2018-06,-5469.86
2018-07,8607.6
2018-08,6303.42
2018-09,782.76
2018-10,-31357.45
2018-11,10230.92
2018-12,-38763.71
2019-01,5831.91
2019-02,4551.94
2019-03,2378.12
2019-04,2904.32
2019-05,-9775.7
2019-06,13107.93
2019-07,3687.59
2019-08,-4604.45
2019-09,1769.77
2019-10,7130.03
2019-11,1652.55
2019-12,1362.92
2020-01,-7620.9
2020-02,-36639.48
2020-03,-113995.43
2020-04,10463.91
2020-05,8807.77
2020-06,3225.11
2020-07,4513.8
2020-08,3971.55
2020-09,-4876.98
2020-10,-7622.43
2020-11,17850.51
2020-12,3727.79
2021-01,832.29
2021-02,-5541.24
2021-03,6405.94
2021-04,2686.83
2021-05,1657.21
2021-06,2929.4
2021-07,2057.99
2021-08,1870.43
2021-09,-8250.54
2021-10,13578.74
2021-11,-7074.98
2021-12,-2486.28
2022-01,-11629.43
2022-02,2702.47
2022-03,7963.42
2022-04,-11511.16
2022-05,-22152.8
2022-06,2471.77
2022-07,6676.49
2022-08,-12203.64
2022-09,-21536.59
2022-10,18566.9
2022-11,6222.42
2022-12,1347.11
2023-01,7299.94
2023-02,-1985.46
2023-03,857.41
2023-04,1269.99
2023-05,1330.27
2023-06,3633.14
2023-07,3536.6
2023-08,-6697.98
2023-09,-4562.07
2023-10,-3676.86
2023-11,4544.64
2023-12,2569.63
2024-01,885.71
2024-02,4040.66
2024-03,2912.59
2024-04,-2066.04
2024-05,1104.64
2024-06,710.58
2024-07,2177.96
2024-08,5365.6
2024-09,4664.16
2024-10,-1896.01
2024-11,6727.33
2024-12,401.93
2025-01,5343.41
2025-02,-1692.43
2025-03,-20191.38
2025-04,-4496.74
2025-05,3259.13
2025-06,5057.45
2025-07,935.22
2025-08,1191.45
2025-09,3047.85
2025-10,3830.46
2025-11,3490.48
2025-12,951.87
2026-01,2406.64
2026-02,1284.31
2026-03,-12467.75
2026-04,5263.4
2026-05,4246.58
2026-06,1710.09
2026-07,1577.25
2026-08,4647.27
2026-09,937.18
