month,pnl_$
2016-09,0.0
2016-10,134.03
2016-11,-8350.74
2016-12,-411.68
2017-01,1863.14
2017-02,4291.45
2017-03,269.5
2017-04,493.9
2017-05,4114.8
2017-06,-6108.1
2017-07,5009.17
2017-08,-1239.68
2017-09,3912.79
2017-10,3504.08
2017-11,2661.93
2017-12,3880.39
2018-01,293.03
2018-02,-35750.75
2018-03,-22209.07
2018-04,8884.27
2018-05,5577.03
2018-06,-3239.53
2018-07,4224.54
2018-08,4452.27
2018-09,-6936.92
2018-10,-30898.3
2018-11,216.9
2018-12,-34978.8
2019-01,10216.88
2019-02,4770.08
2019-03,-5553.21
2019-04,3970.36
2019-05,-13456.44
2019-06,5818.15
2019-07,-1051.38
2019-08,-3559.26
2019-09,6153.15
2019-10,4677.51
2019-11,2741.75
2019-12,2671.46
2020-01,-5300.37
2020-02,-46115.53
2020-03,-49871.48
2020-04,20597.07
2020-05,7653.62
2020-06,2816.21
2020-07,6259.85
2020-08,5395.05
2020-09,-8469.8
2020-10,-10301.65
2020-11,6648.28
2020-12,5752.18
2021-01,-8070.25
2021-02,-5548.56
2021-03,8031.98
2021-04,5172.49
2021-05,1608.76
2021-06,269.99
2021-07,1449.04
2021-08,2442.37
2021-09,-10227.23
2021-10,7477.41
2021-11,-8729.68
2021-12,-1256.97
2022-01,-22545.55
2022-02,5032.16
2022-03,2942.93
2022-04,-7836.71
2022-05,8414.33
2022-06,-13409.99
2022-07,10900.44
2022-08,-5928.19
2022-09,-19034.6
2022-10,6741.44
2022-11,3662.12
2022-12,1163.55
2023-01,5441.74
2023-02,-254.7
2023-03,-6145.29
2023-04,4027.5
2023-05,2964.79
2023-06,3514.22
2023-07,3588.01
2023-08,-6566.54
2023-09,-5436.76
2023-10,-4171.13
2023-11,3910.5
2023-12,3120.22
2024-01,-4339.37
2024-02,5335.59
2024-03,3834.26
2024-04,-12042.5
2024-05,5015.41
2024-06,542.33
2024-07,-5989.79
2024-08,208.39
2024-09,-8683.03
2024-10,-779.37
2024-11,375.6
2024-12,-5507.93
2025-01,4520.22
2025-02,-3175.02
2025-03,-2069.46
2025-04,-16848.9
2025-05,5275.23
2025-06,2499.62
2025-07,959.9
2025-08,-2459.78
2025-09,3044.01
2025-10,-3572.02
2025-11,-2339.26
2025-12,2319.89
2026-01,2793.01
2026-02,1984.86
2026-03,-5518.69
2026-04,4848.07
2026-05,3039.32
2026-06,-6286.46
2026-07,2325.31
2026-08,4075.91
2026-09,705.62
