month,pnl_$
2016-09,0.0
2016-10,150.1
2016-11,-3457.63
2016-12,5966.1
2017-01,3712.47
2017-02,4996.23
2017-03,3654.83
2017-04,2848.1
2017-05,5696.24
2017-06,124.36
2017-07,7173.44
2017-08,2492.78
2017-09,5358.56
2017-10,4703.17
2017-11,4814.0
2017-12,5372.23
2018-01,2551.85
2018-02,-26929.1
2018-03,-16400.64
2018-04,14484.42
2018-05,9268.42
2018-06,431.32
2018-07,7312.26
2018-08,6974.95
2018-09,-3511.66
2018-10,-19181.19
2018-11,10313.12
2018-12,-25504.98
2019-01,19033.73
2019-02,8399.47
2019-03,-1544.42
2019-04,7072.58
2019-05,-5177.52
2019-06,10496.64
2019-07,3073.88
2019-08,70.13
2019-09,12293.37
2019-10,8766.51
2019-11,4591.2
2019-12,4702.87
2020-01,-1478.82
2020-02,-49733.69
2020-03,-37359.16
2020-04,50241.53
2020-05,18001.32
2020-06,13513.4
2020-07,13295.19
2020-08,11263.51
2020-09,1389.62
2020-10,-5942.93
2020-11,15007.61
2020-12,11069.76
2021-01,-2515.37
2021-02,-1115.54
2021-03,17749.97
2021-04,10547.21
2021-05,7303.58
2021-06,5001.85
2021-07,4232.6
2021-08,6529.98
2021-09,-7517.98
2021-10,13294.03
2021-11,-6988.59
2021-12,8382.11
2022-01,-23002.45
2022-02,12885.29
2022-03,16452.09
2022-04,7757.15
2022-05,22692.64
2022-06,4100.81
2022-07,22800.98
2022-08,3209.05
2022-09,-8219.73
2022-10,17589.49
2022-11,17141.12
2022-12,13255.45
2023-01,12906.91
2023-02,8386.69
2023-03,-479.75
2023-04,9295.22
2023-05,8345.08
2023-06,9858.91
2023-07,8759.66
2023-08,-989.89
2023-09,-1555.53
2023-10,4191.72
2023-11,10050.34
2023-12,6927.44
2024-01,-818.41
2024-02,10965.98
2024-03,8413.92
2024-04,-10923.62
2024-05,11688.75
2024-06,3506.27
2024-07,-2177.21
2024-08,9705.1
2024-09,-6594.39
2024-10,3927.68
2024-11,7784.44
2024-12,-2103.35
2025-01,13105.95
2025-02,2505.6
2025-03,6265.45
2025-04,-14271.72
2025-05,17593.12
2025-06,7687.84
2025-07,4499.18
2025-08,-273.53
2025-09,7796.43
2025-10,-2291.75
2025-11,4821.77
2025-12,8833.01
2026-01,8354.61
2026-02,7937.26
2026-03,1222.53
2026-04,12636.22
2026-05,8427.14
2026-06,1447.87
2026-07,12021.78
2026-08,11582.03
2026-09,4295.64
