month,pnl_$
2016-09,0.0
2016-10,93.41
2016-11,-7662.42
2016-12,596.52
2017-01,2119.28
2017-02,4270.72
2017-03,734.64
2017-04,776.9
2017-05,4243.59
2017-06,-5295.41
2017-07,5180.22
2017-08,-617.49
2017-09,4031.79
2017-10,3590.77
2017-11,2945.9
2017-12,4165.3
2018-01,572.86
2018-02,-34767.96
2018-03,-21762.63
2018-04,9322.29
2018-05,6023.15
2018-06,-2853.36
2018-07,4543.95
2018-08,4690.81
2018-09,-6620.76
2018-10,-29493.51
2018-11,1369.19
2018-12,-34126.56
2019-01,10986.35
2019-02,5078.63
2019-03,-5173.78
2019-04,4282.47
2019-05,-12417.83
2019-06,6267.3
2019-07,-317.34
2019-08,-3564.55
2019-09,7070.71
2019-10,5139.84
2019-11,2907.91
2019-12,2905.55
2020-01,-4914.95
2020-02,-47873.43
2020-03,-49398.65
2020-04,23034.24
2020-05,8715.5
2020-06,4159.61
2020-07,6920.92
2020-08,6095.59
2020-09,-7732.93
2020-10,-10361.59
2020-11,7597.23
2020-12,6347.53
2021-01,-7773.19
2021-02,-5590.89
2021-03,9223.82
2021-04,5762.97
2021-05,2216.03
2021-06,955.04
2021-07,1783.86
2021-08,3045.17
2021-09,-10591.09
2021-10,8328.78
2021-11,-8989.07
2021-12,-434.12
2022-01,-24094.43
2022-02,6065.29
2022-03,4582.09
2022-04,-6155.83
2022-05,10557.12
2022-06,-12090.5
2022-07,13163.64
2022-08,-5494.17
2022-09,-19239.03
2022-10,8397.21
2022-11,5067.79
2022-12,3236.03
2023-01,6753.94
2023-02,936.88
2023-03,-5965.04
2023-04,5004.49
2023-05,4055.8
2023-06,4713.69
2023-07,4685.55
2023-08,-6579.08
2023-09,-5609.21
2023-10,-3858.39
2023-11,5107.45
2023-12,3829.84
2024-01,-4969.84
2024-02,6875.89
2024-03,4809.18
2024-04,-14246.9
2024-05,6577.32
2024-06,1143.94
2024-07,-7177.69
2024-08,1384.73
2024-09,-10235.77
2024-10,-326.4
2024-11,1187.24
2024-12,-5644.28
2025-01,6428.58
2025-02,-3445.87
2025-03,-1490.59
2025-04,-20220.52
2025-05,7570.35
2025-06,3608.4
2025-07,1644.41
2025-08,-2909.39
2025-09,4005.54
2025-10,-4235.55
2025-11,-2250.55
2025-12,3557.26
2026-01,3761.33
2026-02,2733.18
2026-03,-5348.0
2026-04,6457.9
2026-05,4134.84
2026-06,-7538.96
2026-07,3543.83
2026-08,6047.38
2026-09,1519.69
