date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,500000.0
2016-10-31,500000.0
2016-11-01,500000.0
2016-11-02,500000.0
2016-11-03,500000.0
2016-11-04,500000.0
2016-11-07,500000.0
2016-11-08,500000.0
2016-11-09,500000.0
2016-11-10,500000.0
2016-11-11,500000.0
2016-11-14,500000.0
2016-11-15,500000.0
2016-11-16,500000.0
2016-11-17,500000.0
2016-11-18,499937.02
2016-11-21,500760.88
2016-11-22,501195.35
2016-11-23,500793.45
2016-11-25,501422.99
2016-11-28,501317.28
2016-11-29,501275.81
2016-11-30,499926.9
2016-12-01,495763.16
2016-12-02,498061.39
2016-12-05,499757.12
2016-12-06,500543.69
2016-12-07,502032.6
2016-12-08,502430.38
2016-12-09,502635.15
2016-12-12,502631.09
2016-12-13,502807.59
2016-12-14,503003.38
2016-12-15,503077.04
2016-12-16,503019.53
2016-12-19,504026.81
2016-12-20,504743.16
2016-12-21,504947.07
2016-12-22,504747.0
2016-12-23,504833.8
2016-12-27,505154.23
2016-12-28,504848.89
2016-12-29,505269.3
2016-12-30,504755.19
2017-01-03,505583.92
2017-01-04,505648.64
2017-01-05,505713.06
2017-01-06,505913.42
2017-01-09,506066.55
2017-01-10,506112.07
2017-01-11,506274.42
2017-01-12,506277.04
2017-01-13,506317.66
2017-01-17,506334.84
2017-01-18,506340.58
2017-01-19,506341.36
2017-01-20,506298.33
2017-01-23,506080.5
2017-01-24,507396.69
2017-01-25,507301.56
2017-01-26,507064.05
2017-01-27,504707.03
2017-01-30,503285.45
2017-01-31,502632.41
2017-02-01,500284.03
2017-02-02,501964.01
2017-02-03,501928.85
2017-02-06,502229.82
2017-02-07,503772.15
2017-02-08,506420.07
2017-02-09,502901.0
2017-02-10,501909.81
2017-02-13,505662.69
2017-02-14,506695.29
2017-02-15,507414.39
2017-02-16,508382.06
2017-02-17,508387.8
2017-02-21,509122.15
2017-02-22,508590.46
2017-02-23,509060.91
2017-02-24,510033.14
2017-02-27,509956.45
2017-02-28,509259.75
2017-03-01,509368.31
2017-03-02,509702.47
2017-03-03,509955.68
2017-03-06,509470.78
2017-03-07,510144.13
2017-03-08,510005.46
2017-03-09,510583.43
2017-03-10,510898.61
2017-03-13,509650.6
2017-03-14,510005.26
2017-03-15,510165.49
2017-03-16,510757.37
2017-03-17,511473.98
2017-03-20,511894.57
2017-03-21,510753.22
2017-03-22,512081.68
2017-03-23,512021.38
2017-03-24,511981.91
2017-03-27,512344.87
2017-03-28,512717.98
2017-03-29,512880.94
2017-03-30,513291.56
2017-03-31,513122.96
2017-04-03,512815.16
2017-04-04,513045.11
2017-04-05,513305.86
2017-04-06,513384.58
2017-04-07,513571.1
2017-04-10,513630.29
2017-04-11,513481.62
2017-04-12,513410.92
2017-04-13,513523.47
2017-04-17,513889.75
2017-04-18,513932.22
2017-04-19,513950.38
2017-04-20,513951.31
2017-04-21,513919.18
2017-04-24,514836.29
2017-04-25,515159.95
2017-04-26,515118.01
2017-04-27,515494.07
2017-04-28,514747.01
2017-05-01,515018.73
2017-05-02,515453.64
2017-05-03,515469.89
2017-05-04,515457.13
2017-05-05,515466.8
2017-05-08,515400.88
2017-05-09,515346.47
2017-05-10,515041.28
2017-05-11,514456.72
2017-05-12,514047.12
2017-05-15,514522.1
2017-05-16,515130.39
2017-05-17,511692.64
2017-05-18,512940.2
2017-05-19,514125.75
2017-05-22,515221.63
2017-05-23,515839.05
2017-05-24,516811.82
2017-05-25,517016.21
2017-05-26,517284.15
2017-05-30,517347.0
2017-05-31,517729.3
2017-06-01,517931.07
2017-06-02,518096.48
2017-06-05,518164.66
2017-06-06,518158.31
2017-06-07,518236.4
2017-06-08,518288.25
2017-06-09,518218.59
2017-06-12,518267.32
2017-06-13,518305.55
2017-06-14,518308.5
2017-06-15,518314.23
2017-06-16,518255.54
2017-06-19,519604.68
2017-06-20,518510.43
2017-06-21,518531.22
2017-06-22,518137.35
2017-06-23,517799.05
2017-06-26,517344.44
2017-06-27,515270.01
2017-06-28,518173.47
2017-06-29,515202.53
2017-06-30,516382.65
2017-07-03,514841.89
2017-07-05,519099.04
2017-07-06,516132.42
2017-07-07,517540.48
2017-07-10,516514.62
2017-07-11,517980.21
2017-07-12,519429.49
2017-07-13,519536.93
2017-07-14,520726.29
2017-07-17,520491.02
2017-07-18,520769.64
2017-07-19,520979.3
2017-07-20,521203.51
2017-07-21,521127.14
2017-07-24,520942.07
2017-07-25,521192.2
2017-07-26,522049.89
2017-07-27,523430.33
2017-07-28,523418.48
2017-07-31,523293.33
2017-08-01,524311.83
2017-08-02,524394.87
2017-08-03,524131.33
2017-08-04,524571.56
2017-08-07,525055.09
2017-08-08,525140.39
2017-08-09,525308.38
2017-08-10,524891.93
2017-08-11,525095.93
2017-08-14,525487.78
2017-08-15,525580.23
2017-08-16,525596.82
2017-08-17,525597.35
2017-08-18,525532.84
2017-08-21,525563.4
2017-08-22,526211.47
2017-08-23,526010.83
2017-08-24,526274.83
2017-08-25,526395.04
2017-08-28,526827.66
2017-08-29,527294.34
2017-08-30,527810.53
2017-08-31,528117.43
2017-09-01,528229.19
2017-09-05,528274.9
2017-09-06,528648.11
2017-09-07,528690.57
2017-09-08,528645.38
2017-09-11,528754.9
2017-09-12,528760.19
2017-09-13,528760.38
2017-09-14,528760.38
2017-09-15,528701.39
2017-09-18,529153.0
2017-09-19,530052.56
2017-09-20,530271.94
2017-09-21,530484.69
2017-09-22,530645.18
2017-09-25,530277.5
2017-09-26,530377.09
2017-09-27,530715.17
2017-09-28,531132.33
2017-09-29,531288.29
2017-10-02,531445.99
2017-10-03,531492.39
2017-10-04,531494.08
2017-10-05,531636.31
2017-10-06,531644.41
2017-10-09,531648.35
2017-10-10,531649.27
2017-10-11,531651.15
2017-10-12,531651.19
2017-10-13,531651.2
2017-10-16,531651.2
2017-10-17,531651.2
2017-10-18,531651.2
2017-10-19,531651.2
2017-10-20,531577.48
2017-10-23,531213.43
2017-10-24,531895.92
2017-10-25,532605.34
2017-10-26,533310.83
2017-10-27,533490.05
2017-10-30,533701.47
2017-10-31,534473.06
2017-11-01,534527.64
2017-11-02,534601.93
2017-11-03,534963.42
2017-11-06,535164.47
2017-11-07,535180.64
2017-11-08,535224.9
2017-11-09,535227.23
2017-11-10,535244.91
2017-11-13,535257.47
2017-11-14,535262.85
2017-11-15,535263.2
2017-11-16,535263.34
2017-11-17,535155.92
2017-11-20,535215.14
2017-11-21,536921.21
2017-11-22,536829.94
2017-11-24,537614.63
2017-11-27,537396.19
2017-11-28,537928.13
2017-11-29,534132.19
2017-11-30,537719.85
2017-12-01,537695.7
2017-12-04,532440.87
2017-12-05,532363.24
2017-12-06,536026.98
2017-12-07,536771.84
2017-12-08,536920.08
2017-12-11,538271.68
2017-12-12,539002.45
2017-12-13,539919.38
2017-12-14,540416.47
2017-12-15,540409.1
2017-12-18,541759.81
2017-12-19,541638.75
2017-12-20,541575.92
2017-12-21,541719.48
2017-12-22,541882.62
2017-12-26,542317.6
2017-12-27,542867.82
2017-12-28,542890.27
2017-12-29,542761.78
2018-01-02,543349.67
2018-01-03,544827.6
2018-01-04,544626.51
2018-01-05,545506.41
2018-01-08,545735.0
2018-01-09,545098.5
2018-01-10,543325.82
2018-01-11,545362.79
2018-01-12,545411.48
2018-01-16,545560.97
2018-01-17,546304.68
2018-01-18,546317.84
2018-01-19,546235.43
2018-01-22,547448.14
2018-01-23,547995.89
2018-01-24,547539.09
2018-01-25,547925.2
2018-01-26,549778.38
2018-01-29,549471.45
2018-01-30,549297.91
2018-01-31,549899.26
2018-02-01,542903.91
2018-02-02,538343.82
2018-02-05,532303.41
2018-02-06,535660.81
2018-02-07,535687.6
2018-02-08,523225.12
2018-02-09,532766.37
2018-02-12,534981.58
2018-02-13,534025.84
2018-02-14,541266.49
2018-02-15,544440.18
2018-02-16,544507.21
2018-02-20,544919.58
2018-02-21,544632.74
2018-02-22,546012.76
2018-02-23,549332.02
2018-02-26,550279.84
2018-02-27,550976.28
2018-02-28,551157.37
2018-03-01,550718.21
2018-03-02,551611.52
2018-03-05,552187.64
2018-03-06,552633.52
2018-03-07,552986.47
2018-03-08,553246.77
2018-03-09,553507.54
2018-03-12,553589.83
2018-03-13,553638.11
2018-03-14,553674.61
2018-03-15,553674.75
2018-03-16,553571.9
2018-03-19,551971.38
2018-03-20,553488.82
2018-03-21,553909.12
2018-03-22,550816.36
2018-03-23,545671.83
2018-03-26,553223.86
2018-03-27,548267.48
2018-03-28,544039.0
2018-03-29,548529.35
2018-04-02,543529.64
2018-04-03,543983.38
2018-04-04,545164.3
2018-04-05,550840.66
2018-04-06,541732.95
2018-04-09,546796.57
2018-04-10,552203.33
2018-04-11,551862.55
2018-04-12,554466.52
2018-04-13,554346.46
2018-04-16,555695.19
2018-04-17,558305.22
2018-04-18,558585.45
2018-04-19,558629.36
2018-04-20,558549.7
2018-04-23,558187.81
2018-04-24,556337.76
2018-04-25,555175.3
2018-04-26,559585.16
2018-04-27,557629.09
2018-04-30,557942.12
2018-05-01,559935.4
2018-05-02,555116.21
2018-05-03,558625.09
2018-05-04,560256.46
2018-05-07,561901.79
2018-05-08,563589.17
2018-05-09,565103.91
2018-05-10,566275.29
2018-05-11,566458.56
2018-05-14,566578.86
2018-05-15,566586.25
2018-05-16,566730.07
2018-05-17,566784.69
2018-05-18,566678.19
2018-05-21,567974.38
2018-05-22,567974.07
2018-05-23,568949.83
2018-05-24,569268.21
2018-05-25,569515.83
2018-05-29,569627.6
2018-05-30,570393.23
2018-05-31,570687.71
2018-06-01,571430.41
2018-06-04,571730.53
2018-06-05,571839.81
2018-06-06,571921.59
2018-06-07,571845.35
2018-06-08,571935.14
2018-06-11,571954.38
2018-06-12,572002.75
2018-06-13,572009.62
2018-06-14,572009.91
2018-06-15,571933.24
2018-06-18,569951.27
2018-06-19,568837.23
2018-06-20,570818.04
