date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,500000.0
2016-10-31,500000.0
2016-11-01,500000.0
2016-11-02,500000.0
2016-11-03,500000.0
2016-11-04,500000.0
2016-11-07,500000.0
2016-11-08,500000.0
2016-11-09,500000.0
2016-11-10,500000.0
2016-11-11,500000.0
2016-11-14,500000.0
2016-11-15,500000.0
2016-11-16,500000.0
2016-11-17,500000.0
2016-11-18,499776.7
2016-11-21,500562.7
2016-11-22,500966.55
2016-11-23,500559.53
2016-11-25,501152.48
2016-11-28,501022.28
2016-11-29,500966.84
2016-11-30,499563.44
2016-12-01,495013.92
2016-12-02,497460.28
2016-12-05,499247.58
2016-12-06,500033.73
2016-12-07,501558.29
2016-12-08,501944.27
2016-12-09,502135.06
2016-12-12,502101.55
2016-12-13,502272.27
2016-12-14,502477.61
2016-12-15,502556.45
2016-12-16,502332.46
2016-12-19,503299.3
2016-12-20,503967.19
2016-12-21,504146.42
2016-12-22,503948.47
2016-12-23,504015.72
2016-12-27,504305.05
2016-12-28,504003.82
2016-12-29,504386.79
2016-12-30,503876.46
2017-01-03,504649.88
2017-01-04,504678.42
2017-01-05,504727.25
2017-01-06,504908.8
2017-01-09,505046.8
2017-01-10,505083.0
2017-01-11,505225.74
2017-01-12,505224.83
2017-01-13,505257.85
2017-01-17,505270.91
2017-01-18,505275.01
2017-01-19,505275.52
2017-01-20,505122.6
2017-01-23,504887.5
2017-01-24,506156.01
2017-01-25,506040.78
2017-01-26,505801.87
2017-01-27,503237.77
2017-01-30,501697.53
2017-01-31,501004.3
2017-02-01,498429.14
2017-02-02,500192.13
2017-02-03,500107.36
2017-02-06,500375.68
2017-02-07,502017.11
2017-02-08,504924.07
2017-02-09,500949.77
2017-02-10,499797.33
2017-02-13,503855.02
2017-02-14,504948.42
2017-02-15,505713.78
2017-02-16,506926.85
2017-02-17,506811.82
2017-02-21,507512.17
2017-02-22,506949.27
2017-02-23,507397.3
2017-02-24,508323.92
2017-02-27,508246.45
2017-02-28,507541.54
2017-03-01,507599.02
2017-03-02,507894.12
2017-03-03,508113.22
2017-03-06,507560.38
2017-03-07,508250.78
2017-03-08,508061.52
2017-03-09,508653.31
2017-03-10,508964.47
2017-03-13,507476.66
2017-03-14,507812.35
2017-03-15,507880.72
2017-03-16,508464.59
2017-03-17,509415.62
2017-03-20,509818.75
2017-03-21,508653.04
2017-03-22,509978.78
2017-03-23,509906.0
2017-03-24,509851.36
2017-03-27,510199.55
2017-03-28,510550.56
2017-03-29,510699.26
2017-03-30,511079.19
2017-03-31,510890.61
2017-04-03,510553.44
2017-04-04,510772.3
2017-04-05,511029.53
2017-04-06,511102.42
2017-04-07,511279.54
2017-04-10,511333.51
2017-04-11,511165.01
2017-04-12,511069.4
2017-04-13,511183.08
2017-04-17,511561.1
2017-04-18,511597.66
2017-04-19,511613.95
2017-04-20,511614.66
2017-04-21,511500.37
2017-04-24,512375.9
2017-04-25,512658.57
2017-04-26,512618.87
2017-04-27,512911.06
2017-04-28,512204.55
2017-05-01,512475.11
2017-05-02,512879.31
2017-05-03,512891.34
2017-05-04,512880.14
2017-05-05,512887.01
2017-05-08,512827.02
2017-05-09,512771.2
2017-05-10,512440.74
2017-05-11,511761.12
2017-05-12,511257.79
2017-05-15,511770.28
2017-05-16,512463.0
2017-05-17,508547.67
2017-05-18,509791.34
2017-05-19,510740.46
2017-05-22,511790.97
2017-05-23,512363.97
2017-05-24,513253.63
2017-05-25,513425.21
2017-05-26,513651.85
2017-05-30,513695.84
2017-05-31,514008.29
2017-06-01,514160.62
2017-06-02,514291.77
2017-06-05,514340.88
2017-06-06,514331.61
2017-06-07,514390.89
2017-06-08,514428.57
2017-06-09,514367.62
2017-06-12,514408.28
2017-06-13,514438.67
2017-06-14,514439.93
2017-06-15,514444.57
2017-06-16,514235.1
2017-06-19,515530.08
2017-06-20,514431.06
2017-06-21,514358.83
2017-06-22,513888.28
2017-06-23,513466.73
2017-06-26,512977.83
2017-06-27,510757.17
2017-06-28,513785.83
2017-06-29,510560.31
2017-06-30,511791.46
2017-07-03,510122.95
2017-07-05,514681.45
2017-07-06,511408.13
2017-07-07,512897.6
2017-07-10,511717.54
2017-07-11,513296.19
2017-07-12,514892.81
2017-07-13,514977.73
2017-07-14,516328.64
2017-07-17,516017.99
2017-07-18,516318.78
2017-07-19,516546.27
2017-07-20,516838.87
2017-07-21,516543.89
2017-07-24,516326.83
2017-07-25,516547.99
2017-07-26,517373.03
2017-07-27,518684.59
2017-07-28,518652.63
2017-07-31,518494.67
2017-08-01,519425.68
2017-08-02,519476.44
2017-08-03,519197.36
2017-08-04,519614.74
2017-08-07,520057.05
2017-08-08,520122.88
2017-08-09,520264.76
2017-08-10,519841.52
2017-08-11,520028.52
2017-08-14,520403.51
2017-08-15,520481.98
2017-08-16,520493.96
2017-08-17,520494.24
2017-08-18,520265.45
2017-08-21,520272.9
2017-08-22,520853.76
2017-08-23,520655.3
2017-08-24,520899.28
2017-08-25,520993.78
2017-08-28,521385.75
2017-08-29,521818.06
2017-08-30,522294.84
2017-08-31,522584.42
2017-09-01,522681.33
2017-09-05,522712.26
2017-09-06,523048.86
2017-09-07,523076.26
2017-09-08,523033.4
2017-09-11,523122.44
2017-09-12,523125.57
2017-09-13,523125.64
2017-09-14,523125.64
2017-09-15,522916.39
2017-09-18,523347.23
2017-09-19,524200.3
2017-09-20,524373.11
2017-09-21,524572.02
2017-09-22,524702.2
2017-09-25,524373.85
2017-09-26,524459.07
2017-09-27,524768.78
2017-09-28,525137.98
2017-09-29,525265.07
2017-10-02,525383.49
2017-10-03,525417.98
2017-10-04,525416.82
2017-10-05,525524.48
2017-10-06,525528.92
2017-10-09,525530.87
2017-10-10,525531.26
2017-10-11,525532.03
2017-10-12,525532.04
2017-10-13,525532.04
2017-10-16,525532.04
2017-10-17,525532.04
2017-10-18,525532.04
2017-10-19,525532.04
2017-10-20,525271.25
2017-10-23,524861.85
2017-10-24,525520.27
2017-10-25,526214.33
2017-10-26,526862.21
2017-10-27,526972.61
2017-10-30,527164.6
2017-10-31,527891.09
2017-11-01,527931.77
2017-11-02,527990.66
2017-11-03,528307.62
2017-11-06,528467.39
2017-11-07,528477.54
2017-11-08,528508.2
2017-11-09,528508.68
2017-11-10,528520.15
2017-11-13,528527.96
2017-11-14,528530.96
2017-11-15,528531.1
2017-11-16,528531.16
2017-11-17,528151.94
2017-11-20,528172.88
2017-11-21,529813.26
2017-11-22,529691.89
2017-11-24,530409.72
2017-11-27,530173.07
2017-11-28,530663.93
2017-11-29,526714.63
2017-11-30,530391.09
2017-12-01,530320.74
2017-12-04,524518.73
2017-12-05,524384.99
2017-12-06,528334.49
2017-12-07,529062.24
2017-12-08,529088.26
2017-12-11,530486.03
2017-12-12,531215.1
2017-12-13,532192.14
2017-12-14,532740.7
2017-12-15,532475.82
2017-12-18,533721.31
2017-12-19,533519.87
2017-12-20,533393.47
2017-12-21,533537.85
2017-12-22,533665.69
2017-12-26,534100.09
2017-12-27,534615.16
2017-12-28,534590.55
2017-12-29,534415.56
2018-01-02,534950.39
2018-01-03,536443.99
2018-01-04,536219.48
2018-01-05,537021.86
2018-01-08,537210.78
2018-01-09,536501.76
2018-01-10,534425.35
2018-01-11,536683.24
2018-01-12,536680.94
2018-01-16,536797.4
2018-01-17,537668.08
2018-01-18,537680.59
2018-01-19,537388.58
2018-01-22,538546.37
2018-01-23,539049.26
2018-01-24,538590.83
2018-01-25,538951.08
2018-01-26,540581.78
2018-01-29,540281.18
2018-01-30,540111.79
2018-01-31,540687.37
2018-02-01,533143.57
2018-02-02,528265.73
2018-02-05,522038.5
2018-02-06,525412.89
2018-02-07,525382.28
2018-02-08,512647.03
2018-02-09,522349.75
2018-02-12,524565.69
2018-02-13,523593.94
2018-02-14,530819.51
2018-02-15,533982.35
2018-02-16,533557.2
2018-02-20,533884.29
2018-02-21,533533.5
2018-02-22,534859.54
2018-02-23,538013.42
2018-02-26,538823.34
2018-02-27,539409.92
2018-02-28,539557.08
2018-03-01,539131.06
2018-03-02,539902.05
2018-03-05,540384.32
2018-03-06,540748.05
2018-03-07,541041.26
2018-03-08,541261.94
2018-03-09,541472.92
2018-03-12,541535.08
2018-03-13,541569.95
2018-03-14,541596.22
2018-03-15,541596.28
2018-03-16,541233.16
2018-03-19,539571.39
2018-03-20,541071.83
2018-03-21,541466.32
2018-03-22,538195.73
2018-03-23,532667.7
2018-03-26,540539.34
2018-03-27,535208.7
2018-03-28,530668.88
2018-03-29,535277.55
2018-04-02,529976.44
2018-04-03,530371.01
2018-04-04,531545.13
2018-04-05,537601.7
2018-04-06,527731.32
2018-04-09,533032.6
2018-04-10,538766.29
2018-04-11,538293.16
2018-04-12,541044.54
2018-04-13,540823.72
2018-04-16,542251.5
2018-04-17,545302.43
2018-04-18,545615.24
2018-04-19,545634.14
2018-04-20,545193.85
2018-04-23,544779.8
2018-04-24,542782.95
2018-04-25,541459.93
2018-04-26,545909.68
2018-04-27,543766.76
2018-04-30,544087.58
2018-05-01,545983.21
2018-05-02,540721.02
2018-05-03,544421.35
2018-05-04,546036.26
2018-05-07,547673.75
2018-05-08,549382.75
2018-05-09,550887.11
2018-05-10,552013.41
2018-05-11,552162.52
2018-05-14,552251.32
2018-05-15,552238.99
2018-05-16,552369.69
2018-05-17,552422.56
2018-05-18,552046.23
2018-05-21,553283.85
2018-05-22,553244.9
2018-05-23,554148.53
2018-05-24,554441.3
2018-05-25,554628.15
2018-05-29,554707.38
2018-05-30,555412.44
2018-05-31,555678.2
2018-06-01,556311.23
2018-06-04,556559.95
2018-06-05,556641.52
2018-06-06,556697.07
2018-06-07,556634.9
2018-06-08,556702.67
2018-06-11,556713.34
2018-06-12,556747.32
2018-06-13,556751.44
2018-06-14,556751.58
2018-06-15,556480.14
2018-06-18,554395.45
2018-06-19,553225.56
2018-06-20,555235.4
