date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,499795.64
2016-10-31,500464.22
2016-11-01,500571.6
2016-11-02,501258.58
2016-11-03,500953.09
2016-11-04,500677.55
2016-11-07,502331.21
2016-11-08,502852.79
2016-11-09,502986.8
2016-11-10,502964.11
2016-11-11,503001.41
2016-11-14,501162.07
2016-11-15,502791.06
2016-11-16,503897.11
2016-11-17,505513.02
2016-11-18,505562.25
2016-11-21,506335.25
2016-11-22,506674.18
2016-11-23,506722.09
2016-11-25,506691.15
2016-11-28,506694.48
2016-11-29,506752.51
2016-11-30,504217.48
2016-12-01,493814.18
2016-12-02,498303.67
2016-12-05,499265.56
2016-12-06,499663.33
2016-12-07,499893.6
2016-12-08,499903.92
2016-12-09,499784.2
2016-12-12,500074.25
2016-12-13,500625.83
2016-12-14,501003.27
2016-12-15,501208.88
2016-12-16,501172.96
2016-12-19,502064.55
2016-12-20,502441.04
2016-12-21,502513.09
2016-12-22,502526.78
2016-12-23,502432.88
2016-12-27,503034.94
2016-12-28,502739.65
2016-12-29,503348.72
2016-12-30,503556.25
2017-01-03,504363.79
2017-01-04,504381.31
2017-01-05,504470.71
2017-01-06,504414.8
2017-01-09,504760.95
2017-01-10,504487.74
2017-01-11,505218.46
2017-01-12,505484.07
2017-01-13,505427.06
2017-01-17,505218.78
2017-01-18,505687.81
2017-01-19,505815.69
2017-01-20,506259.28
2017-01-23,506140.89
2017-01-24,507082.94
2017-01-25,507066.56
2017-01-26,507095.43
2017-01-27,502369.41
2017-01-30,500803.37
2017-01-31,498205.93
2017-02-01,495316.32
2017-02-02,497686.39
2017-02-03,497297.78
2017-02-06,497332.7
2017-02-07,497893.05
2017-02-08,498188.24
2017-02-09,495214.25
2017-02-10,494344.87
2017-02-13,495394.79
2017-02-14,495587.35
2017-02-15,495629.27
2017-02-16,495633.71
2017-02-17,495536.04
2017-02-21,496261.41
2017-02-22,495882.03
2017-02-23,496476.92
2017-02-24,496650.8
2017-02-27,496336.69
2017-02-28,494612.6
2017-03-01,495800.27
2017-03-02,496958.62
2017-03-03,497890.53
2017-03-06,497369.63
2017-03-07,498168.02
2017-03-08,498151.66
2017-03-09,498847.23
2017-03-10,498887.6
2017-03-13,496141.01
2017-03-14,495038.15
2017-03-15,495951.68
2017-03-16,496637.33
2017-03-17,498233.39
2017-03-20,498701.58
2017-03-21,497740.47
2017-03-22,499058.1
2017-03-23,499160.45
2017-03-24,499124.82
2017-03-27,499507.61
2017-03-28,499820.02
2017-03-29,500001.7
2017-03-30,500091.35
2017-03-31,500018.15
2017-04-03,499720.79
2017-04-04,500238.68
2017-04-05,500681.48
2017-04-06,500847.38
2017-04-07,500879.8
2017-04-10,500750.33
2017-04-11,500471.13
2017-04-12,500217.86
2017-04-13,499009.86
2017-04-17,499680.85
2017-04-18,499786.01
2017-04-19,499809.15
2017-04-20,499810.0
2017-04-21,499754.38
2017-04-24,500390.56
2017-04-25,500446.53
2017-04-26,500448.59
2017-04-27,500449.64
2017-04-28,500323.78
2017-05-01,500688.6
2017-05-02,501847.56
2017-05-03,501887.44
2017-05-04,501896.71
2017-05-05,501765.86
2017-05-08,501613.83
2017-05-09,501805.73
2017-05-10,501488.33
2017-05-11,500342.12
2017-05-12,499289.04
2017-05-15,500101.44
2017-05-16,500704.59
2017-05-17,499610.24
2017-05-18,500602.13
2017-05-19,500787.5
2017-05-22,501847.85
2017-05-23,502323.81
2017-05-24,502578.37
2017-05-25,502592.09
2017-05-26,502505.25
2017-05-30,502620.48
2017-05-31,503245.97
2017-06-01,503472.36
2017-06-02,503503.81
2017-06-05,503992.08
2017-06-06,503713.38
2017-06-07,504387.95
2017-06-08,504608.25
2017-06-09,503604.29
2017-06-12,501905.92
2017-06-13,502161.8
2017-06-14,501835.32
2017-06-15,503274.46
2017-06-16,502567.95
2017-06-19,503555.18
2017-06-20,502773.89
2017-06-21,501969.3
2017-06-22,500808.08
2017-06-23,499530.05
2017-06-26,498990.07
2017-06-27,496094.25
2017-06-28,500485.38
2017-06-29,498529.03
2017-06-30,500661.68
2017-07-03,499610.17
2017-07-05,501959.88
2017-07-06,501763.44
2017-07-07,501859.59
2017-07-10,502503.67
2017-07-11,503181.66
2017-07-12,503666.63
2017-07-13,503707.7
2017-07-14,503556.61
2017-07-17,504004.87
2017-07-18,504869.87
2017-07-19,505153.59
2017-07-20,505459.35
2017-07-21,505335.9
2017-07-24,505371.67
2017-07-25,505896.67
2017-07-26,506789.71
2017-07-27,507197.1
2017-07-28,507073.26
2017-07-31,507009.08
2017-08-01,508264.23
2017-08-02,508411.3
2017-08-03,508375.99
2017-08-04,508603.51
2017-08-07,509488.9
2017-08-08,509657.75
2017-08-09,509928.16
2017-08-10,509479.01
2017-08-11,509889.89
2017-08-14,510989.85
2017-08-15,511041.92
2017-08-16,511031.47
2017-08-17,509582.02
2017-08-18,508606.93
2017-08-21,508799.79
2017-08-22,509106.22
2017-08-23,509359.84
2017-08-24,509781.53
2017-08-25,509900.84
2017-08-28,510524.86
2017-08-29,510966.5
2017-08-30,511211.45
2017-08-31,511258.97
2017-09-01,511175.5
2017-09-05,511260.3
2017-09-06,511842.85
2017-09-07,512218.52
2017-09-08,512133.65
2017-09-11,513225.99
2017-09-12,513284.87
2017-09-13,513287.98
2017-09-14,513300.65
2017-09-15,513211.1
2017-09-18,513719.31
2017-09-19,514223.73
2017-09-20,514247.11
2017-09-21,514328.18
2017-09-22,514250.41
2017-09-25,511929.76
2017-09-26,510691.43
2017-09-27,512173.12
2017-09-28,514149.27
2017-09-29,515097.45
2017-10-02,515818.41
2017-10-03,515996.21
2017-10-04,516064.96
2017-10-05,516249.03
2017-10-06,516158.37
2017-10-09,516729.16
2017-10-10,516733.47
2017-10-11,516761.76
2017-10-12,516745.15
2017-10-13,517196.84
2017-10-16,516005.58
2017-10-17,515067.26
2017-10-18,516813.51
2017-10-19,517261.28
2017-10-20,518257.77
2017-10-23,517848.56
2017-10-24,518720.94
2017-10-25,519538.06
2017-10-26,519791.05
2017-10-27,519647.71
2017-10-30,520193.17
2017-10-31,521579.64
2017-11-01,521719.92
2017-11-02,521755.06
2017-11-03,521583.03
2017-11-06,522953.42
2017-11-07,523280.13
2017-11-08,523583.46
2017-11-09,523687.41
2017-11-10,523589.92
2017-11-13,524310.63
2017-11-14,525078.92
2017-11-15,524903.05
2017-11-16,525736.43
2017-11-17,525622.32
2017-11-20,526013.86
2017-11-21,527375.93
2017-11-22,527574.25
2017-11-24,527494.39
2017-11-27,527256.59
2017-11-28,528155.85
2017-11-29,518604.48
2017-11-30,527034.51
2017-12-01,526294.7
2017-12-04,520627.91
2017-12-05,519197.52
2017-12-06,523590.44
2017-12-07,523269.62
2017-12-08,525256.23
2017-12-11,526324.22
2017-12-12,526758.58
2017-12-13,527345.78
2017-12-14,527622.53
2017-12-15,527506.42
2017-12-18,528452.7
2017-12-19,528310.98
2017-12-20,528469.22
2017-12-21,529221.61
2017-12-22,529669.76
2017-12-26,529720.88
2017-12-27,530625.21
2017-12-28,531410.99
2017-12-29,531697.89
2018-01-02,532761.61
2018-01-03,531854.27
2018-01-04,529424.43
2018-01-05,531224.26
2018-01-08,531843.25
2018-01-09,530534.0
2018-01-10,527042.32
2018-01-11,531315.07
2018-01-12,531658.4
2018-01-16,532022.15
2018-01-17,533345.15
2018-01-18,533385.18
2018-01-19,533245.6
2018-01-22,534322.96
2018-01-23,534719.58
2018-01-24,534724.33
2018-01-25,534985.42
2018-01-26,534797.65
2018-01-29,534428.36
2018-01-30,533136.9
2018-01-31,534366.21
2018-02-01,518678.97
2018-02-02,507678.4
2018-02-05,504369.21
2018-02-06,507268.0
2018-02-07,508871.72
2018-02-08,499126.11
2018-02-09,510697.6
2018-02-12,512634.08
2018-02-13,513036.34
2018-02-14,514329.36
2018-02-15,514465.99
2018-02-16,514196.93
2018-02-20,514857.69
2018-02-21,515263.96
2018-02-22,517158.41
2018-02-23,517260.98
2018-02-26,518989.85
2018-02-27,520038.28
2018-02-28,520580.18
2018-03-01,520843.23
2018-03-02,521018.12
2018-03-05,522401.18
2018-03-06,523288.0
2018-03-07,523717.62
2018-03-08,523874.25
2018-03-09,523727.03
2018-03-12,523396.76
2018-03-13,524070.86
2018-03-14,525205.74
2018-03-15,524650.62
2018-03-16,525541.92
2018-03-19,523792.26
2018-03-20,525742.16
2018-03-21,526496.96
2018-03-22,521731.0
2018-03-23,514314.69
2018-03-26,516138.28
2018-03-27,515793.96
2018-03-28,515245.71
2018-03-29,515944.15
2018-04-02,509740.01
2018-04-03,512755.81
2018-04-04,514772.17
2018-04-05,517396.09
2018-04-06,513053.23
2018-04-09,515045.54
2018-04-10,516199.2
2018-04-11,516306.7
2018-04-12,516349.0
2018-04-13,516082.71
2018-04-16,517597.53
2018-04-17,519085.41
2018-04-18,519327.99
2018-04-19,519353.14
2018-04-20,519142.59
2018-04-23,519202.41
2018-04-24,516845.73
2018-04-25,514904.54
2018-04-26,520681.45
2018-04-27,516372.83
2018-04-30,515999.74
2018-05-01,518397.91
2018-05-02,516148.7
2018-05-03,518811.87
2018-05-04,519012.39
2018-05-07,520365.81
2018-05-08,521166.24
2018-05-09,521501.91
2018-05-10,521527.42
2018-05-11,521339.69
2018-05-14,521845.11
2018-05-15,520798.11
2018-05-16,522331.5
2018-05-17,523580.67
2018-05-18,523502.49
2018-05-21,524777.92
2018-05-22,524952.36
2018-05-23,525548.25
2018-05-24,525786.28
2018-05-25,525669.78
2018-05-29,525966.18
2018-05-30,527024.42
2018-05-31,527210.21
2018-06-01,527251.58
2018-06-04,527790.77
2018-06-05,527806.81
2018-06-06,528493.46
2018-06-07,527647.31
2018-06-08,525318.65
2018-06-11,524866.98
2018-06-12,526137.18
2018-06-13,526630.13
2018-06-14,526888.71
2018-06-15,526777.77
2018-06-18,523885.61
2018-06-19,522663.37
2018-06-20,525500.51
