month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,-73.1
2016-12,4828.29
2017-01,-2122.78
2017-02,6627.34
2017-03,3863.21
2017-04,1624.06
2017-05,2982.29
2017-06,-1346.65
2017-07,6910.68
2017-08,4824.1
2017-09,3170.86
2017-10,3184.77
2017-11,3246.79
2017-12,5041.93
2018-01,7137.48
2018-02,1258.1
2018-03,-2628.02
2018-04,9412.77
2018-05,12745.59
2018-06,-9744.85
2018-07,3802.9
2018-08,10706.03
2018-09,1009.69
2018-10,5932.66
2018-11,8172.93
2018-12,10161.2
2019-01,1994.89
2019-02,11901.53
2019-03,2807.81
2019-04,-16412.28
2019-05,-26907.97
2019-06,7244.6
2019-07,-2956.95
2019-08,-10547.37
2019-09,3961.24
2019-10,7434.93
2019-11,4712.38
2019-12,4262.58
2020-01,2850.67
2020-02,-21957.57
2020-03,-60450.17
2020-04,18126.02
2020-05,14679.34
2020-06,6912.11
2020-07,-31642.44
2020-08,10440.51
2020-09,-698.86
2020-10,-32621.63
2020-11,20834.36
2020-12,4605.04
2021-01,2629.51
2021-02,-270.78
2021-03,5661.47
2021-04,-3111.35
2021-05,5899.11
2021-06,3995.05
2021-07,-5141.06
2021-08,5231.84
2021-09,-3241.72
2021-10,-16215.82
2021-11,-34342.43
2021-12,10487.81
2022-01,-9111.09
2022-02,-79179.01
2022-03,9764.59
2022-04,-7979.32
2022-05,1006.9
2022-06,2989.25
2022-07,7532.08
2022-08,-880.84
2022-09,-17771.66
2022-10,17512.32
2022-11,4090.12
2022-12,-2225.0
2023-01,4033.75
2023-02,-1264.73
2023-03,17425.3
2023-04,3477.73
2023-05,-21530.52
2023-06,1203.84
2023-07,12723.13
2023-08,-18079.01
2023-09,-7806.83
2023-10,-7123.74
2023-11,6897.31
2023-12,6469.64
2024-01,-8959.33
2024-02,14925.74
2024-03,9262.75
2024-04,-30312.78
2024-05,11867.77
2024-06,4811.88
2024-07,3626.66
2024-08,-57990.71
2024-09,10314.93
2024-10,1291.62
2024-11,8412.88
2024-12,-8880.19
2025-01,-416.06
2025-02,-9502.6
2025-03,8083.53
2025-04,-4862.86
2025-05,-543.3
2025-06,14496.05
2025-07,-12136.42
2025-08,23072.61
2025-09,10628.56
2025-10,10308.65
2025-11,8401.24
2025-12,3922.21
2026-01,1586.52
2026-02,-26433.77
2026-03,12243.57
2026-04,13093.87
2026-05,3367.02
2026-06,15275.73
2026-07,-24778.82
2026-08,332.89
2026-09,4768.32
