month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,-16.3
2016-12,5130.09
2017-01,-1437.48
2017-02,6418.85
2017-03,4267.29
2017-04,1857.81
2017-05,4106.25
2017-06,-581.27
2017-07,6683.44
2017-08,5457.57
2017-09,3465.57
2017-10,3488.81
2017-11,3580.49
2017-12,5686.45
2018-01,7848.47
2018-02,3474.55
2018-03,-1059.85
2018-04,9259.0
2018-05,13784.95
2018-06,-8121.0
2018-07,4675.74
2018-08,12749.7
2018-09,1431.27
2018-10,9475.35
2018-11,9017.26
2018-12,11296.09
2019-01,2908.09
2019-02,12814.52
2019-03,3317.08
2019-04,-14494.19
2019-05,-26674.76
2019-06,7897.78
2019-07,-1569.75
2019-08,-7608.44
2019-09,4514.02
2019-10,8370.03
2019-11,4977.81
2019-12,4978.87
2020-01,3339.25
2020-02,-20008.45
2020-03,-54612.77
2020-04,22758.3
2020-05,16991.65
2020-06,8245.06
2020-07,-28721.98
2020-08,10919.81
2020-09,3455.29
2020-10,-32817.25
2020-11,22020.78
2020-12,5909.55
2021-01,3243.67
2021-02,1245.93
2021-03,11677.67
2021-04,-1994.33
2021-05,9092.81
2021-06,4892.49
2021-07,-4141.33
2021-08,7533.3
2021-09,-2551.95
2021-10,-15109.33
2021-11,-31121.77
2021-12,11815.79
2022-01,-5449.39
2022-02,-74501.65
2022-03,14584.16
2022-04,-4902.61
2022-05,5940.56
2022-06,8368.91
2022-07,11236.42
2022-08,2371.13
2022-09,-16500.98
2022-10,24962.72
2022-11,6415.23
2022-12,3582.63
2023-01,5495.81
2023-02,-429.44
2023-03,21365.43
2023-04,4354.5
2023-05,-21603.8
2023-06,3216.33
2023-07,15358.12
2023-08,-19565.94
2023-09,-8235.01
2023-10,-10069.69
2023-11,9180.18
2023-12,8568.17
2024-01,-7891.23
2024-02,23296.3
2024-03,12073.04
2024-04,-25178.63
2024-05,12822.02
2024-06,5993.41
2024-07,6672.45
2024-08,-52542.6
2024-09,17441.29
2024-10,3254.12
2024-11,11541.02
2024-12,-5816.15
2025-01,551.97
2025-02,-8380.2
2025-03,13626.49
2025-04,3808.84
2025-05,1817.62
2025-06,19879.26
2025-07,-13020.84
2025-08,28925.55
2025-09,14709.73
2025-10,14190.31
2025-11,11547.36
2025-12,5413.06
2026-01,2785.64
2026-02,-32579.81
2026-03,17743.88
2026-04,16309.35
2026-05,3696.5
2026-06,19406.84
2026-07,-15800.01
2026-08,-1602.29
2026-09,6088.95
