month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,-436.56
2016-12,4313.02
2017-01,-2872.15
2017-02,6537.23
2017-03,3349.07
2017-04,1313.94
2017-05,1803.74
2017-06,-2216.83
2017-07,6703.21
2017-08,4089.75
2017-09,2680.65
2017-10,2626.02
2017-11,2500.0
2017-12,4024.46
2018-01,6271.81
2018-02,-1130.28
2018-03,-4279.53
2018-04,8810.03
2018-05,11590.62
2018-06,-11392.6
2018-07,1768.93
2018-08,8851.01
2018-09,308.14
2018-10,1722.53
2018-11,6737.32
2018-12,8637.66
2019-01,599.96
2019-02,10794.39
2019-03,2156.96
2019-04,-18126.25
2019-05,-27704.6
2019-06,6220.51
2019-07,-4372.58
2019-08,-12962.56
2019-09,2975.05
2019-10,6271.32
2019-11,3783.82
2019-12,3434.22
2020-01,2186.53
2020-02,-24145.34
2020-03,-66843.95
2020-04,13541.88
2020-05,11389.83
2020-06,5307.21
2020-07,-29239.29
2020-08,8735.86
2020-09,-4110.69
2020-10,-31038.87
2020-11,19066.36
2020-12,3245.5
2021-01,1555.34
2021-02,-2250.46
2021-03,652.31
2021-04,-3946.26
2021-05,3956.22
2021-06,3073.3
2021-07,-6224.92
2021-08,2332.49
2021-09,-4072.83
2021-10,-16830.92
2021-11,-36625.14
2021-12,8314.82
2022-01,-11184.48
2022-02,-73475.75
2022-03,6010.84
2022-04,-9788.38
2022-05,-2467.07
2022-06,-662.54
2022-07,4262.08
2022-08,-3160.4
2022-09,-16352.64
2022-10,11489.47
2022-11,1780.68
2022-12,-4346.43
2023-01,2285.71
2023-02,-1975.09
2023-03,12141.51
2023-04,2063.64
2023-05,-16817.73
2023-06,-296.63
2023-07,8667.07
2023-08,-14283.27
2023-09,-6580.0
2023-10,-6662.84
2023-11,4157.35
2023-12,3813.12
2024-01,-7655.49
2024-02,7556.83
2024-03,5551.76
2024-04,-24701.65
2024-05,8040.07
2024-06,2750.56
2024-07,1584.18
2024-08,-43026.98
2024-09,5717.91
2024-10,93.96
2024-11,5061.43
2024-12,-8345.87
2025-01,-1191.66
2025-02,-8058.24
2025-03,3958.3
2025-04,-7215.72
2025-05,-1406.3
2025-06,8686.83
2025-07,-9005.63
2025-08,14261.9
2025-09,5562.12
2025-10,5358.8
2025-11,4292.83
2025-12,1707.78
2026-01,-248.52
2026-02,-17912.85
2026-03,6049.8
2026-04,6584.72
2026-05,103.45
2026-06,7966.19
2026-07,-20991.82
2026-08,-1687.95
2026-09,2407.45
