month,pnl_$
2016-09,0.0
2016-10,573.85
2016-11,2842.2
2016-12,-1283.09
2017-01,-5912.77
2017-02,-4062.66
2017-03,5107.74
2017-04,131.19
2017-05,2440.08
2017-06,-3559.12
2017-07,6207.72
2017-08,3880.75
2017-09,3557.53
2017-10,6333.25
2017-11,4994.72
2017-12,4098.6
2018-01,1505.2
2018-02,-15690.7
2018-03,-5606.94
2018-04,-1587.35
2018-05,10971.54
2018-06,-12651.74
2018-07,-9685.54
2018-08,13042.43
2018-09,-6364.51
2018-10,-7184.14
2018-11,-708.28
2018-12,-13673.5
2019-01,4127.22
2019-02,11685.45
2019-03,-551.55
2019-04,-15514.6
2019-05,-5732.73
2019-06,7371.06
2019-07,-2796.17
2019-08,-13036.1
2019-09,7409.25
2019-10,6762.34
2019-11,9225.44
2019-12,-972.99
2020-01,-4735.08
2020-02,-34131.93
2020-03,-24753.01
2020-04,29906.92
2020-05,14624.15
2020-06,996.32
2020-07,-19436.26
2020-08,12133.45
2020-09,-2273.39
2020-10,-26199.12
2020-11,10134.26
2020-12,1696.65
2021-01,-959.43
2021-02,-244.25
2021-03,7577.57
2021-04,-3610.98
2021-05,3313.62
2021-06,3225.97
2021-07,-20863.9
2021-08,7463.55
2021-09,-6325.78
2021-10,-19250.02
2021-11,-4521.44
2021-12,9815.74
2022-01,-26211.25
2022-02,-34582.75
2022-03,10538.28
2022-04,-30688.31
2022-05,12293.3
2022-06,-20622.65
2022-07,4639.4
2022-08,8699.13
2022-09,-15676.08
2022-10,-4944.48
2022-11,-3699.51
2022-12,-424.9
2023-01,6005.84
2023-02,-17645.72
2023-03,6234.81
2023-04,3845.59
2023-05,-22918.98
2023-06,945.15
2023-07,4697.45
2023-08,-15554.4
2023-09,-17465.76
2023-10,-1521.45
2023-11,6762.53
2023-12,5207.34
2024-01,-9270.79
2024-02,7599.4
2024-03,5712.25
2024-04,-14787.29
2024-05,1847.2
2024-06,-7757.78
2024-07,1743.33
2024-08,-23252.24
2024-09,-5333.08
2024-10,2365.49
2024-11,1820.31
2024-12,-5265.73
2025-01,-2286.01
2025-02,-6790.97
2025-03,-2167.66
2025-04,-4135.16
2025-05,2784.14
2025-06,2455.41
2025-07,-17138.85
2025-08,2013.56
2025-09,3828.95
2025-10,9618.63
2025-11,1800.36
2025-12,3335.99
2026-01,-739.61
2026-02,-13880.8
2026-03,8209.19
2026-04,8174.68
2026-05,-1724.53
2026-06,-1776.17
2026-07,4637.52
2026-08,-7387.52
2026-09,6309.46
