month,pnl_$
2016-09,0.0
2016-10,602.53
2016-11,8714.71
2016-12,3293.62
2017-01,-2151.08
2017-02,-283.59
2017-03,7262.34
2017-04,2042.05
2017-05,6581.24
2017-06,2164.14
2017-07,8680.46
2017-08,7257.99
2017-09,5196.79
2017-10,8450.93
2017-11,9009.19
2017-12,10058.25
2018-01,8569.43
2018-02,-4826.79
2018-03,528.96
2018-04,9911.24
2018-05,14397.08
2018-06,-3297.53
2018-07,-4067.64
2018-08,16024.45
2018-09,-252.99
2018-10,4246.81
2018-11,10160.13
2018-12,693.17
2019-01,13971.59
2019-02,15668.14
2019-03,2861.85
2019-04,-12208.69
2019-05,19.18
2019-06,10721.88
2019-07,3088.53
2019-08,-6052.61
2019-09,12816.88
2019-10,10847.08
2019-11,12449.85
2019-12,4406.99
2020-01,2108.31
2020-02,-24668.32
2020-03,1572.69
2020-04,49702.6
2020-05,21306.66
2020-06,8234.0
2020-07,-19368.71
2020-08,19993.22
2020-09,7576.87
2020-10,-20057.46
2020-11,21751.93
2020-12,8207.93
2021-01,7824.54
2021-02,11819.61
2021-03,20757.09
2021-04,3063.72
2021-05,10801.11
2021-06,7241.48
2021-07,-15666.61
2021-08,12064.72
2021-09,-455.49
2021-10,-15546.31
2021-11,11069.11
2021-12,14789.3
2022-01,-19395.53
2022-02,-20430.13
2022-03,23788.02
2022-04,-20418.94
2022-05,25893.27
2022-06,-2371.75
2022-07,16341.96
2022-08,22895.8
2022-09,-6385.54
2022-10,5360.61
2022-11,12703.76
2022-12,13223.22
2023-01,13692.99
2023-02,-10098.85
2023-03,15768.98
2023-04,12478.45
2023-05,-20253.58
2023-06,9648.19
2023-07,12847.06
2023-08,-8384.36
2023-09,-20023.88
2023-10,8128.46
2023-11,17331.03
2023-12,12566.11
2024-01,-2428.52
2024-02,23145.8
2024-03,13708.04
2024-04,-10165.8
2024-05,13422.43
2024-06,-4267.98
2024-07,12129.0
2024-08,-30362.64
2024-09,401.81
2024-10,12158.79
2024-11,14156.63
2024-12,-1334.87
2025-01,7445.95
2025-02,661.98
2025-03,14195.84
2025-04,12522.6
2025-05,18551.24
2025-06,12241.47
2025-07,-20373.6
2025-08,14757.73
2025-09,16389.13
2025-10,30157.37
2025-11,17507.6
2025-12,20850.47
2026-01,7308.1
2026-02,-13860.64
2026-03,27131.2
2026-04,24382.18
2026-05,13715.48
2026-06,13998.93
2026-07,27676.16
2026-08,-1616.91
2026-09,19335.6
