month,pnl_$
2016-09,0.0
2016-10,464.22
2016-11,3753.26
2016-12,-661.23
2017-01,-5350.32
2017-02,-3593.33
2017-03,5405.55
2017-04,305.63
2017-05,2922.18
2017-06,-2584.29
2017-07,6347.41
2017-08,4249.89
2017-09,3838.47
2017-10,6482.19
2017-11,5454.87
2017-12,4663.38
2018-01,2668.31
2018-02,-13786.03
2018-03,-4636.02
2018-04,55.59
2018-05,11210.47
2018-06,-11183.94
2018-07,-9202.01
2018-08,13196.81
2018-09,-5295.77
2018-10,-5556.95
2018-11,928.09
2018-12,-11949.77
2019-01,5863.31
2019-02,12137.73
2019-03,104.69
2019-04,-15842.91
2019-05,-5560.28
2019-06,7727.6
2019-07,-1828.99
2019-08,-12459.84
2019-09,8220.86
2019-10,7267.34
2019-11,9442.56
2019-12,-194.45
2020-01,-4166.8
2020-02,-33382.09
2020-03,-21476.02
2020-04,33008.23
2020-05,15232.58
2020-06,1899.25
2020-07,-21768.32
2020-08,13193.71
2020-09,-193.24
2020-10,-26805.41
2020-11,11948.6
2020-12,2018.01
2021-01,207.43
2021-02,1495.89
2021-03,9509.76
2021-04,-3693.2
2021-05,4453.94
2021-06,3528.16
2021-07,-20371.49
2021-08,8358.58
2021-09,-5110.99
2021-10,-19802.53
2021-11,-2031.89
2021-12,10515.62
2022-01,-26461.77
2022-02,-35055.68
2022-03,13195.08
2022-04,-32741.92
2022-05,15532.91
2022-06,-20000.4
2022-07,6445.43
2022-08,11225.35
2022-09,-16271.92
2022-10,-4720.74
2022-11,-1485.92
2022-12,1549.38
2023-01,7730.92
2023-02,-18937.19
2023-03,8099.51
2023-04,5186.83
2023-05,-26600.42
2023-06,1752.9
2023-07,6395.28
2023-08,-17355.6
2023-09,-20278.17
2023-10,-634.2
2023-11,8476.01
2023-12,6396.01
2024-01,-9900.29
2024-02,10203.41
2024-03,7063.5
2024-04,-16253.66
2024-05,3055.96
2024-06,-8799.87
2024-07,3157.03
2024-08,-28743.94
2024-09,-5700.93
2024-10,3542.7
2024-11,2694.97
2024-12,-5710.7
2025-01,-1908.3
2025-02,-8022.16
2025-03,-1414.72
2025-04,-3901.99
2025-05,4450.12
2025-06,3583.03
2025-07,-20788.99
2025-08,3049.06
2025-09,5483.58
2025-10,12738.91
2025-11,3828.26
2025-12,5472.72
2026-01,-507.75
2026-02,-17191.46
2026-03,11651.02
2026-04,11184.0
2026-05,-546.14
2026-06,-412.12
2026-07,7372.14
2026-08,-8078.13
2026-09,8838.54
