date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,500000.0
2016-10-31,500000.0
2016-11-01,500000.0
2016-11-02,500000.0
2016-11-03,500000.0
2016-11-04,500000.0
2016-11-07,500000.0
2016-11-08,500000.0
2016-11-09,500000.0
2016-11-10,500000.0
2016-11-11,500000.0
2016-11-14,500000.0
2016-11-15,500000.0
2016-11-16,500000.0
2016-11-17,500000.0
2016-11-18,499830.83
2016-11-21,500430.41
2016-11-22,501396.95
2016-11-23,501590.65
2016-11-25,502013.93
2016-11-28,502261.85
2016-11-29,502480.71
2016-11-30,502609.05
2016-12-01,500131.51
2016-12-02,501453.88
2016-12-05,503387.48
2016-12-06,504541.0
2016-12-07,506165.6
2016-12-08,506314.11
2016-12-09,506793.46
2016-12-12,506833.86
2016-12-13,507666.66
2016-12-14,508128.19
2016-12-15,508285.28
2016-12-16,508194.22
2016-12-19,508664.58
2016-12-20,509640.97
2016-12-21,509846.36
2016-12-22,509663.21
2016-12-23,510314.7
2016-12-27,510729.19
2016-12-28,510479.05
2016-12-29,510699.04
2016-12-30,509914.06
2017-01-03,510654.29
2017-01-04,511288.32
2017-01-05,511298.4
2017-01-06,511839.48
2017-01-09,512387.5
2017-01-10,512618.84
2017-01-11,512749.73
2017-01-12,512667.8
2017-01-13,512835.51
2017-01-17,512872.49
2017-01-18,512943.18
2017-01-19,512960.52
2017-01-20,512887.59
2017-01-23,513269.78
2017-01-24,514787.42
2017-01-25,515273.19
2017-01-26,515619.22
2017-01-27,515955.95
2017-01-30,515889.09
2017-01-31,515870.29
2017-02-01,516253.47
2017-02-02,516287.8
2017-02-03,516392.1
2017-02-06,516478.78
2017-02-07,516477.91
2017-02-08,516479.8
2017-02-09,516501.74
2017-02-10,516566.05
2017-02-13,516557.99
2017-02-14,516580.25
2017-02-15,516586.83
2017-02-16,516587.42
2017-02-17,516518.83
2017-02-21,517676.82
2017-02-22,517651.03
2017-02-23,514923.91
2017-02-24,515720.09
2017-02-27,516453.09
2017-02-28,515169.49
2017-03-01,516668.23
2017-03-02,514180.21
2017-03-03,514397.48
2017-03-06,514242.97
2017-03-07,515789.7
2017-03-08,515946.4
2017-03-09,515922.46
2017-03-10,516830.77
2017-03-13,518716.82
2017-03-14,518754.69
2017-03-15,519636.55
2017-03-16,519925.79
2017-03-17,519866.92
2017-03-20,520988.58
2017-03-21,519231.82
2017-03-22,520534.56
2017-03-23,520548.53
2017-03-24,520961.89
2017-03-27,521158.76
2017-03-28,521302.79
2017-03-29,521429.29
2017-03-30,521712.22
2017-03-31,520935.82
2017-04-03,520203.78
2017-04-04,518940.57
2017-04-05,519124.0
2017-04-06,520013.45
2017-04-07,520335.85
2017-04-10,519588.7
2017-04-11,519085.34
2017-04-12,518944.77
2017-04-13,517737.46
2017-04-17,520312.51
2017-04-18,520951.67
2017-04-19,521430.88
2017-04-20,522197.39
2017-04-21,522034.42
2017-04-24,523056.42
2017-04-25,523721.66
2017-04-26,523055.23
2017-04-27,523822.99
2017-04-28,523722.54
2017-05-01,524011.42
2017-05-02,523511.39
2017-05-03,524053.61
2017-05-04,524079.7
2017-05-05,524185.02
2017-05-08,524159.46
2017-05-09,524280.01
2017-05-10,524522.89
2017-05-11,524522.95
2017-05-12,524522.92
2017-05-15,524523.0
2017-05-16,524523.0
2017-05-17,524523.0
2017-05-18,524523.0
2017-05-19,524409.48
2017-05-22,525720.44
2017-05-23,525982.22
2017-05-24,526908.99
2017-05-25,527353.08
2017-05-26,528265.15
2017-05-30,528774.64
2017-05-31,528765.46
2017-06-01,529186.43
2017-06-02,529337.98
2017-06-05,529695.95
2017-06-06,529796.88
2017-06-07,529925.73
2017-06-08,530066.34
2017-06-09,530025.97
2017-06-12,530037.36
2017-06-13,530080.27
2017-06-14,530085.36
2017-06-15,530085.65
2017-06-16,529999.08
2017-06-19,531399.27
2017-06-20,531361.12
2017-06-21,532053.52
2017-06-22,532164.45
2017-06-23,532191.46
2017-06-26,531872.02
2017-06-27,529259.48
2017-06-28,531168.76
2017-06-29,529364.46
2017-06-30,529046.5
2017-07-03,526633.07
2017-07-05,528898.64
2017-07-06,528116.63
2017-07-07,529667.32
2017-07-10,531075.44
2017-07-11,531522.36
2017-07-12,532854.64
2017-07-13,533301.24
2017-07-14,533681.42
2017-07-17,533264.47
2017-07-18,533366.48
2017-07-19,534052.14
2017-07-20,534236.95
2017-07-21,534248.0
2017-07-24,534318.93
2017-07-25,534210.32
2017-07-26,534817.96
2017-07-27,533672.7
2017-07-28,533657.93
2017-07-31,533521.13
2017-08-01,534472.95
2017-08-02,534560.34
2017-08-03,534585.7
2017-08-04,535371.34
2017-08-07,536296.98
2017-08-08,536421.31
2017-08-09,536445.24
2017-08-10,534375.42
2017-08-11,535218.77
2017-08-14,537430.27
2017-08-15,537955.37
2017-08-16,538165.69
2017-08-17,538099.96
2017-08-18,538175.02
2017-08-21,537985.99
2017-08-22,539478.47
2017-08-23,539914.29
2017-08-24,540076.83
2017-08-25,540499.99
2017-08-28,540743.22
2017-08-29,540920.82
2017-08-30,541220.15
2017-08-31,541539.16
2017-09-01,541638.83
2017-09-05,541531.97
2017-09-06,541628.3
2017-09-07,541748.47
2017-09-08,541735.21
2017-09-11,541856.71
2017-09-12,541870.27
2017-09-13,541873.67
2017-09-14,541873.85
2017-09-15,541803.62
2017-09-18,542862.61
2017-09-19,542792.52
2017-09-20,542394.3
2017-09-21,541992.76
2017-09-22,541681.44
2017-09-25,539156.21
2017-09-26,539719.65
2017-09-27,541413.89
2017-09-28,541540.51
2017-09-29,542623.64
2017-10-02,543567.0
2017-10-03,543713.19
2017-10-04,544162.3
2017-10-05,544440.85
2017-10-06,544499.43
2017-10-09,544936.25
2017-10-10,545094.48
2017-10-11,545171.28
2017-10-12,545164.94
2017-10-13,545218.61
2017-10-16,545260.23
2017-10-17,545299.79
2017-10-18,545313.41
2017-10-19,545314.83
2017-10-20,545266.13
2017-10-23,545489.83
2017-10-24,545975.13
2017-10-25,545270.33
2017-10-26,545736.18
2017-10-27,546914.77
2017-10-30,546849.05
2017-10-31,547267.19
2017-11-01,547151.54
2017-11-02,547203.95
2017-11-03,547474.02
2017-11-06,547666.25
2017-11-07,547685.02
2017-11-08,547687.86
2017-11-09,547660.08
2017-11-10,547686.17
2017-11-13,547699.03
2017-11-14,547700.67
2017-11-15,547701.28
2017-11-16,547701.72
2017-11-17,547629.08
2017-11-20,549023.65
2017-11-21,549947.56
2017-11-22,549860.5
2017-11-24,550259.47
2017-11-27,549408.69
2017-11-28,549246.19
2017-11-29,544367.25
2017-11-30,546036.09
2017-12-01,545762.44
2017-12-04,541146.88
2017-12-05,541442.52
2017-12-06,541148.53
2017-12-07,543121.62
2017-12-08,543158.89
2017-12-11,545346.58
2017-12-12,543903.84
2017-12-13,541763.79
2017-12-14,542179.69
2017-12-15,544880.18
2017-12-18,546048.67
2017-12-19,546125.11
2017-12-20,546358.62
2017-12-21,546259.39
2017-12-22,546655.83
2017-12-26,546574.9
2017-12-27,547144.33
2017-12-28,547620.43
2017-12-29,547272.47
2018-01-02,548676.41
2018-01-03,549426.35
2018-01-04,549728.91
2018-01-05,549892.28
2018-01-08,549984.3
2018-01-09,550028.75
2018-01-10,550049.79
2018-01-11,550092.35
2018-01-12,550128.0
2018-01-16,550128.75
2018-01-17,550131.33
2018-01-18,550131.33
2018-01-19,550062.73
2018-01-22,551298.23
2018-01-23,551670.17
2018-01-24,551182.04
2018-01-25,550997.38
2018-01-26,552069.81
2018-01-29,552244.52
2018-01-30,551811.05
2018-01-31,552371.14
2018-02-01,551499.08
2018-02-02,550904.09
2018-02-05,544268.67
2018-02-06,548663.84
2018-02-07,546272.19
2018-02-08,537849.2
2018-02-09,545961.13
2018-02-12,549974.5
2018-02-13,551443.22
2018-02-14,552170.98
2018-02-15,553359.22
2018-02-16,553366.66
2018-02-20,554869.67
2018-02-21,553887.18
2018-02-22,554061.34
2018-02-23,556020.46
2018-02-26,556842.08
2018-02-27,556703.55
2018-02-28,556643.9
2018-03-01,555637.84
2018-03-02,556706.29
2018-03-05,557276.13
2018-03-06,558123.04
2018-03-07,558610.74
2018-03-08,558858.92
2018-03-09,559352.79
2018-03-12,559575.53
2018-03-13,559601.41
2018-03-14,559664.93
2018-03-15,559674.07
2018-03-16,559594.88
2018-03-19,557716.92
2018-03-20,559413.78
2018-03-21,559151.47
2018-03-22,555586.72
2018-03-23,550442.28
2018-03-26,558602.17
2018-03-27,551232.38
2018-03-28,547107.9
2018-03-29,553565.24
2018-04-02,545623.42
2018-04-03,549707.02
2018-04-04,553003.61
2018-04-05,552405.23
2018-04-06,546325.17
2018-04-09,548312.74
2018-04-10,556729.62
2018-04-11,557400.29
2018-04-12,560925.72
2018-04-13,559323.31
2018-04-16,559720.07
2018-04-17,561430.93
2018-04-18,561032.9
2018-04-19,552031.54
2018-04-20,548272.31
2018-04-23,547946.35
2018-04-24,547832.82
2018-04-25,546832.29
2018-04-26,549343.32
2018-04-27,549738.27
2018-04-30,549455.65
2018-05-01,550969.66
2018-05-02,550643.45
2018-05-03,552080.06
2018-05-04,553397.32
2018-05-07,553842.86
2018-05-08,554484.52
2018-05-09,554942.03
2018-05-10,555255.65
2018-05-11,555330.27
2018-05-14,555484.73
2018-05-15,555501.74
2018-05-16,555537.18
2018-05-17,555540.16
2018-05-18,555464.02
2018-05-21,556195.87
2018-05-22,556652.5
2018-05-23,557479.88
2018-05-24,557502.57
2018-05-25,557996.62
2018-05-29,557505.66
2018-05-30,558087.14
2018-05-31,558142.16
2018-06-01,558860.8
2018-06-04,559085.45
2018-06-05,559114.34
2018-06-06,559183.55
2018-06-07,559224.03
2018-06-08,559193.18
2018-06-11,559173.96
2018-06-12,559264.49
2018-06-13,559281.62
2018-06-14,559282.2
2018-06-15,559219.68
2018-06-18,559085.1
2018-06-19,557672.55
2018-06-20,559334.35
