date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,500000.0
2016-10-31,500000.0
2016-11-01,500000.0
2016-11-02,500000.0
2016-11-03,500000.0
2016-11-04,500000.0
2016-11-07,500000.0
2016-11-08,500000.0
2016-11-09,500000.0
2016-11-10,500000.0
2016-11-11,500000.0
2016-11-14,500000.0
2016-11-15,500000.0
2016-11-16,500000.0
2016-11-17,500000.0
2016-11-18,499411.43
2016-11-21,499949.07
2016-11-22,500843.5
2016-11-23,500979.82
2016-11-25,501342.1
2016-11-28,501522.69
2016-11-29,501674.9
2016-11-30,501743.24
2016-12-01,499131.12
2016-12-02,500407.96
2016-12-05,502284.19
2016-12-06,503364.9
2016-12-07,504929.08
2016-12-08,505012.81
2016-12-09,505438.46
2016-12-12,505407.77
2016-12-13,506197.55
2016-12-14,506606.03
2016-12-15,506764.05
2016-12-16,506432.74
2016-12-19,506857.1
2016-12-20,507775.25
2016-12-21,507941.04
2016-12-22,507701.97
2016-12-23,508314.72
2016-12-27,508660.92
2016-12-28,508430.73
2016-12-29,508608.81
2016-12-30,507805.18
2017-01-03,508575.6
2017-01-04,509164.83
2017-01-05,509155.58
2017-01-06,509660.7
2017-01-09,510152.61
2017-01-10,510357.21
2017-01-11,510466.73
2017-01-12,510378.37
2017-01-13,510526.47
2017-01-17,510553.61
2017-01-18,510614.25
2017-01-19,510629.41
2017-01-20,510369.95
2017-01-23,510715.29
2017-01-24,512158.65
2017-01-25,512566.37
2017-01-26,512874.53
2017-01-27,513158.38
2017-01-30,513094.93
2017-01-31,513072.46
2017-02-01,513393.44
2017-02-02,513410.59
2017-02-03,513495.37
2017-02-06,513555.98
2017-02-07,513546.62
2017-02-08,513542.92
2017-02-09,513557.68
2017-02-10,513613.75
2017-02-13,513606.49
2017-02-14,513622.23
2017-02-15,513626.37
2017-02-16,513626.67
2017-02-17,513384.2
2017-02-21,514480.62
2017-02-22,514426.86
2017-02-23,511609.94
2017-02-24,512412.1
2017-02-27,513151.4
2017-02-28,511779.91
2017-03-01,513294.01
2017-03-02,510563.17
2017-03-03,510705.62
2017-03-06,510468.52
2017-03-07,512107.97
2017-03-08,512201.83
2017-03-09,512089.91
2017-03-10,512994.62
2017-03-13,515084.09
2017-03-14,515051.68
2017-03-15,516047.93
2017-03-16,516384.49
2017-03-17,516126.99
2017-03-20,517202.56
2017-03-21,515424.45
2017-03-22,516709.54
2017-03-23,516708.06
2017-03-24,517092.93
2017-03-27,517243.0
2017-03-28,517357.1
2017-03-29,517471.81
2017-03-30,517697.27
2017-03-31,516829.32
2017-04-03,515990.56
2017-04-04,514663.52
2017-04-05,514812.92
2017-04-06,515723.14
2017-04-07,516021.01
2017-04-10,515147.77
2017-04-11,514506.84
2017-04-12,514265.04
2017-04-13,512816.09
2017-04-17,515606.58
2017-04-18,516210.5
2017-04-19,516629.34
2017-04-20,517419.52
2017-04-21,517059.75
2017-04-24,518030.45
2017-04-25,518625.68
2017-04-26,517975.25
2017-04-27,518710.13
2017-04-28,518606.88
2017-05-01,518855.37
2017-05-02,518359.61
2017-05-03,518882.73
2017-05-04,518900.3
2017-05-05,518989.5
2017-05-08,518958.28
2017-05-09,519058.77
2017-05-10,519260.46
2017-05-11,519260.48
2017-05-12,519260.46
2017-05-15,519260.49
2017-05-16,519260.49
2017-05-17,519260.49
2017-05-18,519260.49
2017-05-19,518862.82
2017-05-22,520111.93
2017-05-23,520331.02
2017-05-24,521183.73
2017-05-25,521565.43
2017-05-26,522371.9
2017-05-30,522825.77
2017-05-31,522799.56
2017-06-01,523149.32
2017-06-02,523264.54
2017-06-05,523560.73
2017-06-06,523631.88
2017-06-07,523728.74
2017-06-08,523824.64
2017-06-09,523797.3
2017-06-12,523796.84
2017-06-13,523830.42
2017-06-14,523833.54
2017-06-15,523833.69
2017-06-16,523528.55
2017-06-19,524870.51
2017-06-20,524813.56
2017-06-21,525452.48
2017-06-22,525544.61
2017-06-23,525557.68
2017-06-26,525236.98
2017-06-27,522563.17
2017-06-28,524486.75
2017-06-29,522580.83
2017-06-30,522205.04
2017-07-03,519544.45
2017-07-05,521931.73
2017-07-06,521002.99
2017-07-07,522605.98
2017-07-10,524023.66
2017-07-11,524432.25
2017-07-12,525819.47
2017-07-13,526270.04
2017-07-14,526658.26
2017-07-17,526132.89
2017-07-18,526194.24
2017-07-19,526992.94
2017-07-20,527199.29
2017-07-21,527060.51
2017-07-24,527101.01
2017-07-25,526961.02
2017-07-26,527542.3
2017-07-27,526342.98
2017-07-28,526284.52
2017-07-31,526099.14
2017-08-01,527055.73
2017-08-02,527092.77
2017-08-03,527058.6
2017-08-04,527835.05
2017-08-07,528722.54
2017-08-08,528821.28
2017-08-09,528784.25
2017-08-10,526465.42
2017-08-11,527339.86
2017-08-14,529729.35
2017-08-15,530291.01
2017-08-16,530504.63
2017-08-17,530372.27
2017-08-18,530328.63
2017-08-21,530112.18
2017-08-22,531555.02
2017-08-23,531954.86
2017-08-24,532088.24
2017-08-25,532438.41
2017-08-28,532654.59
2017-08-29,532805.89
2017-08-30,533068.52
2017-08-31,533343.39
2017-09-01,533422.69
2017-09-05,533324.04
2017-09-06,533399.86
2017-09-07,533497.03
2017-09-08,533479.39
2017-09-11,533580.13
2017-09-12,533589.13
2017-09-13,533591.1
2017-09-14,533591.18
2017-09-15,533343.27
2017-09-18,534348.56
2017-09-19,534255.94
2017-09-20,533853.01
2017-09-21,533431.79
2017-09-22,533107.84
2017-09-25,530439.3
2017-09-26,530999.15
2017-09-27,532751.34
2017-09-28,532847.64
2017-09-29,533950.19
2017-10-02,534877.64
2017-10-03,534991.08
2017-10-04,535428.25
2017-10-05,535689.16
2017-10-06,535728.38
2017-10-09,536132.21
2017-10-10,536265.55
2017-10-11,536326.84
2017-10-12,536311.46
2017-10-13,536356.74
2017-10-16,536393.23
2017-10-17,536429.2
2017-10-18,536440.94
2017-10-19,536442.05
2017-10-20,536269.39
2017-10-23,536475.66
2017-10-24,536937.65
2017-10-25,536217.58
2017-10-26,536671.75
2017-10-27,537775.97
2017-10-30,537684.53
2017-10-31,538077.33
2017-11-01,537951.18
2017-11-02,537993.94
2017-11-03,538246.28
2017-11-06,538405.74
2017-11-07,538417.9
2017-11-08,538419.74
2017-11-09,538397.01
2017-11-10,538416.3
2017-11-13,538426.1
2017-11-14,538427.12
2017-11-15,538427.46
2017-11-16,538427.76
2017-11-17,538171.13
2017-11-20,539481.59
2017-11-21,540301.65
2017-11-22,540198.26
2017-11-24,540558.83
2017-11-27,539676.61
2017-11-28,539475.22
2017-11-29,534244.49
2017-11-30,535980.67
2017-12-01,535626.25
2017-12-04,530620.25
2017-12-05,530890.48
2017-12-06,530577.53
2017-12-07,532600.08
2017-12-08,532566.17
2017-12-11,534833.04
2017-12-12,533182.26
2017-12-13,530915.57
2017-12-14,531316.86
2017-12-15,533733.09
2017-12-18,534837.28
2017-12-19,534878.15
2017-12-20,535075.56
2017-12-21,534954.44
2017-12-22,535319.89
2017-12-26,535196.49
2017-12-27,535731.58
2017-12-28,536176.72
2017-12-29,535811.86
2018-01-02,537127.83
2018-01-03,537772.26
2018-01-04,538036.66
2018-01-05,538177.77
2018-01-08,538246.66
2018-01-09,538279.49
2018-01-10,538293.17
2018-01-11,538326.14
2018-01-12,538351.93
2018-01-16,538351.98
2018-01-17,538353.71
2018-01-18,538353.71
2018-01-19,538111.18
2018-01-22,539278.85
2018-01-23,539607.4
2018-01-24,539122.27
2018-01-25,538895.03
2018-01-26,539913.62
2018-01-29,540062.33
2018-01-30,539620.51
2018-01-31,540148.37
2018-02-01,539201.61
2018-02-02,538586.91
2018-02-05,531382.12
2018-02-06,536071.53
2018-02-07,533380.19
2018-02-08,524185.84
2018-02-09,532830.67
2018-02-12,537179.93
2018-02-13,538733.73
2018-02-14,539496.47
2018-02-15,540942.78
2018-02-16,540699.65
2018-02-20,542131.25
2018-02-21,541118.95
2018-02-22,541241.05
2018-02-23,543137.43
2018-02-26,543883.32
2018-02-27,543721.3
2018-02-28,543619.22
2018-03-01,542555.37
2018-03-02,543587.47
2018-03-05,544101.69
2018-03-06,544906.25
2018-03-07,545337.46
2018-03-08,545537.43
2018-03-09,545978.2
2018-03-12,546165.38
2018-03-13,546183.2
2018-03-14,546231.96
2018-03-15,546238.29
2018-03-16,545958.37
2018-03-19,544019.25
2018-03-20,545726.92
2018-03-21,545432.24
2018-03-22,541665.26
2018-03-23,536087.52
2018-03-26,544772.79
2018-03-27,536814.42
2018-03-28,532289.79
2018-03-29,539209.45
2018-04-02,530540.69
2018-04-03,534878.52
2018-04-04,538373.87
2018-04-05,537660.72
2018-04-06,531032.74
2018-04-09,533101.52
2018-04-10,542126.17
2018-04-11,542796.81
2018-04-12,546653.54
2018-04-13,544714.94
2018-04-16,545027.37
2018-04-17,546914.47
2018-04-18,546272.76
2018-04-19,536099.07
2018-04-20,531829.99
2018-04-23,531456.92
2018-04-24,531284.06
2018-04-25,530216.49
2018-04-26,532693.85
2018-04-27,533039.09
2018-04-30,532700.01
2018-05-01,534156.85
2018-05-02,533775.55
2018-05-03,535143.8
2018-05-04,536369.65
2018-05-07,536739.52
2018-05-08,537314.67
2018-05-09,537704.4
2018-05-10,537963.22
2018-05-11,538017.5
2018-05-14,538136.37
2018-05-15,538146.1
2018-05-16,538172.24
2018-05-17,538174.1
2018-05-18,537905.06
2018-05-21,538582.3
2018-05-22,538993.77
2018-05-23,539777.65
2018-05-24,539788.99
2018-05-25,540228.27
2018-05-29,539751.44
2018-05-30,540283.03
2018-05-31,540322.12
2018-06-01,540958.78
2018-06-04,541132.91
2018-06-05,541150.97
2018-06-06,541202.85
2018-06-07,541232.82
2018-06-08,541202.27
2018-06-11,541176.93
2018-06-12,541256.5
2018-06-13,541269.89
2018-06-14,541270.22
2018-06-15,541049.15
2018-06-18,540893.54
2018-06-19,539419.28
2018-06-20,541096.82
