date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,499976.41
2016-10-31,500417.98
2016-11-01,499647.28
2016-11-02,499536.33
2016-11-03,497682.8
2016-11-04,496798.92
2016-11-07,497984.05
2016-11-08,497983.27
2016-11-09,497996.43
2016-11-10,497015.86
2016-11-11,497961.93
2016-11-14,495627.27
2016-11-15,498310.84
2016-11-16,500377.56
2016-11-17,500455.14
2016-11-18,500603.01
2016-11-21,501497.77
2016-11-22,502545.2
2016-11-23,503100.82
2016-11-25,503290.9
2016-11-28,503775.38
2016-11-29,504253.48
2016-11-30,504821.56
2016-12-01,502334.92
2016-12-02,506077.89
2016-12-05,507718.21
2016-12-06,508559.52
2016-12-07,509146.59
2016-12-08,509227.12
2016-12-09,509180.52
2016-12-12,508962.86
2016-12-13,510686.94
2016-12-14,511579.78
2016-12-15,512126.83
2016-12-16,512122.36
2016-12-19,512568.4
2016-12-20,513291.98
2016-12-21,513463.07
2016-12-22,513180.37
2016-12-23,513841.77
2016-12-27,514653.92
2016-12-28,514226.57
2016-12-29,514699.47
2016-12-30,513402.94
2017-01-03,512736.85
2017-01-04,513999.96
2017-01-05,513532.58
2017-01-06,514720.09
2017-01-09,515793.06
2017-01-10,515968.66
2017-01-11,516172.4
2017-01-12,516054.66
2017-01-13,516242.4
2017-01-17,515551.47
2017-01-18,516401.21
2017-01-19,516387.28
2017-01-20,516619.44
2017-01-23,516988.15
2017-01-24,517929.13
2017-01-25,518016.03
2017-01-26,518040.43
2017-01-27,518011.87
2017-01-30,517391.32
2017-01-31,516967.55
2017-02-01,517165.9
2017-02-02,516483.69
2017-02-03,517478.57
2017-02-06,518037.26
2017-02-07,517891.63
2017-02-08,517831.7
2017-02-09,517941.44
2017-02-10,518782.78
2017-02-13,517569.48
2017-02-14,517987.91
2017-02-15,518447.88
2017-02-16,517320.16
2017-02-17,517304.74
2017-02-21,518136.53
2017-02-22,518137.04
2017-02-23,514613.92
2017-02-24,516017.17
2017-02-27,516288.59
2017-02-28,515227.61
2017-03-01,517005.37
2017-03-02,515527.49
2017-03-03,515978.9
2017-03-06,516117.49
2017-03-07,516720.11
2017-03-08,516868.44
2017-03-09,517173.22
2017-03-10,517438.59
2017-03-13,518075.06
2017-03-14,517612.05
2017-03-15,518098.84
2017-03-16,518551.18
2017-03-17,518903.47
2017-03-20,519862.82
2017-03-21,518362.13
2017-03-22,519778.92
2017-03-23,520141.91
2017-03-24,520308.15
2017-03-27,520632.98
2017-03-28,520845.18
2017-03-29,521132.19
2017-03-30,521270.42
2017-03-31,519935.71
2017-04-03,519495.0
2017-04-04,514843.83
2017-04-05,514417.89
2017-04-06,515599.73
2017-04-07,515304.25
2017-04-10,514452.9
2017-04-11,514322.22
2017-04-12,514146.58
2017-04-13,511057.23
2017-04-17,511954.15
2017-04-18,511984.44
2017-04-19,511944.03
2017-04-20,512124.49
2017-04-21,512119.52
2017-04-24,512856.64
2017-04-25,513066.17
2017-04-26,512736.77
2017-04-27,513100.66
2017-04-28,513075.89
2017-05-01,513816.51
2017-05-02,513251.48
2017-05-03,514123.15
2017-05-04,514260.57
2017-05-05,514295.53
2017-05-08,514435.59
2017-05-09,514992.8
2017-05-10,515439.45
2017-05-11,515335.35
2017-05-12,515417.21
2017-05-15,516471.03
2017-05-16,516778.14
2017-05-17,514578.15
2017-05-18,516655.14
2017-05-19,517117.83
2017-05-22,518355.48
2017-05-23,518675.25
2017-05-24,519139.56
2017-05-25,519273.74
2017-05-26,519258.04
2017-05-30,519881.81
2017-05-31,519909.33
2017-06-01,521044.59
2017-06-02,521066.39
2017-06-05,522123.41
2017-06-06,522707.54
2017-06-07,523008.16
2017-06-08,523165.25
2017-06-09,522834.26
2017-06-12,522874.35
2017-06-13,524117.22
2017-06-14,524434.42
2017-06-15,524585.7
2017-06-16,524742.76
2017-06-19,525848.3
2017-06-20,525938.34
2017-06-21,526195.58
2017-06-22,526256.52
2017-06-23,526231.92
2017-06-26,525601.12
2017-06-27,519212.88
2017-06-28,523659.34
2017-06-29,518814.49
2017-06-30,517404.64
2017-07-03,515577.77
2017-07-05,517925.68
2017-07-06,517760.76
2017-07-07,518879.76
2017-07-10,519935.7
2017-07-11,520156.08
2017-07-12,520495.36
2017-07-13,520519.51
2017-07-14,520488.42
2017-07-17,520125.19
2017-07-18,520581.08
2017-07-19,521692.56
2017-07-20,521971.5
2017-07-21,522035.93
2017-07-24,522217.94
2017-07-25,522267.45
2017-07-26,523022.32
2017-07-27,522333.33
2017-07-28,522304.5
2017-07-31,522249.06
2017-08-01,522882.32
2017-08-02,523042.56
2017-08-03,523209.0
2017-08-04,523491.32
2017-08-07,524192.84
2017-08-08,524327.02
2017-08-09,524347.45
2017-08-10,521566.51
2017-08-11,520685.11
2017-08-14,521573.23
2017-08-15,521859.92
2017-08-16,521905.17
2017-08-17,521818.31
2017-08-18,521908.49
2017-08-21,521855.81
2017-08-22,523066.3
2017-08-23,523315.93
2017-08-24,523377.45
2017-08-25,523352.13
2017-08-28,523920.44
2017-08-29,524427.6
2017-08-30,524857.72
2017-08-31,524989.28
2017-09-01,524966.84
2017-09-05,524346.58
2017-09-06,524874.16
2017-09-07,525703.46
2017-09-08,526076.53
2017-09-11,527130.29
2017-09-12,527432.79
2017-09-13,527525.97
2017-09-14,527551.89
2017-09-15,527556.11
2017-09-18,528312.39
2017-09-19,528277.1
2017-09-20,528220.49
2017-09-21,528151.9
2017-09-22,528748.24
2017-09-25,525679.05
2017-09-26,526667.71
2017-09-27,528891.0
2017-09-28,529046.33
2017-09-29,530053.5
2017-10-02,530735.24
2017-10-03,530898.06
2017-10-04,531203.37
2017-10-05,531286.1
2017-10-06,531269.61
2017-10-09,532152.13
2017-10-10,532393.01
2017-10-11,532471.83
2017-10-12,532484.81
2017-10-13,532466.51
2017-10-16,533006.53
2017-10-17,533344.06
2017-10-18,533519.34
2017-10-19,533583.41
2017-10-20,533570.6
2017-10-23,533873.48
2017-10-24,534297.01
2017-10-25,533924.96
2017-10-26,534456.13
2017-10-27,534521.14
2017-10-30,534579.0
2017-10-31,535106.49
2017-11-01,535103.81
2017-11-02,535434.81
2017-11-03,535546.17
2017-11-06,536142.48
2017-11-07,536363.5
2017-11-08,536451.16
2017-11-09,536064.13
2017-11-10,536544.38
2017-11-13,536565.89
2017-11-14,537135.87
2017-11-15,536522.77
2017-11-16,537540.29
2017-11-17,537929.83
2017-11-20,538860.7
2017-11-21,539194.49
2017-11-22,539222.15
2017-11-24,539197.47
2017-11-27,536117.72
2017-11-28,535479.55
2017-11-29,524049.27
2017-11-30,527349.48
2017-12-01,525764.55
2017-12-04,521478.98
2017-12-05,522563.6
2017-12-06,524274.62
2017-12-07,526007.27
2017-12-08,527606.67
2017-12-11,528607.69
2017-12-12,528816.36
2017-12-13,528472.3
2017-12-14,529000.51
2017-12-15,529494.34
2017-12-18,530465.3
2017-12-19,530613.56
2017-12-20,530878.77
2017-12-21,531131.01
2017-12-22,531380.07
2017-12-26,531284.48
2017-12-27,532104.07
2017-12-28,532693.65
2017-12-29,532424.48
2018-01-02,533344.08
2018-01-03,533468.03
2018-01-04,533495.5
2018-01-05,533469.09
2018-01-08,534219.86
2018-01-09,534304.58
2018-01-10,533525.52
2018-01-11,533224.19
2018-01-12,533629.52
2018-01-16,533123.93
2018-01-17,534391.91
2018-01-18,534709.82
2018-01-19,534780.99
2018-01-22,535654.94
2018-01-23,535818.58
2018-01-24,535682.22
2018-01-25,535392.27
2018-01-26,536099.82
2018-01-29,536517.52
2018-01-30,535677.77
2018-01-31,537145.56
2018-02-01,536311.98
2018-02-02,534035.03
2018-02-05,522854.36
2018-02-06,531579.37
2018-02-07,528034.8
2018-02-08,513704.31
2018-02-09,526440.79
2018-02-12,527384.63
2018-02-13,528298.15
2018-02-14,528831.99
2018-02-15,528876.62
2018-02-16,528833.13
2018-02-20,530230.45
2018-02-21,529854.97
2018-02-22,530329.31
2018-02-23,530962.44
2018-02-26,532136.15
2018-02-27,532195.55
2018-02-28,532446.73
2018-03-01,531638.18
2018-03-02,533409.92
2018-03-05,534255.47
2018-03-06,535141.69
2018-03-07,535646.93
2018-03-08,535837.97
2018-03-09,535823.68
2018-03-12,536676.95
2018-03-13,532314.91
2018-03-14,534172.63
2018-03-15,533812.22
2018-03-16,534381.28
2018-03-19,532083.87
2018-03-20,534518.71
2018-03-21,534452.97
2018-03-22,528561.02
2018-03-23,517583.93
2018-03-26,518971.67
2018-03-27,517643.62
2018-03-28,515116.72
2018-03-29,518962.38
2018-04-02,514979.4
2018-04-03,518340.88
2018-04-04,520301.9
2018-04-05,520306.28
2018-04-06,518131.08
2018-04-09,519221.96
2018-04-10,520527.66
2018-04-11,520607.41
2018-04-12,520676.39
2018-04-13,520623.41
2018-04-16,521293.41
2018-04-17,522479.19
2018-04-18,522608.68
2018-04-19,517933.88
2018-04-20,515129.33
2018-04-23,515076.7
2018-04-24,515245.98
2018-04-25,514674.47
2018-04-26,517380.22
2018-04-27,517782.91
2018-04-30,517201.03
2018-05-01,518831.77
2018-05-02,518637.03
2018-05-03,519548.14
2018-05-04,519792.69
2018-05-07,520132.05
2018-05-08,521056.74
2018-05-09,521501.87
2018-05-10,521632.75
2018-05-11,521607.51
2018-05-14,522478.66
2018-05-15,521146.88
2018-05-16,521956.34
2018-05-17,522220.45
2018-05-18,522399.98
2018-05-21,523002.82
2018-05-22,523323.47
2018-05-23,523838.35
2018-05-24,523909.83
2018-05-25,523895.45
2018-05-29,522252.37
2018-05-30,523431.87
2018-05-31,522903.79
2018-06-01,525091.88
2018-06-04,525911.99
2018-06-05,526026.42
2018-06-06,526282.19
2018-06-07,526423.9
2018-06-08,526427.68
2018-06-11,525930.89
2018-06-12,526991.97
2018-06-13,527349.64
2018-06-14,527596.35
2018-06-15,527574.78
2018-06-18,527517.58
2018-06-19,525649.85
2018-06-20,528013.16
