date,equity_$
2016-09-23,500000.0
2016-09-26,500000.0
2016-09-27,500000.0
2016-09-28,500000.0
2016-09-29,500000.0
2016-09-30,500000.0
2016-10-03,500000.0
2016-10-04,500000.0
2016-10-05,500000.0
2016-10-06,500000.0
2016-10-07,500000.0
2016-10-10,500000.0
2016-10-11,500000.0
2016-10-12,500000.0
2016-10-13,500000.0
2016-10-14,500000.0
2016-10-17,500000.0
2016-10-18,500000.0
2016-10-19,500000.0
2016-10-20,500000.0
2016-10-21,500000.0
2016-10-24,500000.0
2016-10-25,500000.0
2016-10-26,500000.0
2016-10-27,500000.0
2016-10-28,499898.27
2016-10-31,500369.89
2016-11-01,499646.29
2016-11-02,499592.19
2016-11-03,497968.31
2016-11-04,497061.9
2016-11-07,498330.43
2016-11-08,498333.65
2016-11-09,498349.85
2016-11-10,497454.14
2016-11-11,498141.03
2016-11-14,495952.61
2016-11-15,498642.25
2016-11-16,500747.06
2016-11-17,500872.73
2016-11-18,500829.23
2016-11-21,501795.54
2016-11-22,502919.15
2016-11-23,503535.85
2016-11-25,503543.6
2016-11-28,504090.55
2016-11-29,504638.42
2016-11-30,505273.01
2016-12-01,503140.3
2016-12-02,506569.85
2016-12-05,508296.19
2016-12-06,509216.06
2016-12-07,509880.05
2016-12-08,509983.15
2016-12-09,509742.1
2016-12-12,509589.25
2016-12-13,511374.9
2016-12-14,512345.58
2016-12-15,512934.07
2016-12-16,512818.99
2016-12-19,513314.47
2016-12-20,514083.11
2016-12-21,514285.37
2016-12-22,514070.68
2016-12-23,514592.83
2016-12-27,515462.52
2016-12-28,515054.48
2016-12-29,515568.54
2016-12-30,514408.82
2017-01-03,513838.39
2017-01-04,515094.01
2017-01-05,514722.55
2017-01-06,515730.03
2017-01-09,516862.71
2017-01-10,517066.34
2017-01-11,517288.8
2017-01-12,517193.8
2017-01-13,517287.78
2017-01-17,516664.06
2017-01-18,517543.94
2017-01-19,517617.94
2017-01-20,517795.63
2017-01-23,518205.8
2017-01-24,519194.24
2017-01-25,519298.89
2017-01-26,519330.31
2017-01-27,519206.8
2017-01-30,518632.51
2017-01-31,518280.39
2017-02-01,518548.59
2017-02-02,517905.83
2017-02-03,518795.38
2017-02-06,519391.61
2017-02-07,519290.79
2017-02-08,519275.54
2017-02-09,519433.7
2017-02-10,520119.56
2017-02-13,519035.15
2017-02-14,519467.57
2017-02-15,519960.38
2017-02-16,518945.68
2017-02-17,518878.92
2017-02-21,519767.19
2017-02-22,519795.98
2017-02-23,516511.73
2017-02-24,517806.54
2017-02-27,518129.62
2017-02-28,517141.88
2017-03-01,518895.47
2017-03-02,517571.73
2017-03-03,517929.76
2017-03-06,518098.32
2017-03-07,518739.63
2017-03-08,518927.96
2017-03-09,519256.77
2017-03-10,519408.93
2017-03-13,520093.7
2017-03-14,519686.76
2017-03-15,520209.33
2017-03-16,520667.79
2017-03-17,520897.71
2017-03-20,521902.86
2017-03-21,520465.62
2017-03-22,521878.89
2017-03-23,522253.57
2017-03-24,522333.52
2017-03-27,522692.37
2017-03-28,522933.11
2017-03-29,523236.81
2017-03-30,523412.15
2017-03-31,522176.07
2017-04-03,521772.68
2017-04-04,517323.93
2017-04-05,516918.83
2017-04-06,518095.55
2017-04-07,517729.12
2017-04-10,516934.67
2017-04-11,516870.15
2017-04-12,516808.39
2017-04-13,514014.99
2017-04-17,514959.8
2017-04-18,515006.79
2017-04-19,514983.84
2017-04-20,515166.67
2017-04-21,515097.26
2017-04-24,515874.95
2017-04-25,516111.37
2017-04-26,515799.12
2017-04-27,516155.21
2017-04-28,516048.1
2017-05-01,516831.41
2017-05-02,516298.8
2017-05-03,517174.53
2017-05-04,517326.93
2017-05-05,517288.98
2017-05-08,517462.08
2017-05-09,518050.89
2017-05-10,518520.77
2017-05-11,518427.88
2017-05-12,518385.21
2017-05-15,519520.05
2017-05-16,519872.88
2017-05-17,517765.83
2017-05-18,519803.4
2017-05-19,520082.18
2017-05-22,521377.77
2017-05-23,521741.48
2017-05-24,522255.89
2017-05-25,522412.0
2017-05-26,522277.46
2017-05-30,522966.11
2017-05-31,523049.06
2017-06-01,524203.52
2017-06-02,524095.46
2017-06-05,525208.97
2017-06-06,525837.53
2017-06-07,526179.73
2017-06-08,526364.44
2017-06-09,526037.26
2017-06-12,526136.31
2017-06-13,527413.17
2017-06-14,527760.26
2017-06-15,527947.33
2017-06-16,528000.84
2017-06-19,529162.6
2017-06-20,529274.84
2017-06-21,529562.3
2017-06-22,529633.6
2017-06-23,529508.17
2017-06-26,528931.44
2017-06-27,522914.24
2017-06-28,527230.89
2017-06-29,522725.28
2017-06-30,521476.65
2017-07-03,519759.81
2017-07-05,522080.31
2017-07-06,522013.25
2017-07-07,522962.4
2017-07-10,524078.08
2017-07-11,524335.5
2017-07-12,524702.27
2017-07-13,524732.04
2017-07-14,524596.45
2017-07-17,524285.26
2017-07-18,524783.17
2017-07-19,525898.83
2017-07-20,526202.07
2017-07-21,526165.98
2017-07-24,526384.24
2017-07-25,526475.97
2017-07-26,527252.53
2017-07-27,526679.78
2017-07-28,526689.57
2017-07-31,526662.42
2017-08-01,527321.42
2017-08-02,527512.39
2017-08-03,527706.61
2017-08-04,527901.84
2017-08-07,528649.8
2017-08-08,528791.2
2017-08-09,528829.97
2017-08-10,526292.9
2017-08-11,525313.52
2017-08-14,526264.78
2017-08-15,526571.71
2017-08-16,526626.76
2017-08-17,526548.54
2017-08-18,526537.28
2017-08-21,526518.76
2017-08-22,527769.69
2017-08-23,528047.29
2017-08-24,528121.51
2017-08-25,527988.87
2017-08-28,528591.57
2017-08-29,529133.85
2017-08-30,529606.48
2017-08-31,529755.64
2017-09-01,529636.26
2017-09-05,529077.47
2017-09-06,529648.96
2017-09-07,530517.73
2017-09-08,530996.74
2017-09-11,532102.55
2017-09-12,532439.03
2017-09-13,532556.5
2017-09-14,532591.0
2017-09-15,532514.83
2017-09-18,533319.34
2017-09-19,533306.22
2017-09-20,533272.37
2017-09-21,533252.02
2017-09-22,533714.59
2017-09-25,530800.77
2017-09-26,531806.72
2017-09-27,533977.14
2017-09-28,534192.98
2017-09-29,535042.55
2017-10-02,535767.02
2017-10-03,535953.29
2017-10-04,536276.66
2017-10-05,536371.23
2017-10-06,536275.53
2017-10-09,537199.16
2017-10-10,537473.73
2017-10-11,537569.19
2017-10-12,537585.79
2017-10-13,537493.83
2017-10-16,538062.28
2017-10-17,538424.59
2017-10-18,538621.91
2017-10-19,538696.75
2017-10-20,538621.36
2017-10-23,538943.84
2017-10-24,539391.78
2017-10-25,539047.69
2017-10-26,539579.79
2017-10-27,539578.12
2017-10-30,539669.54
2017-10-31,540215.93
2017-11-01,540235.28
2017-11-02,540577.7
2017-11-03,540616.47
2017-11-06,541245.57
2017-11-07,541488.22
2017-11-08,541586.5
2017-11-09,541250.87
2017-11-10,541600.89
2017-11-13,541661.53
2017-11-14,542251.23
2017-11-15,541714.55
2017-11-16,542731.05
2017-11-17,543011.26
2017-11-20,544001.18
2017-11-21,544367.78
2017-11-22,544403.38
2017-11-24,544271.42
2017-11-27,541342.4
2017-11-28,540786.05
2017-11-29,529684.67
2017-11-30,533027.43
2017-12-01,531471.5
2017-12-04,527413.45
2017-12-05,528524.87
2017-12-06,530251.54
2017-12-07,531980.64
2017-12-08,533336.6
2017-12-11,534387.59
2017-12-12,534631.17
2017-12-13,534344.4
2017-12-14,534905.09
2017-12-15,535251.05
2017-12-18,536284.71
2017-12-19,536474.05
2017-12-20,536777.41
2017-12-21,537052.59
2017-12-22,537194.57
2017-12-26,537155.52
2017-12-27,538002.96
2017-12-28,538613.26
2017-12-29,538439.38
2018-01-02,539418.7
2018-01-03,539561.24
2018-01-04,539593.81
2018-01-05,539479.3
2018-01-08,540271.27
2018-01-09,540381.91
2018-01-10,539690.54
2018-01-11,539453.16
2018-01-12,539807.25
2018-01-16,539371.15
2018-01-17,540643.15
2018-01-18,540975.74
2018-01-19,540961.48
2018-01-22,541891.34
2018-01-23,542085.17
2018-01-24,541968.58
2018-01-25,541742.88
2018-01-26,542289.85
2018-01-29,542742.13
2018-01-30,541961.47
2018-01-31,543427.92
2018-02-01,542711.31
2018-02-02,540782.1
2018-02-05,530085.66
2018-02-06,538524.6
2018-02-07,535237.51
2018-02-08,521266.66
2018-02-09,533655.93
2018-02-12,534680.93
2018-02-13,535644.03
2018-02-14,536234.79
2018-02-15,536293.84
2018-02-16,536105.56
2018-02-20,537576.42
2018-02-21,537249.88
2018-02-22,537793.42
2018-02-23,538245.65
2018-02-26,539478.14
2018-02-27,539579.69
2018-02-28,539887.87
2018-03-01,539247.02
2018-03-02,540732.74
2018-03-05,541630.42
2018-03-06,542573.99
2018-03-07,543132.29
2018-03-08,543354.4
2018-03-09,543243.17
2018-03-12,544137.5
2018-03-13,539968.59
2018-03-14,541859.22
2018-03-15,541546.57
2018-03-16,541967.43
2018-03-19,539788.26
2018-03-20,542176.14
2018-03-21,542168.6
2018-03-22,536730.66
2018-03-23,525892.59
2018-03-26,527383.5
2018-03-27,526084.99
2018-03-28,523815.41
2018-03-29,527232.27
2018-04-02,523427.6
2018-04-03,526747.5
2018-04-04,528729.84
2018-04-05,528831.49
2018-04-06,526977.81
2018-04-09,528129.81
2018-04-10,529544.44
2018-04-11,529649.13
2018-04-12,529734.39
2018-04-13,529504.04
2018-04-16,530233.48
2018-04-17,531491.56
2018-04-18,531674.5
2018-04-19,527308.83
2018-04-20,524553.13
2018-04-23,524561.52
2018-04-24,524811.61
2018-04-25,524369.48
2018-04-26,527036.65
2018-04-27,527302.71
2018-04-30,526793.4
2018-05-01,528448.61
2018-05-02,528317.33
2018-05-03,529251.74
2018-05-04,529360.87
2018-05-07,529771.31
2018-05-08,530728.87
2018-05-09,531207.42
2018-05-10,531354.22
2018-05-11,531218.2
2018-05-14,532144.92
2018-05-15,530889.98
2018-05-16,531731.19
2018-05-17,532043.58
2018-05-18,532248.05
2018-05-21,532903.31
2018-05-22,533263.84
2018-05-23,533800.42
2018-05-24,533882.21
2018-05-25,533788.1
2018-05-29,532233.85
2018-05-30,533447.83
2018-05-31,533038.8
2018-06-01,534995.47
2018-06-04,535871.33
2018-06-05,536006.99
2018-06-06,536283.76
2018-06-07,536437.8
2018-06-08,536359.35
2018-06-11,535902.03
2018-06-12,536982.26
2018-06-13,537370.44
2018-06-14,537633.19
2018-06-15,537644.72
2018-06-18,537614.6
2018-06-19,535865.66
2018-06-20,538168.11
