month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,2609.05
2016-12,7305.01
2017-01,5956.23
2017-02,-700.8
2017-03,5766.32
2017-04,2786.72
2017-05,5042.92
2017-06,281.04
2017-07,4474.63
2017-08,8018.03
2017-09,1084.48
2017-10,4643.56
2017-11,-1231.11
2017-12,1236.38
2018-01,5098.67
2018-02,4272.76
2018-03,-3078.66
2018-04,-4109.59
2018-05,8686.51
2018-06,-5953.14
2018-07,10363.27
2018-08,7082.48
2018-09,2085.24
2018-10,-17339.01
2018-11,-7076.42
2018-12,8437.21
2019-01,3040.49
2019-02,9095.92
2019-03,5144.77
2019-04,1376.82
2019-05,-22176.19
2019-06,11658.4
2019-07,5021.19
2019-08,5783.71
2019-09,5335.03
2019-10,6031.09
2019-11,2566.42
2019-12,3510.77
2020-01,-7935.61
2020-02,-1889.01
2020-03,-31422.64
2020-04,10424.42
2020-05,10169.16
2020-06,6096.88
2020-07,5616.39
2020-08,6055.51
2020-09,7778.2
2020-10,-7112.13
2020-11,23784.58
2020-12,7007.22
2021-01,13613.97
2021-02,-7860.81
2021-03,16813.4
2021-04,5811.86
2021-05,13765.31
2021-06,6290.31
2021-07,-4142.19
2021-08,5995.18
2021-09,-10925.96
2021-10,14461.87
2021-11,-1129.71
2021-12,9722.02
2022-01,-15157.33
2022-02,-1460.31
2022-03,16761.89
2022-04,-11858.41
2022-05,-5042.23
2022-06,9167.76
2022-07,17516.74
2022-08,-9917.34
2022-09,-11554.91
2022-10,5466.87
2022-11,14811.79
2022-12,1892.4
2023-01,19799.57
2023-02,1266.75
2023-03,21510.83
2023-04,3064.89
2023-05,13690.57
2023-06,4833.21
2023-07,16621.94
2023-08,4560.9
2023-09,4233.54
2023-10,3894.67
2023-11,11411.36
2023-12,8836.83
2024-01,5308.37
2024-02,12164.35
2024-03,9509.06
2024-04,11460.51
2024-05,5535.28
2024-06,7472.37
2024-07,7496.52
2024-08,14060.86
2024-09,11591.33
2024-10,6855.98
2024-11,11723.37
2024-12,6824.44
2025-01,5762.0
2025-02,-4029.47
2025-03,4037.75
2025-04,21095.38
2025-05,7760.27
2025-06,11415.78
2025-07,7318.74
2025-08,-9295.74
2025-09,23428.18
2025-10,9045.15
2025-11,-112.64
2025-12,4659.4
2026-01,-5501.5
2026-02,-7772.79
2026-03,8719.49
2026-04,9594.43
2026-05,11417.69
2026-06,2437.24
2026-07,-3443.58
2026-08,12241.45
2026-09,11069.29
