month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,2645.12
2016-12,8518.55
2017-01,6464.7
2017-02,-339.89
2017-03,6244.12
2017-04,3975.99
2017-05,5473.08
2017-06,949.73
2017-07,4787.11
2017-08,8667.64
2017-09,1289.85
2017-10,5064.28
2017-11,-560.18
2017-12,2665.68
2018-01,5745.25
2018-02,4552.4
2018-03,-1832.41
2018-04,-1412.75
2018-05,9717.07
2018-06,-4890.22
2018-07,10684.22
2018-08,7883.51
2018-09,2192.29
2018-10,-14471.96
2018-11,-3714.37
2018-12,10925.07
2019-01,3995.65
2019-02,9701.39
2019-03,5860.5
2019-04,1788.93
2019-05,-18615.3
2019-06,11648.18
2019-07,5555.92
2019-08,6303.71
2019-09,5924.72
2019-10,6765.4
2019-11,2884.38
2019-12,3888.46
2020-01,-6513.58
2020-02,-689.36
2020-03,-24990.57
2020-04,12846.25
2020-05,11683.7
2020-06,6775.39
2020-07,6359.86
2020-08,6665.0
2020-09,8627.71
2020-10,-5547.74
2020-11,24027.66
2020-12,8439.2
2021-01,15497.77
2021-02,-7286.62
2021-03,21625.15
2021-04,7332.13
2021-05,15260.44
2021-06,7369.07
2021-07,-2633.1
2021-08,6742.73
2021-09,-9249.22
2021-10,15293.07
2021-11,-404.88
2021-12,13843.14
2022-01,-10765.15
2022-02,1224.09
2022-03,20248.75
2022-04,-6166.53
2022-05,1165.78
2022-06,12343.88
2022-07,19616.4
2022-08,-7974.0
2022-09,-6394.13
2022-10,8985.92
2022-11,17387.11
2022-12,3858.65
2023-01,20864.02
2023-02,2134.81
2023-03,23486.05
2023-04,3917.32
2023-05,15137.58
2023-06,5405.13
2023-07,18998.27
2023-08,8459.86
2023-09,5026.14
2023-10,4943.84
2023-11,12185.1
2023-12,9807.12
2024-01,6124.08
2024-02,13114.48
2024-03,10615.96
2024-04,13352.15
2024-05,6219.72
2024-06,8242.45
2024-07,8854.24
2024-08,15170.23
2024-09,13198.09
2024-10,8455.68
2024-11,12352.35
2024-12,8178.38
2025-01,7759.28
2025-02,-2315.71
2025-03,8738.78
2025-04,28120.33
2025-05,9598.99
2025-06,12878.3
2025-07,8191.74
2025-08,-7739.46
2025-09,23401.56
2025-10,10167.97
2025-11,2779.59
2025-12,5921.59
2026-01,-2152.14
2026-02,-6006.88
2026-03,11700.96
2026-04,10908.85
2026-05,12743.47
2026-06,4335.17
2026-07,2817.76
2026-08,13750.71
2026-09,13082.33
