month,pnl_$
2016-09,0.0
2016-10,0.0
2016-11,1743.24
2016-12,6061.93
2017-01,5267.28
2017-02,-1292.55
2017-03,5049.41
2017-04,1777.57
2017-05,4192.68
2017-06,-594.52
2017-07,3894.1
2017-08,7244.25
2017-09,606.8
2017-10,4127.14
2017-11,-2096.66
2017-12,-168.82
2018-01,4336.51
2018-02,3470.85
2018-03,-4409.77
2018-04,-6509.44
2018-05,7622.11
2018-06,-7051.66
2018-07,9741.48
2018-08,5827.17
2018-09,1671.75
2018-10,-19945.65
2018-11,-10486.72
2018-12,4297.35
2019-01,1708.26
2019-02,8077.18
2019-03,4287.07
2019-04,759.86
2019-05,-24726.88
2019-06,10873.33
2019-07,4229.71
2019-08,4622.82
2019-09,4447.41
2019-10,5089.85
2019-11,1948.24
2019-12,2889.99
2020-01,-9421.32
2020-02,-3417.97
2020-03,-38451.5
2020-04,7490.24
2020-05,8047.64
2020-06,4908.99
2020-07,4388.38
2020-08,4924.94
2020-09,6288.23
2020-10,-8873.5
2020-11,22434.56
2020-12,5044.58
2021-01,11571.62
2021-02,-9727.49
2021-03,11593.16
2021-04,3879.51
2021-05,11722.22
2021-06,5122.71
2021-07,-5787.25
2021-08,4965.24
2021-09,-12732.39
2021-10,13296.01
2021-11,-2348.45
2021-12,5479.56
2022-01,-19847.14
2022-02,-4451.43
2022-03,12944.49
2022-04,-16608.73
2022-05,-10292.94
2022-06,5015.75
2022-07,14650.37
2022-08,-12240.06
2022-09,-17774.57
2022-10,1400.73
2022-11,11137.71
2022-12,-396.52
2023-01,17354.7
2023-02,-131.19
2023-03,18097.79
2023-04,1996.41
2023-05,11387.84
2023-06,2864.48
2023-07,14350.27
2023-08,64.79
2023-09,2825.03
2023-10,2500.39
2023-11,10095.51
2023-12,7553.31
2024-01,4118.36
2024-02,10564.49
2024-03,7541.87
2024-04,8291.15
2024-05,4170.67
2024-06,6160.61
2024-07,5717.94
2024-08,11454.25
2024-09,9598.32
2024-10,5031.21
2024-11,10253.97
2024-12,4952.29
2025-01,2659.52
2025-02,-6951.47
2025-03,-479.47
2025-04,12892.62
2025-05,5581.08
2025-06,9826.51
2025-07,6101.84
2025-08,-11229.73
2025-09,22875.29
2025-10,7445.22
2025-11,-3654.78
2025-12,3136.47
2026-01,-8443.66
2026-02,-9793.13
2026-03,5138.66
2026-04,7725.61
2026-05,9537.12
2026-06,-429.85
2026-07,-9077.31
2026-08,9809.86
2026-09,9858.36
