month,pnl_$
2016-09,0.0
2016-10,417.98
2016-11,4403.58
2016-12,8581.39
2017-01,3564.61
2017-02,-1739.94
2017-03,4708.1
2017-04,-6859.83
2017-05,6833.44
2017-06,-2504.69
2017-07,4844.42
2017-08,2740.22
2017-09,5064.22
2017-10,5052.99
2017-11,-7757.01
2017-12,5075.01
2018-01,4721.08
2018-02,-4698.84
2018-03,-13484.35
2018-04,-1761.35
2018-05,5702.76
2018-06,-2626.75
2018-07,5655.01
2018-08,2894.74
2018-09,-2852.56
2018-10,-26028.09
2018-11,-6957.96
2018-12,688.21
2019-01,1598.65
2019-02,8409.57
2019-03,-851.49
2019-04,3555.34
2019-05,-21062.61
2019-06,6485.84
2019-07,1111.89
2019-08,-2237.42
2019-09,7895.33
2019-10,6299.68
2019-11,5635.05
2019-12,858.57
2020-01,-10217.48
2020-02,-11919.3
2020-03,-9126.55
2020-04,22076.51
2020-05,6254.24
2020-06,8726.0
2020-07,3614.44
2020-08,6097.1
2020-09,7321.3
2020-10,-9042.98
2020-11,12094.35
2020-12,10697.67
2021-01,8340.22
2021-02,-1250.25
2021-03,7567.67
2021-04,9069.11
2021-05,-1221.56
2021-06,11409.92
2021-07,-13941.38
2021-08,4426.36
2021-09,-16573.74
2021-10,12932.51
2021-11,-7320.94
2021-12,5523.36
2022-01,-38074.18
2022-02,531.71
2022-03,18779.4
2022-04,-14171.13
2022-05,11672.34
2022-06,-9279.66
2022-07,4079.41
2022-08,-8014.19
2022-09,-16574.96
2022-10,-2570.7
2022-11,13423.78
2022-12,7082.02
2023-01,8144.47
2023-02,6378.99
2023-03,6660.13
2023-04,451.97
2023-05,8144.38
2023-06,19540.84
2023-07,5095.45
2023-08,-12611.46
2023-09,689.19
2023-10,-5822.85
2023-11,12677.23
2023-12,1296.24
2024-01,2839.51
2024-02,12583.75
2024-03,3281.76
2024-04,-28810.11
2024-05,-139.57
2024-06,11503.69
2024-07,-9672.71
2024-08,5197.91
2024-09,-9855.33
2024-10,-288.38
2024-11,12607.84
2024-12,10109.17
2025-01,-19980.66
2025-02,2613.17
2025-03,-8291.28
2025-04,-12507.55
2025-05,18153.02
2025-06,11819.81
2025-07,11022.4
2025-08,-8175.78
2025-09,11314.72
2025-10,9970.01
2025-11,-18654.41
2025-12,1626.76
2026-01,-15366.76
2026-02,4178.93
2026-03,2194.41
2026-04,3806.05
2026-05,13325.68
2026-06,-2067.83
2026-07,2834.21
2026-08,18564.54
2026-09,10255.6
