month,pnl_$
2016-09,0.0
2016-10,460.15
2016-11,9639.62
2016-12,13035.72
2017-01,6617.83
2017-02,2826.17
2017-03,8271.82
2017-04,-1871.3
2017-05,9518.12
2017-06,4339.19
2017-07,8215.3
2017-08,6037.55
2017-09,7120.93
2017-10,6824.06
2017-11,-3593.82
2017-12,8801.96
2018-01,7518.51
2018-02,3296.52
2018-03,-6712.66
2018-04,7242.09
2018-05,9894.56
2018-06,1466.3
2018-07,8621.17
2018-08,6489.84
2018-09,2176.59
2018-10,-10574.62
2018-11,5832.39
2018-12,12870.46
2019-01,8178.25
2019-02,13581.99
2019-03,3485.91
2019-04,7757.11
2019-05,-11776.54
2019-06,10148.31
2019-07,5354.47
2019-08,4224.04
2019-09,12174.82
2019-10,9319.69
2019-11,7673.21
2019-12,4823.54
2020-01,-4540.34
2020-02,-2302.47
2020-03,16567.12
2020-04,34054.14
2020-05,12876.6
2020-06,14381.14
2020-07,8469.09
2020-08,11209.87
2020-09,13989.4
2020-10,-990.89
2020-11,20001.99
2020-12,23413.64
2021-01,16358.28
2021-02,14982.83
2021-03,20005.6
2021-04,16409.57
2021-05,7122.65
2021-06,15670.32
2021-07,-3986.09
2021-08,8315.23
2021-09,-7405.73
2021-10,16877.58
2021-11,763.88
2021-12,15946.98
2022-01,-17337.37
2022-02,9703.0
2022-03,30104.45
2022-04,4370.04
2022-05,24982.02
2022-06,15267.69
2022-07,16088.74
2022-08,7565.25
2022-09,3956.85
2022-10,9656.19
2022-11,25977.13
2022-12,17610.88
2023-01,15141.17
2023-02,17908.43
2023-03,18340.46
2023-04,9279.85
2023-05,15851.12
2023-06,28844.89
2023-07,10928.85
2023-08,2296.67
2023-09,11766.55
2023-10,5744.93
2023-11,18854.17
2023-12,7371.33
2024-01,9772.77
2024-02,19732.9
2024-03,15475.82
2024-04,-18417.08
2024-05,7769.27
2024-06,16374.62
2024-07,3217.16
2024-08,18268.45
2024-09,2155.77
2024-10,8541.5
2024-11,21401.79
2024-12,19026.6
2025-01,-7486.31
2025-02,21010.74
2025-03,10551.67
2025-04,11398.69
2025-05,25790.82
2025-06,16660.89
2025-07,15428.32
2025-08,905.58
2025-09,18129.41
2025-10,15170.34
2025-11,-3694.45
2025-12,10138.3
2026-01,-8207.04
2026-02,14023.84
2026-03,14117.73
2026-04,10902.43
2026-05,18718.93
2026-06,15392.6
2026-07,17881.46
2026-08,29481.32
2026-09,16701.49
