month,pnl_$
2016-09,0.0
2016-10,369.89
2016-11,4903.12
2016-12,9135.81
2017-01,3871.57
2017-02,-1138.51
2017-03,5034.19
2017-04,-6127.97
2017-05,7000.96
2017-06,-1572.41
2017-07,5185.77
2017-08,3093.22
2017-09,5286.91
2017-10,5173.38
2017-11,-7188.5
2017-12,5411.95
2018-01,4988.54
2018-02,-3540.05
2018-03,-12655.6
2018-04,-438.87
2018-05,6245.39
2018-06,-1954.43
2018-07,5907.82
2018-08,3305.75
2018-09,-2076.38
2018-10,-23044.67
2018-11,-5080.87
2018-12,3320.32
2019-01,2265.82
2019-02,9208.89
2019-03,-309.43
2019-04,4107.44
2019-05,-20807.87
2019-06,7054.89
2019-07,1804.16
2019-08,-1536.58
2019-09,8826.3
2019-10,6735.93
2019-11,5843.15
2019-12,1532.46
2020-01,-9625.3
2020-02,-10615.21
2020-03,-5567.95
2020-04,24380.98
2020-05,7182.87
2020-06,9613.17
2020-07,4303.03
2020-08,6622.65
2020-09,8087.07
2020-10,-7848.63
2020-11,12731.6
2020-12,12555.6
2021-01,9235.38
2021-02,979.31
2021-03,9309.26
2021-04,10017.25
2021-05,-231.06
2021-06,11754.95
2021-07,-12488.08
2021-08,4755.08
2021-09,-15164.65
2021-10,12994.5
2021-11,-6050.87
2021-12,6721.24
2022-01,-34231.53
2022-02,1148.78
2022-03,20686.4
2022-04,-11670.8
2022-05,13047.56
2022-06,-4812.75
2022-07,5861.3
2022-08,-6556.72
2022-09,-12971.71
2022-10,-820.47
2022-11,14572.48
2022-12,8625.79
2023-01,9134.91
2023-02,7328.59
2023-03,8352.11
2023-04,1673.25
2023-05,9720.85
2023-06,19487.45
2023-07,6170.73
2023-08,-10819.25
2023-09,2554.44
2023-10,-3446.08
2023-11,14035.93
2023-12,1406.94
2024-01,3681.74
2024-02,14292.37
2024-03,5006.64
2024-04,-27793.42
2024-05,58.08
2024-06,12299.94
2024-07,-7228.28
2024-08,6555.36
2024-09,-7853.07
2024-10,989.12
2024-11,14272.42
2024-12,11432.06
2025-01,-18673.11
2025-02,3889.32
2025-03,-4431.91
2025-04,-8511.98
2025-05,19121.33
2025-06,12563.22
2025-07,11513.09
2025-08,-7069.54
2025-09,12188.31
2025-10,10365.31
2025-11,-16728.42
2025-12,2961.32
2026-01,-15999.12
2026-02,5564.07
2026-03,4613.0
2026-04,3594.37
2026-05,14097.86
2026-06,-970.68
2026-07,5181.94
2026-08,21137.58
2026-09,11728.47
