id,strategy,ticker,open_date,expiry,strike,contracts,delta,bid,ask,spread_pct,iv,underlying_at_open,premium_net_$,collateral_$,earnings_before_expiry,status,close_date,settle_px,assignment_loss_$,pnl_$
W-SPY-2026-09-22-2026-09-29,weekly,SPY,2026-09-22,2026-09-29,765.0,1,-0.204,1.27,1.28,0.8,0.104,773.38,126.35,76500.0,,open,,,,
W-QQQ-2026-09-22-2026-09-29,weekly,QQQ,2026-09-22,2026-09-29,734.0,1,-0.204,1.94,1.98,2.0,0.164,747.46,193.35,73400.0,,open,,,,
W-IWM-2026-09-22-2026-09-29,weekly,IWM,2026-09-22,2026-09-29,282.0,3,-0.193,0.66,0.69,4.4,0.1596,287.21,196.05,84600.0,,open,,,,
W-TQQQ-2026-09-22-2026-09-28,weekly,TQQQ,2026-09-22,2026-09-28,77.0,12,-0.203,0.54,0.59,8.8,0.4613,80.83,640.2,92400.0,,open,,,,
W-EFA-2026-09-22-2026-09-30,weekly,EFA,2026-09-22,2026-09-30,104.0,9,-0.166,0.02,2.34,196.6,0.3616,106.5,12.15,93600.0,,open,,,,
M-SPY-2026-09-22-2026-10-16,monthly,SPY,2026-09-22,2026-10-16,753.0,1,-0.197,2.96,2.99,1.0,0.1372,773.38,295.35,75300.0,,open,,,,
M-QQQ-2026-09-22-2026-10-16,monthly,QQQ,2026-09-22,2026-10-16,718.0,1,-0.2,4.33,4.39,1.4,0.2016,747.46,432.35,71800.0,,open,,,,
M-IWM-2026-09-22-2026-10-16,monthly,IWM,2026-09-22,2026-10-16,277.0,3,-0.208,1.64,1.67,1.8,0.1898,287.21,490.05,83100.0,,open,,,,
M-TQQQ-2026-09-22-2026-10-16,monthly,TQQQ,2026-09-22,2026-10-16,72.0,13,-0.201,1.41,1.52,7.5,0.5857,80.83,1824.55,93600.0,,open,,,,
M-EFA-2026-09-22-2026-10-16,monthly,EFA,2026-09-22,2026-10-16,103.0,9,-0.191,0.25,0.88,111.5,0.176,106.5,219.15,92700.0,,open,,,,
