id,strategy,ticker,open_date,expiry,strike,contracts,delta,bid,ask,spread_pct,iv,underlying_at_open,premium_net_$,collateral_$,earnings_before_expiry,status,close_date,settle_px,assignment_loss_$,pnl_$
W-NVDA-2026-09-22-2026-09-28,weekly,NVDA,2026-09-22,2026-09-28,222.5,4,-0.21,0.97,1.01,4.0,0.2821,228.87,385.4,89000.0,,open,,,,
W-PLTR-2026-09-22-2026-10-02,weekly,PLTR,2026-09-22,2026-10-02,172.5,5,-0.179,1.47,1.53,4.0,0.4876,184.99,731.75,86250.0,,open,,,,
W-TSM-2026-09-22-2026-10-02,weekly,TSM,2026-09-22,2026-10-02,435.0,2,-0.213,2.57,3.4,27.8,0.3038,452.0,512.7,87000.0,,open,,,,
W-MRVL-2026-09-22-2026-10-02,weekly,MRVL,2026-09-22,2026-10-02,240.0,4,-0.194,3.05,3.35,9.4,0.6633,262.36,1217.4,96000.0,,open,,,,
W-MSFT-2026-09-22-2026-09-28,weekly,MSFT,2026-09-22,2026-09-28,485.0,2,-0.182,1.46,1.68,14.0,0.2414,498.0,290.7,97000.0,,open,,,,
M-NVDA-2026-09-22-2026-10-16,monthly,NVDA,2026-09-22,2026-10-16,215.0,4,-0.211,2.35,2.4,2.1,0.33,228.87,937.4,86000.0,,open,,,,
M-PLTR-2026-09-22-2026-10-16,monthly,PLTR,2026-09-22,2026-10-16,167.5,5,-0.188,2.43,2.52,3.6,0.4803,184.99,1211.75,83750.0,,open,,,,
M-TSM-2026-09-22-2026-10-16,monthly,TSM,2026-09-22,2026-10-16,422.5,2,-0.199,4.2,4.65,10.2,0.337,452.0,838.7,84500.0,yes,open,,,,
M-MRVL-2026-09-22-2026-10-16,monthly,MRVL,2026-09-22,2026-10-16,230.0,4,-0.2,5.4,5.6,3.6,0.6837,262.36,2157.4,92000.0,,open,,,,
M-MSFT-2026-09-22-2026-10-16,monthly,MSFT,2026-09-22,2026-10-16,472.5,2,-0.199,3.65,3.95,7.9,0.2639,498.0,728.7,94500.0,,open,,,,
